shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,75,74,221,1.8416666666666666,0,1278.4787437083833,716.277612323476,-1.5212562916167371,-3.722387676524022,0.0,81.85552978515625,1275.8132358962996,718.4406491836039,-2.8083756633909616,1.084357178251821,-2.8083756633909616,1.084357178251821,-2.682296484913877,-2.169853911578116,-0.1260791784770845,3.254211089829937,2.6724918045292725,-2.181918418570376,-0.25817796169743407,0.25817796169743384
2,74,73,231,1.925,83,1282.4795097648207,705.4259847295866,2.4795097648207047,-14.574015270413383,0.0,88.16415023803711,1277.6511999321792,679.1301199804795,-0.9704116275113392,40.39488638137618,1.8379640358796223,39.31052920312436,-4.6916344793799,26.273270252314205,3.7212228518685606,14.121616129061977,1.7427221505099624,28.460703977321373,0.7950786001021933,-0.5369006384047588
3,73,72,241,2.0083333333333333,167,1280.688350128984,705.6495825074229,0.6883501289839842,-14.350417492577094,0.25,70.42719459533691,1271.2611485523141,645.6171083997464,-7.360463007376438,73.90789796210936,-6.390051379865099,33.51301158073318,-9.3042856807308,60.02710558069225,1.9438226733543615,13.880792381417109,4.323429084166946,33.792098357970644,-0.046238818237611626,-0.4906618201671472
4,72,71,250,2.0833333333333335,242,1284.0456289557108,693.9605963936126,4.045628955710754,-26.039403606387395,0.0,61.98995590209961,1270.4771833660861,605.0581235467934,-8.144428193604426,114.46688281506238,-0.7839651862279879,40.55898485295302,-13.526345288703624,88.89596675256644,5.3819170950991975,25.57091606249594,4.175385006413535,28.875648784788154,-0.39803805041230833,-0.09262376975484007
5,71,70,260,2.1666666666666665,325,1271.2361036981267,692.7815376865294,-8.763896301873274,-27.21846231347058,0.5,70.7971420288086,1256.888110749921,574.2602502538815,-21.733500809769566,145.26475610797422,-13.58907261616514,30.797873292911845,-14.662579580937518,118.42199480149031,-7.070921228832049,26.842761306483908,1.4767831362219113,29.510955123161693,-0.7536262132257907,0.6610024434709476
6,70,69,270,2.25,408,1280.5795049348947,727.7910463004443,0.5795049348946577,7.79104630044435,0.0,65.00305366516113,1267.7189023809208,576.5899348372213,-10.902709178769783,142.9350715246344,10.830791630999784,-2.3296845833398265,-12.854591031110203,151.2015562737016,1.9518818523404207,-8.266484749067217,-1.7826962316714798,32.78094670768928,0.6167946405493728,0.044207802921576916
7,69,68,280,2.3333333333333335,492,1284.5185858044588,706.9938000549481,4.51858580445878,-13.00619994505189,0.25,55.64215660095215,1271.0529245006626,528.1811340925262,-7.56868705902798,191.3438722693295,3.334022119741803,48.4088007446951,-13.385327243364372,178.78503392529888,5.816640184336393,12.558838344030619,0.3605364820957675,27.586227247092552,0.3977241138584786,-0.35351631093690006
8,68,67,290,2.4166666666666665,575,1290.1902201637536,699.4469725979484,10.190220163753565,-20.55302740205161,-0.25,67.10760879516602,1290.2091344169773,476.60190157390934,11.587522857286785,242.9231047879464,19.156209916314765,51.57923251861689,0.1573208807596984,222.77702747891703,11.430201976527087,20.14607730902935,-13.838096681160096,43.89995324915844,0.03168147424217701,-0.3851977851790769
9,67,66,300,2.5,658,1282.3633958479356,705.7668783268912,2.363395847935635,-14.233121673108826,0.0,49.86137008666992,1272.380713293432,453.5740221352784,-6.240898266258455,265.9509842265773,-17.82842112354524,23.02787943863092,-9.852995350135643,252.17192797736635,3.612097083877188,13.779056249210953,9.742267617935568,29.4848236897692,0.13647409223425858,-0.5216718774133349
10,66,65,310,2.5833333333333335,742,1271.598506656438,708.8853680467878,-8.401493343561924,-11.11463195321221,-0.5,72.73782348632812,1273.8611132477506,438.8824972761413,-4.760498311939955,280.64250908571444,1.4803999543185,14.691524859137132,2.180561506443155,269.9413265205135,-6.94105981838311,10.701182565200952,-11.902426042043317,17.8574989715637,-0.9434435630376392,0.42177168562430073
