shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,75,74,339,2.825,0,1275.719913727288,739.3475070794109,-4.280086272711969,19.34750707941089,0.75,71.82327842712402,1266.39012641401,733.9402657565529,-11.993949074510056,-47.035177549421974,-11.993949074510056,-47.035177549421974,-9.193235601062497,5.37652687576076,-2.8007134734475585,-52.411704425182734,9.230982633575195,5.311457585357516,-0.40470430472997176,0.40470430472997154
2,74,73,352,2.933333333333333,108,1276.7143904247018,743.2613235117691,-3.2856095752981673,23.261323511769092,0.5,89.51782608032227,1252.7739758124953,717.1499817722348,-25.610099676024674,-30.244893565103894,-13.616150601514619,16.79028398431808,-23.54333652727496,26.051790000577398,-2.0667631487497147,-56.29668356568129,14.701364708115307,20.426986502954037,-0.5745823490000194,0.9792866537299904
3,73,72,366,3.05,225,1289.1580047378754,723.2441201321737,9.158004737875444,3.244120132173748,0.25,70.1343002319336,1259.7646971832078,670.4504999647909,-18.61937830531224,16.454588242340037,6.990721370712436,46.69948180744393,-29.372101746209864,52.85287278655221,10.752723440897626,-36.398284544212174,6.002246078595363,26.762764888742936,0.6081525115076032,0.37113414222238716
4,72,71,379,3.158333333333333,333,1286.1047465198205,750.4219076403011,6.104746519820537,30.42190764030113,1.0,81.16447067260742,1254.7062937684527,676.9616125771718,-23.677781720067287,9.943475629959153,-5.058403414755048,-6.5111126123808845,-31.481696438370818,73.44347205922645,7.803914718303531,-63.4999964292673,2.053229106595154,20.596296230363237,0.5279562628068338,-0.156822120584446
5,71,70,393,3.275,450,1272.697434810711,754.2028793439902,-7.302565189288998,34.20287934399016,1.5,53.419734954833984,1232.6670050988355,651.0854568702364,-45.71707038968452,35.81963133689453,-22.039288669617235,25.87615570693538,-40.492972585967436,103.21291785060077,-5.224097803717086,-67.39328651370624,8.608446724300393,29.888419923587776,0.6169258094107967,-0.7737479299952414
6,70,69,406,3.3833333333333333,558,1267.6105407989403,747.0298376006965,-12.389459201059708,27.02983760069651,0.25,81.38436126708984,1238.9033249386835,622.8071631199016,-39.48075054983656,64.09792508722933,6.236319839847965,28.278293750334797,-28.972259027500968,124.3425948137101,-10.50849152233559,-60.244669726480765,-11.726887315474187,21.015951164573835,-0.21317771583800835,-0.5605702141572338
7,69,68,419,3.4916666666666667,667,1274.5206326794503,713.5055173332483,-5.479367320549727,-6.494482666751651,-0.5,43.68634796142578,1236.6211957603407,579.8757606112496,-41.762879728179314,107.02932759588134,-2.282129178342757,42.93140250865201,-37.83417472319161,133.68538429895693,-3.9287050049877053,-26.656056703075592,8.767178553559233,9.431746676685634,0.01765896716917996,-0.5782291813264137
8,68,67,433,3.6083333333333334,783,1282.5102588790564,732.3789054643926,2.510258879056437,12.378905464392574,0.25,99.40775680541992,1255.9857210147968,567.1430392860175,-22.398354473723202,119.76204892111343,19.36452525445611,12.732721325232092,-26.575496280264133,165.2254232742091,4.177141806540931,-45.46337435309567,-11.388473436387585,31.493405208556965,-0.3422688934890153,-0.2359602878373999
9,67,66,446,3.716666666666667,892,1281.3815176027863,734.6508321646066,1.381517602786289,14.65083216460664,0.25,41.47234535217285,1246.0688485747305,555.4942971098822,-32.3152269137895,131.41079109724876,-9.9168724400663,11.648742176135329,-35.31307835166035,179.15649645130065,2.9978514378708496,-47.74570535405189,8.737192852920316,13.931317287706065,-0.23435952239142135,-0.001600765445979808
10,66,65,460,3.8333333333333335,1008,1267.738797179294,734.3491679224053,-12.261202820706103,14.349167922405286,-0.25,39.175567626953125,1232.475392279069,517.6171478853391,-45.908683209451056,169.28794032179178,-13.593456295661554,37.87714922454302,-35.10563314895671,216.59569086195324,-10.803050060494343,-47.307750540161464,0.20617054159470172,37.4392014516676,-0.6345789478786665,0.6329781824326833
