shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,50,49,518,4.316666666666666,0,1282.415699455952,709.5911405389915,2.415699455952108,-10.408859461008547,0.25,91.13461303710938,1288.3572993801731,703.8547103474269,7.864017434911602,30.135134309166574,7.864017434911602,30.135134309166574,5.846221829936894,5.759027154580053,2.017795604974708,24.37610715458652,-5.793148719746796,5.812411837001605,-0.5255774841666275,0.5255774841666274
2,49,48,526,4.383333333333334,67,1291.592588747928,703.5311526884943,11.592588747927948,-16.46884731150567,0.0,98.34299850463867,1290.5707784390902,683.9760155125983,10.077496493828676,50.01382914399517,2.2134790589170734,19.878694834828593,-0.8549870243909936,19.438963256730972,10.93248351821967,30.574865887264195,6.562785375117755,13.746879645519243,1.10391759314407,-0.578340108977443
3,48,47,533,4.441666666666666,125,1287.1575546162915,701.7542664228316,7.157554616291463,-18.24573357716838,-0.5,44.28848075866699,1298.255482863625,672.151800021395,17.762200918363533,61.83804463519846,7.684704424534857,11.82421549120329,10.879123293349267,29.689821710042224,6.883077625014266,32.14822292515623,-11.610042533906608,10.39116722700544,-1.2670782104722769,0.6887381014948353
4,47,46,542,4.516666666666667,200,1288.2813392969513,693.1188335537095,8.281339296951273,-26.881166446290536,-1.0,56.462796211242676,1310.8680927882788,638.7148143772101,30.374810843017258,95.27503027938337,12.612609924653725,33.436985644184915,22.192557028486817,54.528639333236924,8.18225381453044,40.74639094614645,-10.947138511738103,25.002415927316065,-0.15340768926640758,0.8421457907612431
5,46,45,549,4.575,258,1279.0581965970014,701.3419035918023,-0.9418034029986302,-18.658096408197707,-1.25,36.87503623962402,1300.5852277370666,639.964694983745,20.091945791805074,94.02514967284856,-10.282865051212184,-1.2498806065348163,21.563568158524276,61.379088753377914,-1.4716223667192025,32.64606091947064,0.6155721812094725,6.851668055748405,0.9543502578841716,-0.11220446712292885
6,45,44,558,4.65,333,1279.6294956553968,693.3161435644068,-0.370504344603205,-26.683856435593157,-1.5,83.13912582397461,1315.4824154109938,607.642854725272,34.989133465732266,126.34698993132156,14.897187673927192,32.321840258473,35.44310775669351,85.67074569267436,-0.4539742909612414,40.6762442386472,-13.504870261576116,24.501932485655402,-0.9920966848174481,0.8798922176945192
7,44,43,566,4.716666666666667,400,1279.4544395909845,693.0250844995751,-0.5455604090154793,-26.974915500424913,-1.75,56.54604721069336,1321.245125325456,583.056566068429,40.75184338019449,150.9332785881645,5.762709914462221,24.586288656842953,41.39624246448557,109.96342529507774,-0.6443990842910807,40.96985329308677,-5.5973289048547485,24.377120507660948,0.04217323711018773,0.8377189805843314
8,43,42,574,4.783333333333333,467,1290.4074122275968,692.8700627125572,10.407412227596751,-27.12993728744277,-1.75,91.9112777709961,1340.9685627602405,565.3047171530352,60.47528081497899,168.6851275035583,19.7234374347845,17.751848915393794,50.64866885622746,127.53193407871402,9.826611958751528,41.15319342484429,-9.309017446178586,17.53858857496948,1.0224352353021235,-0.18471625471779266
9,42,41,582,4.85,533,1287.3003785961803,698.589975199746,7.3003785961802805,-21.41002480025395,-2.0,71.86103248596191,1342.9422948030256,560.7577400954159,62.449012857764046,173.2321045611776,1.973732042785059,4.546977057619301,55.40012431333275,137.91621118712442,7.048888544431293,35.31589337405319,-4.633650835807202,10.437376104986129,-0.8330447537985574,0.6483284990807645
10,41,40,589,4.908333333333333,592,1292.7802951355884,698.3873609437718,12.780295135588403,-21.612639056228204,-2.0,38.82391166687012,1348.8893907127165,548.847578098305,68.39610876745496,185.1422665582885,5.9470959096909155,11.91016199711089,55.89379418006001,149.66855396577716,12.502314587394949,35.47371259251133,-0.3762235201315889,11.756688589359214,0.07585710352350025,0.5724713955572641
