shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,64,63,170,1.4166666666666667,0,1286.5158024644516,736.55003528951,6.5158024644515535,16.550035289509992,0.0,83.55289077758789,1284.5704869526821,741.5318773092698,3.9262924402921726,-21.553277139480087,3.9262924402921726,-21.553277139480087,-1.8902521232143954,-4.960269045948962,5.816544563506568,-16.593008093531125,1.8737492283053143,-4.966526545478132,-0.19050364203073275,0.19050364203073267
2,63,62,181,1.5083333333333333,92,1281.4430920072214,743.3581946611729,1.4430920072213667,23.358194661172888,-0.25,84.16105270385742,1281.3362309143608,707.6873639222681,0.6920364019708813,12.291236247521624,-3.2342560383212913,33.84451338700171,-0.12448471970924402,35.66973525992785,0.8165211216801254,-23.378499012406223,-1.796422725735738,40.62866044812847,0.2337339979664259,-0.04323035593569342
3,62,61,192,1.6,183,1281.2191972530588,737.1402567182361,1.2191972530588373,17.14025671823606,-0.5,87.68291091918945,1284.7918480823432,671.5554830841974,4.147653569953263,48.42311708559237,3.455617167982382,36.13188083807074,3.472191626302674,65.57733189603675,0.6754619436505891,-17.154214810444387,-3.7719397986681997,29.885998183788047,0.2926526901331604,-0.3358830460688541
4,61,60,202,1.6833333333333333,267,1284.7541912315469,740.4010813674662,4.7541912315468835,20.40108136746619,-0.5,75.65212631225586,1295.541897692283,652.2548276577455,14.897703179893142,67.7237725120442,10.750049609939879,19.30065542645184,10.702176770269261,88.1261329826441,4.195526409623881,-20.402360470599888,-7.324501579051457,22.518276848902815,-0.09555750763196712,-0.24032553843688698
5,60,59,214,1.7833333333333334,367,1277.399862862521,713.5669850220083,-2.600137137478896,-6.433014977991661,0.0,83.65600204467773,1283.935127559899,592.2786118143754,3.290933047509043,127.69998835541435,-11.6067701323841,59.97621584337014,6.57676098178581,121.30530155083443,-3.2858279342767673,6.394686804579919,3.9110271488459603,33.205122329924166,0.12974760254595627,-0.3700731409828434
6,59,58,225,1.875,458,1283.317027554812,737.2063644343168,3.317027554812057,17.20636443431681,1.0,69.501953125,1271.7406717458728,593.4778843216271,-8.903522766517199,126.5007158481626,-12.194455814026242,-1.1992725072517487,-11.746229078855777,143.69486069728043,2.842706312338578,-17.194144849117833,18.10083920850616,22.56953573918588,0.1961394435153077,-0.566212584498151
7,58,57,236,1.9666666666666666,550,1278.1194496423284,740.4044682632513,-1.8805503576716092,20.40446826325126,1.25,82.81798934936523,1258.2860564037342,561.7417298249351,-22.358138108655794,158.23687034485465,-13.454615342138595,31.736154496692052,-20.05171295160949,178.68168281932526,-2.3064251570463057,-20.44481247447061,7.930848199942602,35.073642972888365,0.046539223311229685,-0.6127518078093807
8,57,56,246,2.05,633,1275.6239141590631,735.0566866920111,-4.376085840936867,15.056686692011112,1.0,74.72874069213867,1263.014986685691,534.3172775817334,-17.62920782669903,185.66132258805635,4.728930281956764,27.4244522432017,-12.59574370952464,200.7355711109609,-5.03346411717439,-15.074248522904554,-7.436653351863242,22.060409176692133,-0.6629268748522812,0.05017506704289912
9,56,55,258,2.15,733,1268.6948467948312,740.4157720193,-11.305153205168835,20.415772019299993,0.5,87.18415832519531,1253.1042000582033,492.3334597937911,-27.539994454186626,227.6451403759986,-9.910786627487596,41.98381778794226,-15.644733944058316,248.11216932470052,-11.89526051012831,-20.46702894870191,2.9235573505650336,47.38450392453569,0.20185693869756738,-0.15168187165466787
10,55,54,268,2.2333333333333334,817,1272.4258979388599,743.0232486912494,-7.574102061140138,23.023248691249364,-0.25,74.44417953491211,1269.981420225193,484.3399563816958,-10.662774287196953,235.63864378809393,16.877220166989673,7.993503412095322,-2.263713250293449,258.6230366183176,-8.399061036903504,-22.98439283022367,-13.2979754318103,10.615738103681451,-0.6021203990462302,0.45043852739156076
