shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,268,2.2333333333333334,0,1280.5217453783318,715.6335541011102,0.5217453783318433,-4.366445898889765,1.0,65.2227954864502,1283.3620043918181,707.5115973624521,3.436974990122735,12.09940918950872,3.436974990122735,12.09940918950872,2.817645602707671,8.124718238274681,0.619329387415064,3.974690951234038,-2.7755176174109693,8.139206051529527,-0.29682262601951226,0.2968226260195123
2,59,58,278,2.316666666666667,83,1284.6209925830813,714.1211686667663,4.620992583081261,-5.878831333233734,0.5,68.23921012878418,1269.4125417098178,688.6611412532967,-10.512487691877595,30.949865298664122,-13.94946268200033,18.850456109155402,-15.239045578377727,25.484205383967037,4.726557886500132,5.465659914697085,18.146973707454663,17.265087188644202,-0.00197070796947768,0.29879333398899005
3,58,57,289,2.408333333333333,175,1278.248388597456,703.3837965657417,-1.7516114025440856,-16.616203434258296,1.5,51.54105567932129,1260.1805944384394,658.923601493718,-19.744434963256026,60.6874050582428,-9.23194727137843,29.73753975957868,-17.942415953732052,44.47389059072043,-1.802019009523974,16.213514467522373,2.559948917854399,19.009550683167504,0.7312970406367006,-0.4325037066477106
4,57,56,300,2.5,267,1271.6846749727006,704.7068703598733,-8.315325027299423,-15.293129640126722,0.25,51.42450141906738,1256.9619185286515,640.8152029036015,-22.963110873043888,78.79580364835931,-3.218675909787862,18.108398590116508,-14.49344139699133,64.01859880879056,-8.469669476052559,14.777204839568753,-3.742854163064976,19.490564064094542,0.4301900587894005,-0.8626937654371112
5,56,55,311,2.591666666666667,358,1281.7261057366768,698.1821367314101,1.7261057366768,-21.817863268589917,1.75,45.72795486450195,1263.5563081020105,613.0866597506785,-16.36872129968492,106.52434680128238,6.594389573358967,27.728543152923066,-17.873125979026327,85.07403355636438,1.5044046793414054,21.450313244917993,3.0932218785569603,21.09942128811599,-0.08400049956674384,-0.7786932658703675
6,55,54,323,2.691666666666667,458,1277.0728689487191,698.8625410756317,-2.927131051280867,-21.137458924368275,1.0,82.0317611694336,1254.441233426583,583.0766062987955,-25.483795975112344,136.53440025316536,-9.115074675427422,30.010053451882982,-22.301477845320733,115.83428902337278,-3.1823181297916108,20.700111229792583,3.9468282231387093,30.825738654967722,0.11724779031372858,-0.8959410561840961
7,54,53,334,2.783333333333333,550,1280.4761868036583,703.6055172171878,0.4761868036582655,-16.394482782812247,1.75,46.47984504699707,1256.317356568282,567.1693869471594,-23.60767283341329,152.44161960480142,1.876123141699054,15.907219351636058,-24.033479504169463,136.4329689038119,0.42580667075617384,16.008650700989506,1.5744728860418036,20.611319164337374,-0.45790707989422735,-0.43803397628986834
8,53,52,346,2.8833333333333333,650,1275.557529963938,706.1348236344957,-4.4424700360621046,-13.86517636550434,0.25,61.9334659576416,1242.5421274874777,543.0525910492422,-37.382901914217655,176.55841550271862,-13.775229080804365,24.1167958979172,-32.819816672755906,163.146427330052,-4.563085241461749,13.41198817266661,8.407776449745825,26.835012150204875,0.3720571399702587,-0.8100911162601274
9,52,51,357,2.975,742,1286.860701068646,705.2420559345637,6.860701068645994,-14.757944065436277,1.0,84.47203063964844,1261.9215261710544,522.7620696051997,-18.003503230640945,196.8489369467611,19.37939868357671,20.290521444042497,-24.803752317770204,182.41778324844518,6.800249087129259,14.431153698315939,-8.19219147028366,19.19714680859829,-0.28544008298015344,-0.5246510332799738
10,51,50,369,3.075,842,1283.2647850641406,708.0466633706128,3.2647850641405967,-11.953336629387195,1.25,80.91742706298828,1254.5085843779748,494.995679832868,-25.4164450237206,224.61532671909282,-7.4129417930796535,27.766389772331706,-28.656515626801593,213.02420246945275,3.2400706030809943,11.591124249640075,3.5976769034145946,30.637450996225652,-0.04736931067764673,-0.47728172260232704
