shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,33,32,206,1.7166666666666666,0,1284.1388428888306,709.2612992399676,4.138842888830595,-10.73870076003243,0.0,146.92233515193985,1283.3301029537051,709.8875394646765,3.113188000490709,9.930380241907073,3.113188000490709,9.930380241907073,-0.837031356777743,-0.6152934752017245,3.950219357268452,10.545673717108798,0.8354066165175027,-0.617497642046942,-0.1510242968299668,0.1510242968299667
2,32,31,213,1.775,58,1285.5907333413536,702.2608570997442,5.590733341353598,-17.739142900255843,0.0,145.6864321044972,1298.5150216532038,682.1156652883164,18.298106699989376,37.7022544182671,15.184918699498667,27.77187417636003,13.065486700302245,20.1013074405206,5.232619999687131,17.600946977746503,-14.066770505740806,20.605424755815193,0.6065161254918822,-0.455491828661915
3,31,30,218,1.8166666666666667,100,1283.5349710979513,699.0787702115496,3.5349710979512565,-20.921229788450432,0.0,166.5287092379286,1285.376833898107,664.2857362813222,5.1599189448925245,55.53218342526134,-13.138187755096851,17.829929006994234,1.6006853104918264,34.83521732357758,3.559233634400698,20.696966101683756,11.634054623460997,14.600635067289545,-1.1166500886895407,0.661158260027625
4,30,29,225,1.875,158,1275.397054588306,695.3195743663528,-4.602945411694009,-24.680425633647246,0.0,86.18601122188875,1271.5459314458637,640.5588127329326,-8.670983507350684,79.259106973651,-13.830902452243208,23.726923548389664,-3.3780112649321836,54.853707560563294,-5.2929722424185,24.405399413087707,4.593345123079644,20.11040903459468,1.7615289962339848,-1.1003707362063593
5,29,28,231,1.925,208,1273.7968716470784,681.7387356251769,-6.203128352921567,-38.2612643748231,0.0,52.64015733370825,1254.5669742892417,613.781481953134,-25.649940663972757,106.0364377534496,-16.978957156622073,26.777330779798604,-19.614354276541917,67.8969025320738,-6.03558638743084,38.13953522137581,16.366478738350224,12.879524182306,-1.6756317823927989,0.5752610461864377
6,28,27,237,1.975,258,1277.8861714825493,698.5552171361375,-2.1138285174506564,-21.444782863862542,0.0,86.59112084946007,1269.9263149920255,622.6277964155291,-10.290599961188946,97.19012329105442,15.359340702783811,-8.846314462395185,-7.743254374132448,75.94987700353533,-2.5473455870564976,21.240246287519085,-11.951873001027934,7.93259998350436,1.1542728641712998,-0.5790118179848617
7,27,26,243,2.025,308,1280.2319635876538,700.1407613553442,0.23196358765380864,-19.85923864465576,0.0,80.83197904291416,1277.9838673409245,601.7857933881455,-2.2330476122899654,118.03212631843803,8.05755234889898,20.842003027383612,-2.3612552661249993,98.35661216948824,0.12820765383503385,19.675514148949787,-5.254232688735556,22.437039333395887,-0.9054989106211907,0.3264870926363289
8,26,25,250,2.0833333333333335,367,1287.253282675556,691.4864316824594,7.253282675555965,-28.513568317540603,0.0,114.19592467167732,1283.3186522743606,571.2352529070369,3.1017373211461745,148.5826667995467,5.33478493343614,30.55054048110867,-3.7742423877978126,120.21085886242429,6.875979708943987,28.371807937122412,1.290123105494331,21.861843780760864,0.6485456742636994,-0.32205858162737044
9,25,24,256,2.1333333333333333,417,1279.334231771824,691.4388832462002,-0.6657682281759207,-28.56111675379975,0.0,134.03658184839324,1272.729600160789,557.1572945872574,-7.487314792425423,162.66062511932614,-10.589052113571597,14.077958319779441,-6.898152497677529,134.27625534496974,-0.5891622947478936,28.3843697743564,3.268277105475363,14.032553486362985,-0.9108237243919944,0.5887651427646238
10,24,23,262,2.183333333333333,467,1275.788235670612,692.4525381790679,-4.211764329387961,-27.547461820932085,0.0,114.47314899455453,1270.5056627439328,552.6596930984849,-9.71125220928161,167.15822660809863,-2.223937416856188,4.497601488772489,-5.150611857116473,139.813344461018,-4.560640352165137,27.344882147080625,-1.7740547066980525,5.528651197816316,0.8633317125801857,-0.27456656981556254
