shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,736,6.133333333333334,0,1287.5460065829855,711.4451231377443,7.546006582985456,-8.554876862255696,0.0,81.33953094482422,1292.2486181617178,706.629994153763,13.633992890006539,23.42182059826723,13.633992890006539,23.42182059826723,4.6349654576163175,4.875276540358755,8.999027432390221,18.546544057908477,-4.596133788894349,4.911901905865989,-0.454651780770669,0.4546517807706686
2,59,58,744,6.2,67,1294.4768596786516,705.9452899363148,14.476859678651635,-14.054710063685206,-0.25,48.09060478210449,1300.7665356978275,676.3421533164446,22.151910426116274,53.709661435585645,8.517917536109735,30.287840837318413,6.408170140618722,29.482104034396457,15.743740285497552,24.227557401189188,-1.9797072956487227,24.591075071918,0.9356340203656439,-0.4809822395949761
3,58,57,753,6.275,142,1295.2955885544345,702.2170820828983,15.295588554434516,-17.782917917101713,-0.25,82.4599609375,1305.5761565104033,635.8319907071549,26.961531238692032,94.2198240448754,4.8096208125757585,40.51016260928975,10.182246575277986,66.47013552840167,16.779284663414046,27.749688516473725,-3.5690238130343914,37.00838007476375,-0.7985279009396592,0.3175456613446838
4,57,56,761,6.341666666666667,208,1290.920667073155,700.28460326294,10.920667073155073,-19.71539673706002,-1.5,97.72054672241211,1309.6933458594199,599.1555333994098,31.07872058770863,130.89628135262046,4.1171893490165985,36.67645730774507,18.54714762169374,101.25569168566312,12.531572966014892,29.64058966695734,-7.965157549164587,34.879259623783696,-0.33998464733406836,0.6575303086787525
5,56,55,768,6.4,267,1289.4284213247433,697.0954436474395,9.42842132474334,-22.904556352560462,-0.5,38.25325584411621,1315.637453080904,560.168921508332,37.02282780919268,169.88289324369828,5.944107221484046,38.986611891077814,26.23471308906437,136.91596751593056,10.788114720128306,32.966925727767716,-7.72753487463774,35.651635865232606,0.7217573936571008,-0.06422708497834899
6,55,54,778,6.483333333333333,350,1280.5697525444093,691.3211998030006,0.5697525444093117,-28.67880019699942,-0.5,77.6191349029541,1306.4122032667435,515.0421299195481,27.79757799503227,215.0096848324822,-9.225249814160406,45.12679158878393,25.805476790837474,176.27982827692722,1.992101204194796,38.72985655555499,0.4799861584012888,39.36327464907595,-0.13809621233754668,0.07386912735919787
7,54,53,785,6.541666666666667,408,1288.4362198720423,691.47277803915,8.43621987204233,-28.527221960850056,-0.25,78.72608757019043,1311.9330959905951,488.3783958633901,33.31847071888387,241.67341888864019,5.520892723851603,26.663734056157978,23.11142337144838,203.21121359487938,10.207047347435491,38.4622052937608,3.058426658669987,26.892442532133146,-0.7018739103886044,0.7757430377478033
8,53,52,793,6.608333333333333,475,1293.284437212877,695.3046425982429,13.284437212877037,-24.695357401757065,-0.25,50.99438667297363,1317.6066917761902,468.0946602973879,38.992066504479,261.95715445464236,5.673595785595126,20.28373556600218,24.52833300061525,227.1002297250143,14.46373350386375,34.856924729628076,-1.6157647289405759,23.876390617172092,1.252803442094366,-0.4770604043465655
9,52,51,803,6.691666666666666,558,1289.4674449307965,697.6422522485161,9.467444930796546,-22.357747751483885,0.5,85.3740348815918,1303.6360396806572,415.24718227461364,25.02141440894593,314.80463247741665,-13.970652095533069,52.84747802277428,14.347830390650415,282.3200166024397,10.673584018295514,32.48461587497695,9.738244260383226,55.299494526667445,-0.018508714364194635,-0.45855168998237084
10,51,50,810,6.75,617,1286.4376043716265,701.7715392891209,6.4376043716265485,-18.228460710879062,0.5,97.34424591064453,1289.9892969866953,388.8118995250461,11.37467171498406,341.2399152269842,-13.646742693961869,26.435282749567534,3.437322446455255,313.000435436316,7.937349268528806,28.239479790668156,11.103003494874656,30.611282181823412,-0.8184420563362609,0.35989036635389243
