shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
1,60,59,497,4.141666666666667,0,1277.5358398752844,689.4997805105456,-2.4641601247155904,-30.500219489454366,0.0,86.59576416015625,1287.3768145353674,672.2494825128834,11.863254542016875,25.416689694795537,11.863254542016875,25.416689694795537,9.110465406630283,17.200068575820637,2.7527891353865925,8.2166211189749,-8.696296847225085,17.41313757147998,-1.371093907269474,1.3710939072694739,11.863254542016875,25.416689694795537,11.863254542016875,25.416689694795537,
2,59,58,506,4.216666666666667,75,1286.7394275283448,689.9911673620516,6.739427528344777,-30.008832637948444,-0.75,67.16793441772461,1301.3446577256539,637.5274763030633,25.831097732303306,60.1386959046157,13.96784319028643,34.722006209820165,13.982342306356259,52.610403354118034,11.848755425947047,7.528292550497667,-4.134095090041228,35.50403148127941,0.1789445287917116,1.1921493784777626,25.831097732303306,60.1386959046157,13.96784319028643,34.722006209820165,
3,58,57,515,4.291666666666667,150,1273.9222829712048,688.9343950365011,-6.077717028795178,-31.065604963498913,-0.5,76.8138198852539,1276.9330652818596,607.154536715333,1.4195052885090718,90.51163549234593,-24.411592443794234,30.37293958773023,2.859289447262654,81.75060320825446,-1.4397841587535822,8.76103228409147,11.264956540361254,29.085637462310615,0.9128759043099807,0.2792734741677834,1.4195052885090718,90.51163549234593,-24.411592443794234,30.37293958773023,
4,57,56,524,4.366666666666666,225,1277.360723319288,698.7688259319682,-2.6392766807121006,-21.231174068031805,0.5,54.7636604309082,1285.693567834716,602.6964178017207,10.180007841365523,94.96975440595827,8.760502552856451,4.4581189136123385,8.28120227181762,96.06605216947548,1.8988055695479034,-1.0962977635172138,-5.387081467847565,14.328592774489948,0.13992939913727748,0.13934407503050625,10.180007841365523,94.96975440595827,8.760502552856451,4.4581189136123385,
5,56,55,534,4.45,308,1277.2783117285348,697.4530797792645,-2.7216882714651547,-22.5469202207355,0.75,68.4773998260498,1285.2419806208902,560.3372587752473,9.728420627539663,137.3289134324317,-0.4515872138258601,42.359159026473435,7.67366246765323,137.08270309627812,2.0547581598864326,0.246210336153581,1.1346512803643236,41.00545481197332,-0.5970634310523056,0.7364075060828108,9.728420627539663,137.3289134324317,-0.4515872138258601,42.359159026473435,
6,55,54,544,4.533333333333333,392,1266.152389015165,696.5901671488839,-13.847610984835,-23.409832851116107,0.5,83.69757080078125,1257.921644747366,511.78884610077336,-17.591915245984637,185.87732610690563,-27.3203358735243,48.54841267447392,-8.45535607040415,184.66990292597802,-9.136559175580487,1.2074231809276057,16.58357977463379,47.4307042799403,0.1882109962423436,0.5481965098404675,-17.591915245984637,185.87732610690563,-27.3203358735243,48.54841267447392,
7,54,53,552,4.6,458,1277.3342610326004,689.8546213643119,-2.6657389673996477,-30.145378635688076,-0.25,60.44526481628418,1265.389464656666,487.8218975949336,-10.124095336684604,209.84427461274538,7.467819909300033,23.966948505839753,-12.053706382808514,202.02329113061262,1.9296110461239095,7.82098348213276,3.6610115959799714,17.340276850316627,0.3412294351209259,0.2069670747195425,-10.124095336684604,209.84427461274538,7.467819909300033,23.966948505839753,
8,53,52,561,4.675,533,1284.958481750623,690.2432635805997,4.958481750622923,-29.75673641940034,-0.5,47.11787414550781,1271.856167552031,474.6008216127841,-3.6573924413196437,223.06535059489488,6.466702895364961,13.2210759821495,-13.063117411174062,215.6359369801428,9.405724969854418,7.429413614752093,0.9914809877457174,13.613963533808032,0.2824311540714445,-0.0754640793519013,-3.6573924413196437,223.06535059489488,6.466702895364961,13.2210759821495,
9,52,51,570,4.75,608,1278.5133016228451,714.7631854049298,-1.4866983771548803,-5.2368145950702,0.0,43.00987243652344,1256.2839273616958,476.6351514769191,-19.229632631654795,221.0310207307599,-15.572240190335151,-2.0343298641349747,-22.247857888929957,238.12282175688676,3.018225257275162,-17.09180102612686,9.264012307342227,22.454343022580588,-0.2775919152593683,0.20212783590746652,-19.229632631654795,221.0310207307599,-15.572240190335151,-2.0343298641349747,
10,51,50,580,4.833333333333333,692,1284.122648558408,704.8147970343671,4.1226485584079455,-15.185202965632925,1.25,82.97425842285156,1250.136807063281,428.8261263528753,-25.376752930069642,268.8400458548037,-6.147120298414848,47.809025124043785,-34.16905389187377,276.03960188801835,8.79230096180413,-7.199556033214662,12.378550430501946,37.76994332657512,-0.49030957720861035,0.6924374131160763,-25.376752930069642,268.8400458548037,-6.147120298414848,47.809025124043785,
