shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,237,1.975,0,1276.369201478893,711.0196181782312,-3.6307985211069536,-8.980381821768788,-0.25,83.67288208007812,1267.0872357193857,708.1439156794386,-11.477655108934187,11.353756408686309,-11.477655108934187,11.353756408686309,-9.309071151168837,2.864791232555831,-2.1685839577653496,8.488965176130478,9.317670299296879,2.8366978508914826,-0.17283012011576102,0.17283012011576082
2,59,58,245,2.0416666666666665,67,1288.2765641834021,706.4995273270647,8.276564183402115,-13.500472672935302,0.0,87.87514114379883,1287.814394951377,689.4767647096662,9.249504123057022,30.020907378458674,20.72715923199121,18.667150969772365,-0.08243986471552489,16.797191542698442,9.331943987772547,13.223715835760231,-9.611598418225867,13.669662729745028,1.770939787616622,-1.5981096675008568
3,58,57,253,2.1083333333333334,133,1292.5947681507278,707.2741040612605,12.59476815072776,-12.72589593873954,0.75,76.79581832885742,1282.4011115071412,659.6252557707428,3.8362206788212916,59.87241631738209,-5.413283444235731,29.851508938923416,-10.205681973238143,47.660760968403,14.041902652059434,12.211655348979093,10.152415750970476,30.853985202927902,-1.6522766373640267,0.05416696986316628
4,57,56,262,2.183333333333333,208,1284.5314173767774,701.2694152976433,4.531417376777426,-18.730584702356737,0.25,94.56697845458984,1290.5201473421848,623.450543220279,11.955256513864924,96.04712886784591,8.119035835043633,36.17471255046382,5.87058878005314,77.84784850898586,6.084667733811784,18.19928035886005,-15.885403118003524,30.287963009989085,-0.30749866039749224,0.36166563026065784
5,56,55,271,2.2583333333333333,283,1274.0181086577472,704.4851695130006,-5.981891342252766,-15.514830486999358,0.25,82.93867111206055,1273.4267929893292,603.4576672915209,-5.138097838990689,116.04000479660397,-17.093354352855613,19.992875928758053,-0.4612552088922257,101.07827650567197,-4.676842630098463,14.961728290932001,6.136564907556931,23.282774842034996,0.8427592024362471,-0.4810935721755873
6,55,54,279,2.325,350,1275.41307332925,708.0244044142416,-4.586926670750017,-11.975595585758356,0.75,76.66947555541992,1269.8051401276718,599.1433514671727,-8.759750700648055,120.3543206209522,-3.621652861657367,4.314315824348228,-5.550993891085454,108.90301750854303,-3.208756809562601,11.451303112409164,5.052443500974277,7.848874204909293,-0.20842483317884997,-0.27266873899673777
7,54,53,288,2.4,425,1266.8984039594043,701.8673217311931,-13.101596040595723,-18.1326782688069,0.25,85.5256233215332,1269.1886616596364,579.0460615467275,-9.376229168683494,140.45161054139737,-0.6164784680354387,20.097289920445178,2.093030443962789,122.68037541020078,-11.469259612646283,17.77123513119659,-7.4943050701899665,13.85936832255004,-0.893451244195287,0.6207825051985467
8,53,52,296,2.466666666666667,492,1277.5472711728803,699.6172777792651,-2.4527288271196994,-20.382722220734877,0.0,86.19173812866211,1273.9168120098257,560.1121855501027,-4.648078818494241,159.38548653802218,4.728150350189253,18.933875996624806,-3.5964888168412017,139.50920873094856,-1.0515900016530395,19.87627780707362,5.66146119691598,16.838293187624004,0.7162826821746849,-0.09550017697613593
9,52,51,304,2.533333333333333,558,1269.3809129352574,701.3725136720552,-10.619087064742644,-18.62748632794478,0.25,91.65003967285156,1273.8708665627555,549.053104170375,-4.694024265564394,170.44456791774985,-0.04594544707015302,11.059081379727672,4.617988999922773,152.3929847511787,-9.312013265487167,18.051583166571163,-8.303013371857105,12.826897492703438,0.2990980890446827,-0.3945982660208175
10,51,50,312,2.6,625,1275.1321603071453,708.5149584373303,-4.867839692854659,-11.485041562669721,-0.5,73.5255355834961,1299.6026953844266,548.2667611163863,21.03780455610672,171.23091097173858,25.731828821671115,0.7863430539887304,24.391395423926497,160.2149753468094,-3.3535908678197757,11.01593562492917,-19.719118058500044,7.957859101662507,-0.788832939705199,0.39423467368437815
