frame,step_center_dx,step_center_dy_down,step_rotation_deg,ransac_scale_diagnostic,good_matches,inliers,inlier_ratio,median_reprojection_error_px,status,center_x_in_reference,center_y_in_reference,rotation_to_reference_deg
493,0.0,0.0,0.0,nan,0,0,0.0,nan,reference,1280.0,720.0,0.0
494,-0.004252605876445159,-0.0009112421668078241,-0.00027582081549115466,1.0000035105046234,346,341,0.9855491329479769,0.013917998031300415,ok,1280.0042526014897,720.0009112626387,0.0002758208154911547
495,0.026739975521877568,0.028848661409710985,0.0006321515161381199,1.0000088495585069,306,299,0.9771241830065359,0.09665740530479583,ok,1279.9775124465546,719.9720627675295,-0.0003563307006469654
496,0.1474389816180519,0.1480148120655258,0.0019412123694112268,1.0000222491209005,284,275,0.9683098591549296,0.19239612568370812,ok,1279.830067529707,719.8240538678405,-0.0022975430700581923
497,0.014713112970639486,0.02245532772997194,0.0004435009288128017,1.0000169171675366,338,327,0.9674556213017751,0.08540125843078357,ok,1279.8153533424847,719.8015992440149,-0.0027410439988709945
498,0.07948155041640348,0.05187663045933277,-0.000286377294660419,0.9999938460676043,316,310,0.9810126582278481,0.11880528376159855,ok,1279.7358695696423,719.7497260187531,-0.0024546667042105756
499,0.054890803016860445,0.052600978364125694,-0.0007727711314364299,0.9999958871502417,322,316,0.9813664596273292,0.11277267828268649,ok,1279.6809772225677,719.69712665171,-0.0016818955727741453
500,0.06409350204194197,0.05228218224874581,-0.00021639963239581905,0.9999914037840407,320,308,0.9625,0.14415387200361107,ok,1279.6168823832872,719.6448461088446,-0.001465495940378326
501,0.00883615983798336,0.01038796310399448,0.00029123468539665005,0.9999912889918424,355,353,0.9943661971830986,0.021898784365820927,ok,1279.6080459049508,719.6344584166686,-0.001756730625774976
502,2.524814684141802,-3.76946227634744,-0.15698238338712917,1.0002903204458042,267,253,0.947565543071161,0.4631928400517781,ok,1277.0730282766697,723.3970666432009,0.15522565276135428
503,4.830464935726468,4.074579874964911,-0.11604833118000946,0.9994780206582095,156,109,0.6987179487179487,0.5313455440439994,ok,1272.2619090146864,719.2996620866888,0.27127398394136376
504,3.0681811096080764,4.1668539946977035,-0.17902666630952832,0.9995062423220675,189,146,0.7724867724867724,0.4810883900609342,ok,1269.2265705840018,715.1088234897378,0.4503006502508922
505,0.2332152350325032,0.32805645429721153,-0.018825162627233168,0.9999341788762142,201,192,0.9552238805970149,0.37486538348749004,ok,1268.9960491936465,714.778868535773,0.46912581287812544
506,-0.47848396280369343,-0.15461018854239228,0.09202387524007337,1.000105438897771,205,198,0.9658536585365853,0.5607201447644958,ok,1269.4735052069523,714.936624576607,0.3771019376380521
507,-0.5845728763429179,0.383633730253905,0.17844116886435243,1.0001524852661958,210,194,0.9238095238095239,0.8687683811281244,ok,1270.059404734038,714.5550200288028,0.19866076877369973
508,-0.8886752475796129,0.519696979897617,0.27396546324787846,1.0000231419199095,211,170,0.8056872037914692,0.299737220357219,ok,1270.9473961687913,714.0341554990255,-0.07530469447417878
509,-0.8040402924475529,1.214194841805238,0.2339185678501705,1.000169608971542,231,208,0.9004329004329005,0.8160149324580998,ok,1271.744871817437,712.8156389847495,-0.3092232623243493
