shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,502,4.183333333333334,0,1277.262406890096,714.8558704151803,-2.7375931099040827,-5.144129584819666,0.0,45.95583534240723,1274.3493816656548,718.2455392620141,-3.1352099023463325,1.2708536085283413,-3.1352099023463325,1.2708536085283413,-2.9269717233303254,-3.397066643200901,-0.20823817901600705,4.667920251729242,2.9177576643476186,-3.4049839147437524,-0.15522565276135417,0.15522565276135428
2,59,58,511,4.258333333333334,75,1275.9929732245862,711.8129511399068,-4.007026775413806,-8.187048860093228,-0.75,60.37550926208496,1262.7116167725148,701.194394398272,-14.772974795486334,18.321998472270366,-11.637764893140002,17.051144863742024,-13.213627068842698,10.652054543198801,-1.5593477266436366,7.6699439290715645,10.169840825037909,14.133910354211707,0.6301880904789747,-0.47496243771762076
3,58,57,520,4.333333333333333,150,1288.4755912578846,699.8670991770958,8.475591257884616,-20.132900822904162,1.75,41.519060134887695,1265.9854906280395,665.4590914735243,-11.499100939961636,54.057301397018136,3.2738738555246982,35.73530292474777,-22.383723794089974,34.36355506592372,10.884622854128338,19.693746331094417,9.044822840550978,23.759568825478027,-0.17256148854985323,-0.30240094916776744
4,57,56,528,4.4,217,1281.4345753102261,699.5930414218622,1.434575310226137,-20.406958578137846,0.5,78.67103958129883,1263.30174238706,653.7009278115459,-14.182849180941275,65.81546505899655,-2.6837482409796394,11.758163661978415,-18.213882617286572,45.89797306177127,4.031033436345297,19.917491997225284,-4.123990986895251,11.550890540677074,-0.5299932218225292,0.22759227265476226
5,56,55,536,4.466666666666667,283,1276.1181317751598,698.9635970608404,-3.8818682248402183,-21.036402939159643,0.75,39.46239471435547,1247.4275432910185,636.571810508846,-30.05704827698264,82.94458236169635,-15.874199096041366,17.129117302699797,-28.469712823112786,62.433746365872594,-1.587335453869855,20.510835995823754,10.081474790032416,16.642647566818027,0.8297750914937051,-0.6021828188389436
6,55,54,545,4.541666666666667,358,1286.8547425096904,692.0818834327304,6.854742509690368,-27.918116567269635,1.5,77.14163208007812,1256.5749334182758,598.1655185198301,-20.909658149725374,121.35087435071227,9.147390127257268,38.406291989015926,-29.92371577013455,93.83133368811298,9.014057620409176,27.519540662599297,1.0540365017088789,31.41355792139325,0.1274991330178675,-0.7296819518568111
7,54,53,554,4.616666666666666,433,1274.015147538524,699.1881609609791,-5.984852461476066,-20.811839039020924,1.75,71.34149932861328,1244.2237551149865,580.7985441433228,-33.26083645301469,138.71784872721958,-12.351178303289316,17.3669743765073,-29.78102522043173,118.39260090631615,-3.4798112325829607,20.325247820903428,-0.15492635055557002,24.56119308549296,-0.701138604108952,-0.028543347747858983
8,53,52,562,4.683333333333334,500,1271.6435551986783,702.1764289034235,-8.356444801321686,-17.82357109657653,1.25,52.89017105102539,1242.9142086879426,566.1741139493619,-34.57038288005856,153.34227892118054,-1.3095464270438697,14.624430193960961,-28.682946356928824,136.02414307383037,-5.887436523129736,17.318135847350163,-1.144003428149972,17.628621969730943,0.12070622648062455,-0.14924957422848353
9,52,51,571,4.758333333333334,575,1273.3099726288906,696.7981155669179,-6.690027371109409,-23.201884433082114,1.0,79.8143310546875,1244.6713379528755,519.9338553803568,-32.81325361512563,199.5825374901856,1.757129264932928,46.24025856900505,-28.42471715504439,176.92701212943507,-4.388536460081241,22.655525360750516,-0.6358384773839134,40.898741896680804,0.37971957113123356,-0.5289691453597171
10,51,50,580,4.833333333333333,650,1273.7464740682863,701.4002219418757,-6.253525931713739,-18.599778058124343,-0.75,90.65848922729492,1238.3182376672457,486.2638812711639,-39.16635390075544,233.25251159937852,-6.353100285629807,33.669974109192935,-35.35676491911636,215.1605234999456,-3.809588981639081,18.09198809943291,6.784985454467915,38.259883040921636,-0.3086615135916998,-0.22030763176801707
11,50,49,588,4.9,717,1284.9743665602589,702.9468685078165,4.974366560258886,-17.053131492183525,-0.75,73.60700035095215,1256.35646434227,458.6808767734438,-21.128127225731077,260.8355160970986,18.03822667502436,27.583004497720083,-28.633470675987837,244.27054073770722,7.50534345025676,16.564975359391383,-6.696712249501388,29.116143874315412,-0.2726221210278138,0.05231448925979667
12,49,48,596,4.966666666666667,783,1273.4526958543593,703.8046518011857,-6.547304145640737,-16.19534819881426,-0.75,43.63265800476074,1245.751970501661,429.90011244147667,-31.732621066340243,289.61628042906574,-10.604493840609166,28.780764331967134,-27.562355782300074,273.9611682221253,-4.17026528404017,15.65511220694043,-1.3251856132781086,29.680372818149067,0.5426916429244336,-0.49037715366463736
13,48,47,605,5.041666666666667,858,1281.6917963627798,701.155620499945,1.691796362779769,-18.84437950005497,-0.25,96.79016494750977,1268.1042667980435,383.02020619026814,-9.380324769957724,336.49618668027426,22.35229629638252,46.879906251208524,-13.426847974264547,318.12167881301946,4.046523204306823,18.374507867254806,-14.511396592493156,44.03842237836034,-0.0020104626053482426,-0.488366691059289
14,47,46,614,5.116666666666666,933,1277.0986262083852,702.4124359274834,-2.9013737916147875,-17.587564072516557,-0.75,97.32558059692383,1268.9107673112476,343.32718598054714,-8.573824256753596,376.18920688999526,0.8065005132041279,39.693020209721,-8.194252801248012,359.08419635533585,-0.3795714555055838,17.105010534659414,-5.217703478178464,40.96441707217434,-0.5091957690332277,0.02082907797393932
15,46,45,622,5.183333333333334,1000,1287.024836644012,702.4789238570129,7.024836644012112,-17.521076142987113,-0.5,36.08427810668945,1268.9476537513551,312.2422347260279,-8.53693781664606,407.2741581445145,0.036886440107537055,31.08495125451924,-17.995221326884575,390.2040498629439,9.458283510238516,17.070108281570583,9.655422679213416,31.165318532966012,0.28860220194425584,-0.26777312397031694
16,45,44,631,5.258333333333334,1075,1292.6266904409117,698.5894936047646,12.626690440911716,-21.410506395235416,-0.25,59.953718185424805,1275.790318450749,243.78446588522706,-1.6942731172521235,475.73192698531534,6.842664699393936,68.45776884080084,-16.486331859609436,454.60241419310944,14.792058742357312,21.1295127922059,-2.5565102658233627,64.36528824673996,0.6645229815534162,-0.9322961055237332
17,44,43,639,5.325,1142,1287.183899617181,700.6785971628019,7.183899617180941,-19.321402837198093,-1.0,36.27788734436035,1269.6106324751509,207.06343221194805,-7.873959092850328,512.4529606585943,-6.179685975598204,36.72103367327901,-17.406824564462795,493.5540932813179,9.532865471612467,18.898867377276474,0.5854484008807503,38.958155253814994,-0.43950834918567033,-0.4927877563380629
18,43,42,648,5.4,1217,1288.6684853942058,698.6031646788053,8.668485394205845,-21.396835321194658,0.0,53.52396011352539,1285.7969537547835,150.19692339610663,8.312362186782366,569.3194694744358,16.186321279632693,56.86650881584143,-2.6645424536468454,548.3235448886394,10.976904640429211,20.995924585796388,-15.270390706986745,54.62456296262303,0.060408115384700846,-0.5531958717227637
19,42,41,656,5.466666666666667,1283,1282.1759986432103,701.9581171683272,2.175998643210278,-18.04188283167275,0.0,42.6894416809082,1273.0990311947576,112.50397347742512,-4.385560373243607,607.0124193931173,-12.697922560025972,37.69294991868151,-8.7234366110481,589.4150111389228,4.337876237804494,17.597408254194534,5.253495286207908,41.20217936331221,0.5682633259709848,-1.1214591976937482
20,41,40,665,5.541666666666667,1358,1281.0104336792149,704.3274064815528,1.0104336792148843,-15.67259351844723,-0.75,64.13021469116211,1274.8519647205637,64.80631588739493,-2.63262684743745,654.7100769831475,1.7529335258061565,47.69765759003019,-5.842153655796892,639.5038987892117,3.209526808359442,15.206178193935784,-3.890969050279409,50.0205839366281,0.034251435519317905,-1.1557106332130664
21,40,39,673,5.608333333333333,1425,1292.0330434782213,700.826074240812,12.033043478221316,-19.173925759188023,0.75,46.85023880004883,1289.3907124921684,28.48151846953192,11.906120924167226,691.0348744010105,14.538747771604676,36.32479741786301,-2.437433554770223,672.2174834873639,14.343554478937449,18.81739091364659,-3.752948176285372,32.675466679997385,-0.5454613641014165,-0.6102492691116506
22,39,38,682,5.683333333333334,1500,1285.018552950756,703.9942487827487,5.018552950755975,-16.00575121725126,-0.75,51.31405448913574,1276.3962712451905,-2.1490516133492292,-1.0883203228106595,721.6654444838916,-12.994441246977885,30.63057008288115,-8.34950983845556,706.0603130781442,7.261189515644901,15.605131405747443,5.33600169468923,33.93842728543814,0.36364379402018515,-0.9738930631318354
23,38,37,690,5.75,1567,1271.4371896050664,686.1787481822821,-8.56281039493365,-33.821251817717894,1.25,63.63448143005371,1257.1403238063033,-51.18306777559371,-20.344267761697893,770.6994606461361,-19.255947438887233,49.034016162244484,-13.51503855681608,737.5694314978497,-6.829229204881813,33.13002914828644,4.4336170066465,31.620409085993856,0.35460011361215893,-1.3284931767439947
24,37,36,699,5.825,1642,1281.5371612506965,704.2875374796539,1.5371612506964993,-15.712462520346094,0.0,81.59907531738281,1265.77756290112,-69.84603703756238,-11.707028666881115,789.3624299081048,8.637239094816778,18.66296926196867,-15.446013999038314,774.1060496572203,3.738985332157199,15.25638025088449,1.2021158798825127,36.567855421031254,-0.18604070818033364,-1.1424524685636612
