shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,27,26,616,5.133333333333334,0,1278.355491949087,697.8598816961451,-1.6445080509129184,-22.140118303854933,-0.5,46.520639419555664,1276.3214809588897,700.5889950621863,-0.2025837887695161,2.709562042241373,-0.2025837887695161,2.709562042241373,-2.1026498136336613,-2.7341047123122735,1.9000660248641452,5.443666754553647,2.0941644121344325,-2.7406094635339286,-0.1776082872859206,0.1776082872859206
2,26,25,622,5.183333333333334,50,1269.582350124844,703.8963715096528,-10.41764987515603,-16.103628490347205,-0.25,69.53999710083008,1264.029119644684,687.2802477043757,-12.49494510297518,16.018309400051976,-12.292361314205664,13.308747357810603,-5.560823849382814,16.611214093175818,-6.934121253592366,-0.5929046931238418,3.467294189111499,19.343686265902193,0.1505956367649636,0.027012650520956964
3,25,24,628,5.233333333333333,100,1283.5033745800615,695.6471569830567,3.503374580061518,-24.352843016943325,0.0,43.17647361755371,1272.6446799153698,662.1769195825747,-3.879384832289361,41.12163752185302,8.615560270685819,25.10332812180104,-10.857335058489753,33.470041847690936,6.977950226200392,7.651595674162081,5.29556998529506,16.859123428442217,0.030211430405879775,-0.0031987798849228235
4,24,23,635,5.291666666666667,158,1274.1458975862274,702.6202987131147,-5.85410241377258,-17.37970128688528,0.5,40.96034622192383,1258.9950723873033,650.8670153847225,-17.528992360355915,52.43154171970514,-13.649607528066554,11.30990419785212,-15.02726422330943,51.79539330923137,-2.5017281370464843,0.6361484104737656,4.039383076464219,18.354568907772546,0.40463789139919903,-0.40783667128412154
5,23,22,645,5.375,242,1276.23961500505,694.2252218774544,-3.7603849949500727,-25.774778122545627,0.5,63.95811080932617,1257.1330381945427,625.6301084967496,-19.39102655311649,77.6684486076781,-1.862034192760575,25.236906887972964,-19.13216064038147,68.59139381944317,-0.25886591273501836,9.077054788234932,4.121564758331488,16.791918046393562,-0.46470387641571903,0.05686720513159724
6,22,21,651,5.425,292,1270.2983357408148,691.6266521824491,-9.701664259185236,-28.373347817550894,0.75,66.92318344116211,1245.1046698670127,597.6139434313994,-31.41939488064645,105.68461367302825,-12.02836832752996,28.01616506535015,-24.896915067697137,94.11591592593913,-6.522479812949314,11.568697747089118,5.497003383494757,25.583521574914357,0.6571979287192741,-0.6003307235876767
7,21,20,656,5.466666666666667,333,1266.45178411072,687.4330393806599,-13.548215889280073,-32.56696061934008,1.0,73.56266021728516,1224.063073965768,576.6718950753294,-52.46099078189127,126.62666202909827,-21.04159590124482,20.942048356070018,-42.35500847158801,110.77518503895624,-10.105982310303261,15.851476990142032,17.44084062054685,16.677330455668653,-0.5410258397672476,-0.059304883820429116
8,20,19,661,5.508333333333334,375,1268.9019593380722,695.2489145488523,-11.098040661927826,-24.751085451147674,1.25,59.69137763977051,1229.1025924927374,578.2950173054634,-47.42147225492181,125.00353979896431,5.039518526969459,-1.6231222301339585,-39.61261128468777,117.0384849342388,-7.808860970234036,7.965054864725516,-2.789657850720232,6.242393530119671,0.37374966036185253,-0.4330545441822817
9,19,18,671,5.591666666666667,458,1270.742238383181,689.0945251386482,-9.257761616818925,-30.905474861351763,1.0,81.24238204956055,1239.5519993193095,556.8672728026334,-36.97206542834965,146.43128430179434,10.449406826572158,21.427744502830024,-31.153851809763182,132.2381755203388,-5.818213618586469,14.193108781455521,-8.476652463606115,15.189719180387783,-0.36558415737705485,-0.06747038680522699
10,18,17,677,5.641666666666667,508,1280.163951244353,690.5187001697716,0.16395124435302932,-29.48129983022841,0.75,70.39873123168945,1249.5062826308272,545.0057399074201,-27.017782116831995,158.2928171970076,9.954283311517656,11.861532895213259,-30.36919341107955,145.51276736452735,3.351411294247555,12.780049832480245,-0.9145094905888982,13.266278672787053,0.493163836969045,-0.5606342237742719
11,17,16,685,5.708333333333333,575,1285.9877266972503,686.0258028936225,5.987726697250309,-33.97419710637746,-0.25,32.77649211883545,1260.720888288305,521.3611876618074,-15.803176459354063,181.93736944262025,11.214605657477932,23.64455224561266,-25.205103908213232,164.65379274851512,9.401927448859169,17.283576694105136,-5.198856562474248,19.13161163067275,-0.4565386929160501,-0.10409553085822229
12,16,15,693,5.775,642,1283.3170585416417,701.8245703652486,3.3170585416416998,-18.175429634751367,-0.25,48.686641693115234,1255.1980708980827,539.2562424151436,-21.325993849576435,164.04231468928413,-5.522817390222372,-17.895054753336126,-28.050280141995927,162.5559227687794,6.724286292419492,1.4863919205047296,2.8530836386742067,-2.0871032566428767,0.11242216826179567,-0.21651769912001784
13,15,14,698,5.816666666666666,683,1285.5472685403838,688.2099428314214,5.547268540383811,-31.79005716857864,-0.25,63.4643669128418,1252.9043837089855,513.5851113927116,-23.61968103867366,189.71344571171608,-2.293687189097227,25.67113102243195,-32.630127624322085,174.62260798223542,9.010446585648424,15.090837729480654,4.575004976567925,12.068522049794751,-0.1935259646418236,-0.02299173447819461
14,14,13,705,5.875,742,1276.858621152503,690.921821365511,-3.1413788474969806,-29.07817863448895,-0.5,70.58638000488281,1256.580231395894,501.93647406599985,-19.94383335176508,201.36208303842784,3.6758476869085825,11.648637326711764,-20.057142643843918,189.01010134387423,0.11330929207883855,12.351981694553615,-12.68213587360583,14.29137314025229,0.4131381460015637,-0.4361298804797575
15,13,12,711,5.925,792,1278.6281071072883,685.9619721853926,-1.371892892711685,-34.0380278146074,-1.25,44.59157133102417,1256.253896080831,478.96345177198634,-20.270168666828113,224.33510533244134,-0.3263353150630337,22.973022294013504,-22.491056819212645,206.9940118302369,2.220888152384532,17.341093502204444,2.495630761127586,17.975449972077968,-0.6328016996028475,0.19667181912308793
16,12,11,715,5.958333333333333,825,1275.4947930311728,689.741400431588,-4.505206968827224,-30.258599568412023,-0.25,52.06041145324707,1244.258808042282,481.62798308227116,-32.26525670537717,221.67057402215653,-11.995088038549056,-2.664531310284815,-31.192024447294216,208.11999528882632,-1.0732322580829532,13.550578733330212,8.699322406187093,1.138624647172719,0.2799217678304008,-0.08324994870731187
17,11,10,726,6.05,917,1272.448859789612,686.0,-7.5511402103879846,-34.0,0.0,73.23909187316895,1249.3296240341115,469.6016830361491,-27.194440713547692,233.6968740682786,5.070815991829477,12.02630004612206,-23.155665192080278,216.3902467383449,-4.038775521467414,17.30662732993369,-8.027494503309299,8.278856268619847,-0.1446324510926067,0.06138250238529439
18,10,9,731,6.091666666666667,958,1284.5813970230547,692.2630645227175,4.581397023054706,-27.736935477282486,0.0,72.96993255615234,1243.5209243616275,458.3017543648169,-33.003140386031646,244.9968027396108,-5.808699672483954,11.299928671332225,-40.90754825938939,233.9364838287218,7.904407873357741,11.06031891088901,17.654918354548045,17.64379909093759,0.37713408125604325,-0.31575157887074756
19,9,8,737,6.141666666666667,1008,1274.3543742672757,698.7720109457965,-5.645625732724284,-21.227989054203476,0.25,48.57498550415039,1237.8041555037678,458.49835294529055,-38.71990924389138,244.80020415913714,-5.7167688578597335,-0.19659858047367607,-36.47959112516514,240.2925674755022,-2.240318118726236,4.507636683634928,-4.449089293701945,6.341309656849944,-0.12503803582471232,-0.19071354304603566
20,8,7,744,6.2,1067,1277.1444213217046,699.5056653685333,-2.8555786782953874,-20.4943346314667,0.75,60.99790000915527,1235.0912407042576,445.899508710351,-41.432824043401524,257.3990483940767,-2.712914799510145,12.598844234939577,-41.86730096059205,253.63291662214095,0.4344769171905227,3.766131771935761,5.266417008694361,13.388696146956136,0.3292840310445542,-0.5199975740905888
