shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,286,2.3833333333333333,0,1280.5270421606542,711.5493005420693,0.5270421606542186,-8.450699457930682,0.0,71.08725166320801,1279.1522551611288,715.0261658814109,0.8484546035213043,-27.34367010842368,0.8484546035213043,-27.34367010842368,-1.3926075015413062,-3.4757350684288895,2.2410621050626105,-23.86793503999479,1.3852744295688808,-3.4786642082901835,-0.12083111781807732,0.12083111781807726
2,59,58,294,2.45,67,1277.5858720289648,716.8888921905044,-2.4141279710352137,-3.111107809495593,0.25,76.3510513305664,1273.104652122515,689.400458272249,-5.199148435092411,-1.71796249926183,-6.047603038613715,25.62570760916185,-4.471328636416956,27.496134506361614,-0.7278197986754549,-29.214097005623444,2.9801136596317974,30.981513057948632,0.30321946043685694,-0.18238834261877968
3,58,57,301,2.5083333333333333,125,1261.1908258455258,738.1661143360076,-18.80917415447425,18.16611433600758,0.75,61.73538017272949,1272.0175949141346,690.5505883698987,-6.28620564347284,-2.868092596911538,-1.087057208380429,-1.1501300976497077,10.942425655644456,47.49500732122317,-17.228631299117296,-50.36309991813471,-15.285692320243697,20.096923782805334,-0.5483810986886274,0.36599275606984827
4,57,56,309,2.575,192,1260.8973233106615,697.8038990300894,-19.102676689338523,-22.196100969910617,-0.75,62.228715896606445,1275.5850576353653,612.1600174341964,-2.7187429222421997,75.52247833879073,3.5674627212306405,78.39057093570227,14.60698470583975,85.57464076538633,-17.32572762808195,-10.0521624265956,-3.5262170181893,38.09269312892991,0.1578750260549928,0.2081177300148553
5,56,55,316,2.6333333333333333,250,1262.4792443793854,703.8127516239992,-17.520755620614636,-16.187248376000753,-0.5,73.22805786132812,1273.7179290573372,606.4654608592485,-4.585871500270287,81.21703491373864,-1.8671285780280868,5.69455657494791,11.231892249569682,97.33994186867449,-15.817763749839969,-16.122906954935843,3.3800279472061447,11.763884146637679,0.18408096092753262,0.024036769087322333
6,55,54,324,2.7,317,1261.5171850886925,714.2959831241399,-18.482814911307514,-5.704016875860134,0.0,70.8931941986084,1261.0038221530303,593.0790673015694,-17.299978404577132,94.60342847141783,-12.714106904306846,13.386393557679185,-0.5462086618902049,121.1115529866745,-16.753769742686927,-26.508124515256668,11.913540672249155,23.704022968193158,-0.30287221353913224,0.3269089826264551
7,54,53,331,2.7583333333333333,375,1260.6436011081323,721.2289995143757,-19.356398891867684,1.2289995143756869,0.75,65.76472473144531,1248.0850455233142,575.7603334534192,-30.21875503429328,111.92216231956797,-12.918776629716149,17.318733848150146,-12.571287425912033,145.6549979198768,-17.64746760838125,-33.73283560030882,11.788184713357396,24.658100284365673,0.8786365494324996,-0.5517275668060454
8,53,52,339,2.825,442,1264.6239411154647,725.819594798207,-15.376058884535269,5.819594798207049,1.25,52.33469867706299,1242.6930981061557,559.4207384806273,-35.61070245145174,128.2617572923599,-5.3919474171584625,16.33959497279193,-21.957058874675567,166.4676560138754,-13.653643576776176,-38.205898721515496,9.292472754103983,20.85448135869956,-0.29514107805609546,-0.25658648874994977
9,52,51,346,2.8833333333333333,500,1271.634713268208,733.2218006270649,-8.365286731791912,13.221800627064908,0.0,40.3546028137207,1256.7075361431882,549.8930637266719,-21.596264414419238,137.78943204631526,14.014438037032505,9.527674753955353,-14.946895051987894,183.3411916453124,-6.649369362431344,-45.55175959899714,-7.03530800423664,16.86306742001034,-0.17118042619393534,-0.08540606255601445
10,51,50,354,2.95,567,1267.6382305560412,714.8338311714047,-12.361769443958792,-5.166168828595346,0.25,72.78690147399902,1257.0002416865864,519.3355168041173,-21.303558871021096,168.34697896886985,0.29270554339814225,30.557546922554593,-10.60396771401497,195.58048677898728,-10.699591157006125,-27.23350781011743,-4.424077245569379,12.210196712475522,0.2949315059219287,-0.38033756847794314
