shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,50,49,274,2.283333333333333,0,1276.5522537457018,708.7025431246577,-3.447746254298181,-11.297456875342277,0.25,85.19788360595703,1275.0949114944192,709.8920334843156,-4.428432510872426,9.596478615900423,-4.428432510872426,9.596478615900423,-1.471889426557027,-1.1939196175252391,-2.956543084315399,10.790398233425663,1.4703511576340134,-1.1958135349484564,-0.07376246571566865,0.07376246571566868
2,49,48,282,2.35,67,1288.4025294954245,705.8905228236642,8.40252949542446,-14.109477176335758,0.25,86.40509796142578,1296.791701474263,672.7872785363534,17.268357468971317,46.701233563862615,21.696789979843743,37.10475494796219,8.477412545068546,33.05106733311197,8.79094492390277,13.650166230750642,-10.162878667317045,34.18221230648021,0.4314273609795268,-0.3576648952638581
3,48,47,289,2.408333333333333,125,1278.8623779922018,702.3359515452905,-1.1376220077981998,-17.664048454709473,-0.25,71.92340850830078,1292.1413514912492,650.4213796770039,12.618007485957605,69.06713242321212,-4.650349983013712,22.3658988593495,13.185073434364313,51.9087749318104,-0.5670659484067073,17.158357491401716,-4.60736612941173,18.88246234674284,-0.6621920306286896,0.3045271353648318
4,47,46,297,2.475,192,1280.8637632293216,697.2585292767544,0.8637632293216484,-22.741470723245584,-0.75,80.27425765991211,1310.6002595621276,611.8897610212213,31.076915556835957,107.59875107899472,18.45890807087835,38.53161865578261,29.589663655592403,85.3748200583749,1.4872519012435532,22.22393102061983,-16.188144686965416,33.57127832438812,-0.06545698320871099,0.3699841185735428
5,46,45,306,2.55,267,1268.941095235315,695.7530713676285,-11.05890476468494,-24.246928632371464,-0.25,72.55956268310547,1274.9587858358668,576.6190398909646,-4.564558169424799,142.8694722092514,-35.641473726260756,35.270721130256675,6.036285672295435,119.14252121393304,-10.600843841720234,23.72695099531836,23.52746993153778,33.78575756699479,0.4139321850829999,-0.04394806650945757
6,45,44,313,2.6083333333333334,325,1280.3532386881093,696.5827559832812,0.35323868810928616,-23.41724401671877,0.25,93.14176940917969,1278.1639096685974,562.15201108583,-1.3594343366942212,157.33650101438593,3.205123832730578,14.467028805134532,-2.2100038624157605,134.43106589724368,0.8505695257215393,22.905435117142247,8.259784508795974,15.281258112214573,-0.09453426195510782,0.050586195445650364
7,44,43,322,2.683333333333333,400,1273.1593747416769,705.1644634181334,-6.8406252583231435,-14.835536581866563,0.0,59.30146789550781,1255.5689827158185,550.0932992656764,-23.954361289473127,169.39521283453962,-22.594926952778906,12.05871182015369,-17.566062498893643,155.08240664007883,-6.3882987905794835,14.31280619446079,15.32215800623203,20.676505636970774,0.1445839606523379,-0.09399776520668755
8,43,42,330,2.75,467,1281.7716561133047,697.9918637330293,1.7716561133047435,-22.008136266970723,1.25,64.20327377319336,1262.2514109584185,514.5253331882896,-17.271933046873073,204.96317891192643,6.682428242600054,35.567966077386814,-19.28114728894593,183.4485892546919,2.009214242072858,21.514589657234524,1.4069461977896935,28.383134681693832,0.5282076877713273,-0.622205452978015
9,42,41,338,2.816666666666667,533,1271.6170683989344,701.0637828759178,-8.382931601065593,-18.93621712408219,0.75,69.49276924133301,1252.5717786341495,504.5172823530319,-26.951565371142124,214.9712297471841,-9.67963232426905,10.008050835257677,-19.024124665959107,196.55588431813555,-7.927440705183017,18.415345429048557,-0.2716761738495279,13.106999525652782,-0.5581498264567321,-0.06405562652128222
10,41,40,347,2.8916666666666666,608,1278.4469437358168,701.0013881561714,-1.5530562641831693,-18.9986118438286,-0.25,69.32454109191895,1272.5336005364454,486.38171050193597,-6.9897434688462,233.10680159828001,19.961821902295924,18.135571851095904,-6.075290038868388,214.6071335542311,-0.9144534299778115,18.499668044048917,-12.794546694634619,18.160933127518092,-0.5522887730048684,0.48823314648358646
11,40,39,354,2.95,667,1269.373725478609,700.5087077775645,-10.626274521390997,-19.491292222435504,-0.75,58.61944770812988,1268.3471091660435,475.80452455835007,-11.176234839248082,243.68398754186592,-4.186491370401882,10.577185943585903,-0.99725847358809,224.72021724811088,-10.178976365659992,18.963770293755033,-5.0932644146057555,10.105420524664737,0.5745677043441024,-0.08633455786051569
12,39,38,362,3.0166666666666666,733,1280.5658433527915,702.294013334998,0.5658433527914895,-17.705986665002,-1.25,60.43480682373047,1294.6717822455462,466.8070564068672,15.148438240254563,252.68145569334877,26.324673079502645,8.997468151482849,13.96664606829222,235.49195702591987,1.1817921719623428,17.189498667428893,-14.878689536610409,10.889142053095725,-0.5371412243007515,0.45080666644023476
13,38,37,370,3.0833333333333335,800,1268.760620156057,700.3818384800965,-11.23937984394297,-19.618161519903538,-1.5,53.81585121154785,1284.1907182254024,438.38855596821,4.667374220110787,281.09995613200596,-10.481064020143776,28.41850043865719,15.215878179847778,261.8720983314799,-10.54850395973699,19.227857800526067,-0.9619964362584597,26.392176852743546,-0.17290023059690807,0.6237068970371425
14,37,36,378,3.15,867,1276.6814166132958,700.8951809016716,-3.3185833867041765,-19.10481909832845,-1.25,53.96112823486328,1288.4042407381799,429.10963879670265,8.880896732888232,290.37887330351333,4.213522512777445,9.278917171507373,11.716273402165143,271.7844053751515,-2.8353766692769113,18.594467928361837,3.503003234950029,9.911106540842638,0.6040617178125078,0.01964517922463559
15,36,35,386,3.216666666666667,933,1286.0232902812384,701.5612357976137,6.02329028123836,-18.438764202386324,-0.25,64.20782279968262,1289.8588621241622,409.258794457195,10.335518118870596,310.229717643021,1.4546213859823638,19.85084433950766,3.7835982597384827,292.3195004072621,6.551919859132113,17.910217235758864,7.990552811182852,20.51264314184732,-0.14192981114971226,0.16157499037434764
16,35,34,394,3.283333333333333,1000,1285.012753494486,702.6765226326468,5.012753494486105,-17.323477367353235,0.5,58.02885055541992,1279.4018763162744,383.2737798834871,-0.12146768901720861,336.21473221672886,-10.456985807887804,25.985014573707872,-5.65839402284746,319.41656299140834,5.536926333830252,16.79816922532052,9.516311223332877,27.071051690952572,0.004354860864194068,0.15722012951015357
17,34,33,404,3.3666666666666667,1083,1287.6057878729666,702.5764577811215,7.60578787296663,-17.423542218878538,1.0,71.70930099487305,1273.7358996857486,360.36149585222637,-5.787444319543056,359.1270162479896,-5.665976630525847,22.912284031260754,-13.727431972609338,342.153467311125,7.939987653066282,16.97354893686463,7.883201101004715,22.802002804134986,0.6248469865811404,-0.4676268570709865
18,33,32,409,3.408333333333333,1125,1276.069752962619,702.7351722145575,-3.930247037380923,-17.26482778544255,0.75,73.46935272216797,1271.163294118732,343.5286633297576,-8.360049886559636,375.9598487704584,-2.5726055670165806,16.832832522468777,-4.888396090583456,359.2106307161797,-3.471653795976181,16.749218054278685,-8.856878660335951,17.047905418160894,-0.4076758976411139,-0.05995095942987254
19,32,31,418,3.4833333333333334,1200,1281.9123702762965,703.8071632098548,1.9123702762965422,-16.19283679014518,0.0,58.51522445678711,1286.8708339695913,326.9595173798598,7.347489964299712,392.5289947203562,15.707539850859348,16.569145949897802,4.868094119645093,376.85857431242266,2.4793958446546185,15.670420407933534,-9.6578154066342,17.702135915472013,-0.37981644118146,0.3198654817515872
20,31,30,426,3.55,1267,1281.549260337089,703.7241364867964,1.549260337088981,-16.275863513203603,-0.75,46.73074531555176,1294.8626332120607,308.37110052827916,15.339289206769081,411.1174115719368,7.991799242469369,18.588416851580632,13.37121207167661,395.34763405178114,1.9680771350924715,15.769777520155685,-8.568757355572188,18.45873078879106,0.5234423009511875,-0.20357681919959966
