shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,125,124,236,1.9666666666666666,0,1283.9960657175677,725.8723379649643,3.996065717567717,5.872337964964345,-0.75,70.8177719116211,1287.8660982701385,720.0865360619134,9.548119317975306,-2.0689188451307245,9.548119317975306,-2.0689188451307245,3.937226198544977,5.830968364695309,5.6108931194303295,-7.8998872098260335,-3.8705079136630047,5.875466849439249,-0.6530826305051968,0.6530826305051972
2,124,123,247,2.058333333333333,92,1285.7074936594045,739.6130086057991,5.707493659404463,19.61300860579911,-0.5,77.98083114624023,1288.709116954497,689.2692631509706,10.391138002333719,28.748354065812123,0.8430186843584124,30.817272910942847,3.1065197711520796,50.37396711404608,7.284618231181639,-21.62561304823396,1.0687392871436714,44.53792324625499,0.34688360417721675,0.30619902632798013
3,123,122,257,2.1416666666666666,175,1276.5254855764272,737.1604006221834,-3.4745144235728276,17.160400622183374,-0.25,90.41015625,1259.709366168183,633.3873537175725,-18.608612783980334,84.63026349921017,-28.999750786314053,55.88190943339805,-17.060215007201577,103.82066749961041,-1.5483977767787565,-19.190404000400235,19.40554728133702,53.72775547551328,1.1200514942249187,-0.8138524678969405
4,122,121,268,2.2333333333333334,267,1283.5917633855197,734.7258495005203,3.591763385519698,14.725849500520326,-0.25,76.00560760498047,1275.64537075139,596.9996760368284,-2.672608200773311,121.01794117995428,15.936004583207023,36.387677680744105,-8.063639402704212,137.69708045589334,5.3910312019309,-16.679139275939065,-9.266275275163252,33.803636933279336,-0.3572165435071285,-0.4566359243898116
5,121,120,279,2.325,358,1284.788681907386,727.9187289797636,4.788681907386035,7.918728979763614,-0.5,76.49092864990234,1272.1408241458896,549.3880531712621,-6.17715480627362,168.62956404552062,-3.504546605500309,47.611622865566346,-12.67428080310924,178.51463671226497,6.497125996835621,-9.88507266674435,4.474278859314836,40.83272880367292,-0.2652589850812997,-0.19137693930851152
6,120,119,290,2.4166666666666665,450,1283.4755897822665,738.1819348846125,3.4755897822665247,18.181934884612474,0.25,85.17277145385742,1268.826353176587,539.3700599716672,-9.491625775576267,178.64755724511554,-3.314470969302647,10.017993199594912,-14.6913166067377,198.80378056296854,5.199690831161433,-20.156223317853005,1.9700631132266153,20.293758719309835,-0.05874297080872766,-0.1326339684997838
7,119,118,300,2.5,533,1279.718374000599,739.0601302753797,-0.2816259994010579,19.06013027537972,0.75,96.73115921020508,1240.1683454080428,514.7724433255532,-38.149633544120434,203.24517389122946,-28.658007768544167,24.59761664611392,-39.51753883856372,224.287179194619,1.3679052944432897,-21.042005303389544,24.869625518645307,25.44104248426106,-0.23030119842197397,0.09766722992219065
8,118,117,311,2.591666666666667,625,1277.7706363864945,698.234820579071,-2.229363613505484,-21.76517942092903,0.75,87.8885498046875,1247.3310827269158,444.5655128711161,-30.986896225247392,273.4521043456666,7.162737318873042,70.20693045443716,-30.657615498945916,253.64807479183764,-0.32928072630147653,19.80402955382897,-8.56546780174881,29.448144138330463,-0.4760853314975446,0.5737525614197361
9,117,116,322,2.683333333333333,717,1265.1896074492313,736.097896074456,-14.81039255076871,16.097896074456003,0.0,99.64920425415039,1238.59266910534,448.9112122906855,-39.725309846823166,269.1064049260972,-8.738413621575774,-4.345699419569428,-26.502344780994235,287.0991398129779,-13.22296506582893,-17.992734886880726,-3.9581010732747473,33.474967687538765,0.23615729849070227,0.33759526292903347
10,116,115,333,2.775,808,1268.7009010825718,730.4847046664479,-11.299098917428182,10.484704666447897,0.25,74.10335922241211,1216.8714998966668,410.7185121117841,-61.44647905549641,307.2991051049986,-21.721169208673246,38.19270017890142,-51.721703551791734,319.6489205848966,-9.724775503704677,-12.349815479897984,25.554232187688285,32.28754407519864,-0.2542447891198653,0.591840052048899
11,115,114,344,2.8666666666666667,900,1263.9868537408136,732.0557911250063,-16.013146259186442,12.055791125006294,1.25,73.64701461791992,1204.493907139373,397.9147912937428,-73.82407181279018,320.1028259230399,-12.377592757293769,12.803720818041313,-59.52120018115306,334.17843651332254,-14.302871631637117,-14.075610590282622,7.765477185852205,14.547726449923402,0.7259084495761375,-0.1340683975272395
