shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,40,39,156,1.3,0,1287.86540128693,735.5898159661804,7.8654012869299095,15.589815966180367,0.75,79.05812072753906,1284.4734716469718,737.6856384935386,5.052316016435043,-23.63360518050888,5.052316016435043,-23.63360518050888,-3.2092401189202064,-2.0049867473248923,8.26155613535525,-21.628618433183988,3.1855946317011785,-2.0423468951951236,-0.669463567089814,0.6694635670898129
2,39,38,167,1.3916666666666666,92,1292.094627875513,727.0957050511776,12.09462787551297,7.095705051177561,-0.75,62.18659210205078,1296.5442193089405,709.504699921771,17.123063678403696,4.5473333912586895,12.070747661968653,28.18093857176757,4.499528065561208,17.67544398152961,12.623535612842488,-13.128110590270921,-7.570897723911685,19.73387869247665,0.26862623629590704,0.4008373307939066
3,38,37,178,1.4833333333333334,183,1295.450572790762,724.9757102364807,15.450572790761953,4.975710236480722,-1.5,63.57381248474121,1306.8307012543899,687.4237793612896,27.40954562385309,26.628253951740135,10.286481945449395,22.080920560481445,11.394274519394685,37.59564506539334,16.015271104458407,-10.967391113653207,-6.838333056966576,19.93963743116217,0.2386566742355215,0.16218065655838554
4,37,36,189,1.575,275,1295.5313434358634,716.3106387647387,15.531343435863391,-3.6893612352613445,-1.75,62.607147216796875,1314.3392914640099,657.8182083606422,34.918135833473116,56.23382495238752,7.508590209620024,29.605571000647387,18.807590875215737,58.49393425775543,16.11054495825738,-2.260109305367905,-7.411292825332566,20.899006895454477,0.156632940917589,0.005547715640796877
5,36,35,201,1.675,375,1297.0389031539248,700.7144669894814,17.03890315392482,-19.285533010518634,-1.75,66.1272144317627,1318.8175681791322,611.7154852572124,39.396412548595436,102.33654805581727,4.47827671512232,46.10272310342975,21.754918540453218,89.01998797734859,17.641494008142217,13.316560078468683,-2.9097179022028286,30.52966160617177,-0.0650396292563282,0.07058734489712488
6,35,34,212,1.7666666666666666,467,1303.3271920458749,695.6143121237051,23.32719204587488,-24.385687876294924,-1.25,79.34676742553711,1325.0620174793917,591.8505557218974,45.64086184885491,122.20147759113229,6.244449300259475,19.864929535315014,21.71815839588021,103.77971089764924,23.9227034529747,18.42176669348305,0.04685135547356367,14.759694337714791,0.03141422930377084,0.03917311559335414
7,34,33,224,1.8666666666666667,567,1310.5555304634806,701.4807674331287,30.555530463480636,-18.519232566871324,-0.25,74.07380676269531,1323.1403688704438,566.9493834544066,43.71921323990705,147.10264985862307,-1.9216486089478622,24.90117226749078,12.684055965591142,134.36866212395216,31.035157274315907,12.733987734670905,8.870810326272249,30.636704587820873,0.3447942177332245,-0.30562110213986926
8,33,32,235,1.9583333333333333,658,1306.4828511351411,703.0316417179237,26.482851135141118,-16.968358282076338,-0.25,64.47403526306152,1317.8492004371744,559.5425528392807,38.42804480663767,154.50948047374902,-5.291168433269377,7.406830615125955,11.604522956265782,143.12298752224046,26.82352185037189,11.386492951508558,0.9578675354575807,8.768471616071565,0.49000600491623575,-0.795627107056104
9,32,31,246,2.05,750,1303.79413847893,698.4643016832758,23.79413847893011,-21.535698316724165,1.25,60.28967094421387,1300.652121493852,525.6846987310878,21.230965863315305,188.36733458194192,-17.197078943322367,33.857854108192896,-3.013873358980618,172.63886208787585,24.244839222295923,15.728472494066068,14.44308478684593,29.602055064537126,-0.45581205275679143,-0.3398150542993136
10,31,30,258,2.15,850,1302.9553519124713,708.1983466344668,22.955351912471315,-11.801653365533184,1.25,67.71123695373535,1296.5443733025795,517.6116757120689,17.123217672042756,196.44035760096085,-4.107748191272549,8.073023019018933,-6.343818094456083,190.45694137737667,23.46703576649884,5.983416223584186,3.2290478545746737,17.836640139362657,-0.015541011306167505,-0.3242740429931461
11,30,29,269,2.2416666666666667,942,1308.5889328141095,709.3310328698125,28.588932814109512,-10.668967130187525,1.0,71.10678482055664,1294.4773946403054,500.2884833888329,15.05623900976866,213.7635499241968,-2.0669786622740958,17.323192323235958,-14.075042814170729,208.94526125087918,29.13128182393939,4.818288673317625,7.6682240844193075,18.514538795303565,-0.1291719805583493,-0.19510206243479722
12,29,28,280,2.3333333333333335,1033,1313.1815635588755,714.1910520532285,33.181563558875496,-5.808947946771468,1.75,83.5802001953125,1288.4724222643824,488.9474102506787,9.051266633845671,225.10462306235104,-6.004972375922989,11.34107313815423,-24.680677624909777,225.08333483847832,33.73194425875545,0.021288223872716117,10.527511579770135,16.18914478270335,0.0818238797518547,-0.2769259421866516
