shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,388,3.2333333333333334,0,1278.4286626774076,719.1783869665087,-1.5713373225923988,-0.8216130334913032,0.0,68.84077072143555,1270.5141044433872,712.8226794465983,-9.954913729728787,-25.691914472096414,-9.954913729728787,-25.691914472096414,-7.918288269698678,6.348612913646662,-2.036625460030109,-32.040527385743076,7.946905345929508,6.312754586723713,-0.2589980739446912,0.25899807394469115
2,59,58,399,3.325,92,1279.6093459772462,712.5762371412522,-0.3906540227537789,-7.42376285874775,0.0,68.8962516784668,1267.951387231721,681.9272084645735,-12.517630941395055,5.203556509928376,-2.5627172116662678,30.89547098202479,-11.642987787097127,30.649831618853,-0.874643154297928,-25.446275108924624,3.6756828556815435,24.30868101312035,0.37454848267141083,-0.11555040872671979
3,58,57,409,3.408333333333333,175,1275.0305946130375,719.5096694394624,-4.969405386962535,-0.4903305605375863,-0.5,57.141151428222656,1275.5585052009185,669.7501657887096,-4.910512972197466,17.38059918579222,7.6071179691975885,12.177042675863845,0.5319302873451761,49.80211011290987,-5.442443259542642,-32.42151092711765,-12.338608495302424,19.04723449829271,0.3754879382143311,-0.4910383469410515
4,57,56,420,3.5,267,1271.5855367289057,702.833263090432,-8.414463271094291,-17.166736909568044,0.0,63.78668975830078,1257.1028747611556,622.3070798835254,-23.366143411960365,64.82368509097648,-18.4556304397629,47.44308590518426,-14.300365891926504,80.61674440309832,-9.065777520033862,-15.79305931212184,14.503374295492677,30.970806099172478,0.11899720766424424,-0.6100355546052958
5,56,55,430,3.5833333333333335,350,1266.158138387459,700.4586791060644,-13.841861612540924,-19.541320893935563,0.0,64.33338737487793,1262.265816130932,600.031181152824,-18.203202042183875,87.09958382167781,5.16294136977649,22.27589873070133,-3.8280128382693874,100.47321004820083,-14.375189203914488,-13.373626226523015,-10.537719096842466,19.821853662854323,-0.42125764892478557,-0.18877790568050967
6,55,54,441,3.675,442,1268.9596936634284,697.2610696767547,-11.040306336571575,-22.738930323245313,0.0,43.52482223510742,1267.4016032790182,570.4288119964107,-13.067414894097737,116.70195297809119,5.135787148086138,29.602369156413374,-1.602078723906061,126.81095279483247,-11.465336170191677,-10.108999816741289,-2.1750036352314055,26.341997548704626,-0.29956435137348636,0.11078644569297713
7,54,53,452,3.7666666666666666,533,1275.4799837861988,697.3791245132707,-4.520016213801227,-22.620875486729346,-0.75,44.31670951843262,1285.3343871639777,529.3659415647465,4.865368990861725,157.7648234097553,17.932783884959463,41.06287043166412,9.709030363615966,167.98462022511228,-4.843661372754241,-10.219796815356972,-11.046442988210174,41.245462486888755,-0.2571911915862285,0.3679776372792056
8,53,52,462,3.85,617,1280.3424467121206,701.446689951006,0.34244671212059075,-18.553310048994035,-0.75,50.27798843383789,1292.4423964677355,508.6676299880009,11.973378294619579,178.46313498650096,7.108009303757854,20.698311576745652,11.880764778344655,192.7844010296492,0.09261351627492331,-14.321266043148228,-1.8785713819154353,24.82370898726117,-0.3089924488883014,0.6769700861675066
9,52,51,473,3.941666666666667,708,1267.297274545196,703.4667703063209,-12.702725454804067,-16.533229693679118,-1.0,60.63814735412598,1286.391971021499,490.0314566121135,5.922952848383147,197.09930836238834,-6.0504254462364315,18.63617337588738,18.84229897906721,213.24442153252198,-12.919346130684062,-16.14511317013364,-6.650198849430353,20.563322996754096,-0.1926742509709305,0.869644337138437
10,51,50,483,4.025,792,1265.6332209930101,707.1525959088631,-14.366779006989873,-12.847404091136923,-1.25,39.37211036682129,1282.946170222363,475.815312644259,2.4771520492470245,211.31545233024286,-3.445800799136123,14.21614396785452,17.276010300769713,231.29609494834682,-14.798858251522688,-19.980642618103957,1.6181013259506472,18.04710285431736,0.7051709502757174,0.16447338686271926
