shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,75,74,171,1.425,0,1282.6708193248428,729.8696201709381,2.670819324842796,9.869620170938106,0.25,68.08483505249023,1277.4829295627558,721.6376869686762,-3.0031364313142603,-1.2349364136947543,-3.0031364313142603,-1.2349364136947543,-5.1395904642270125,8.244876812682037,2.136454032912752,-9.479813226376791,5.17985055654367,8.219643058439146,-0.28020601791822525,0.28020601791822497
2,74,73,180,1.5,75,1284.6823093850057,754.0207542170739,4.682309385005738,34.020754217073886,-0.25,55.17375946044922,1267.8356912836891,723.3063929532952,-12.650374710380902,-2.903642398313764,-9.647238279066642,-1.6687059846190095,-17.04075198775513,30.687077591735147,4.390377277374228,-33.59071999004891,11.772854517682617,22.509773830981203,0.6072853071574404,-0.3270792892392153
3,73,72,190,1.5833333333333333,158,1280.8819138387942,704.479784210557,0.8819138387941621,-15.520215789443,0.25,74.8199462890625,1284.134120264816,637.0449589157283,3.648054270745888,83.35779163925315,16.29842898112679,86.26143403756691,3.308344458933334,67.43173716763238,0.3397098118125541,15.926054471620773,-20.481858478048707,36.67082228189588,-0.11985608257313944,-0.20722320666607602
4,72,71,199,1.6583333333333334,233,1276.5482412783595,718.9801758932329,-3.4517587216405445,-1.019824106767146,0.25,50.70841407775879,1285.6931277470776,628.8674610037721,5.207061753007565,91.53528955120942,1.559007482261677,8.177497911956266,9.138938157315579,90.09279378808321,-3.9318764043080137,1.4424957631262032,-5.699601201934229,22.694357364107077,-0.538178021848318,0.3309548151822417
5,71,70,209,1.7416666666666667,317,1279.9591522633368,698.35573617253,-0.04084773666318142,-21.644263827470013,-0.25,78.56326484680176,1267.2809235487184,566.7686129695605,-13.205142445351612,153.63413758542094,-18.412204198359177,62.09884803421153,-12.758547457382292,131.58712064854524,-0.44659498796931985,22.047016936875707,22.051313771968807,41.412783035905136,0.11833869386616795,0.2126161213160737
6,70,69,218,1.8166666666666667,392,1281.1400776224064,698.4392710517734,1.140077622406352,-21.560728948226597,0.0,65.02880096435547,1251.0942548571777,535.3277222254561,-29.39181113689233,185.07502832952537,-16.186668691540717,31.440890744104422,-29.960782978530915,163.1072202756817,0.5689718416385858,21.96780805384367,17.077793187226234,31.58769645422103,0.43857905229543726,-0.2259629309793635
7,69,68,227,1.8916666666666666,467,1278.9298397623131,698.389156841867,-1.0701602376868777,-21.61084315813298,1.25,38.271026611328125,1240.1690030235718,512.135547191582,-40.31706297049823,208.26720336339952,-10.925251833605898,23.19217503387415,-38.4484714908092,186.2713426058242,-1.8685914796890302,21.995860757575315,8.151864788741705,23.28442655667834,0.6025213693219493,-0.8284843003013127
8,68,67,237,1.975,550,1283.176188826414,700.6905772184282,3.1761888264140907,-19.30942278157181,1.5,68.16149139404297,1230.8827099201708,484.9694898932258,-49.60335607389925,235.4332606617557,-9.286293103401022,27.16605729835618,-52.0993435744665,215.69015487286907,2.495987500567253,19.743105788886623,13.354653160188036,29.55445927130245,-0.2529031615413226,-0.5755811387599904
9,67,66,246,2.05,625,1280.5809493991278,701.6689367316376,0.5809493991278032,-18.331063268362414,1.75,53.384151458740234,1214.2316351914462,451.68206277665035,-66.2544308026238,268.7206877783311,-16.651074728724552,33.28742711657543,-66.31157476304497,249.98571679868758,0.05714396042117187,18.73497097964355,14.141596697421392,34.32474801091382,-0.4576260666913528,-0.11795507206863827
10,66,65,256,2.1333333333333333,708,1277.794964060283,701.6309552497828,-2.205035939716936,-18.3690447502172,1.75,37.853384017944336,1196.133303082095,423.5351242685873,-84.3527629119751,296.86762628639417,-18.098332109351304,28.146938508063045,-81.53915618545216,278.11095128268244,-2.8136067265229485,18.756675003711734,15.039597679372264,28.226203294073343,0.264311488099236,-0.3822665601678739
