shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,193,1.6083333333333334,0,1281.1778797271318,747.2758642171567,1.1778797271317671,27.27586421715671,-0.25,63.50265693664551,1278.4275871845139,752.5948383713479,-1.0910497239285633,-33.09425758283044,-1.0910497239285633,-33.09425758283044,-2.620374038775253,-5.313673683621687,1.52932431484669,-27.78058389920875,2.5950372006448106,-5.326093319345205,-0.2728802513514155,0.2728802513514153
2,59,58,203,1.6916666666666667,83,1277.6321058120238,708.6082061674313,-2.3678941879761624,-11.391793832568737,0.5,88.36656951904297,1253.6263460252926,676.4160502792299,-25.892290883149826,43.08453050928756,-24.801241159221263,76.178788092118,-23.875603486124874,32.21998767552839,-2.0166873970249526,10.864542833759174,20.82448956861208,37.77434510470812,0.9283034700071264,-0.6554232186557104
3,58,57,212,1.7666666666666666,158,1276.654895477706,707.1305030873162,-3.345104522293923,-12.869496912683758,1.0,83.18098449707031,1241.7736182412264,636.9155165510814,-37.74501866721607,82.58506423743609,-11.852727784066246,39.500533728148525,-34.61428563999834,70.28735733875715,-3.1307330272177296,12.297706898678939,9.944468619009285,38.2825217477166,0.5365481519315829,-1.1919713705872927
4,57,56,221,1.8416666666666666,233,1287.1809650932032,706.742042022561,7.180965093203213,-13.257957977438991,1.25,85.4422378540039,1251.8637293207687,611.6002126755047,-27.654907587673733,107.90036811301275,10.09011107954234,25.31530387557666,-35.3317228190831,95.1496862718825,7.676815231409364,12.750681841130245,0.744612003981274,24.86152990160474,-1.2545973476149257,0.0626259770276325
5,56,55,230,1.9166666666666667,308,1278.1811108436257,704.8881581505445,-1.8188891563743255,-15.111841849455459,1.0,78.97700500488281,1235.582586924326,581.3857651357484,-43.93604998411638,138.11481565276904,-16.281142396442647,30.214447539756293,-42.640494790485945,123.49740043194083,-1.2955551936304346,14.617415220828207,7.38746215566357,28.327309239124133,-0.09647806138738009,0.15910403841501258
6,55,54,239,1.9916666666666667,383,1285.5597053781091,707.960495922016,5.559705378109129,-12.03950407798402,1.25,72.72770309448242,1230.4697512747914,559.9319432772604,-49.048885633651025,159.56863751125707,-5.112835649534645,21.453821858488027,-54.93909100792689,147.960026020109,5.890205374275865,11.608611491148054,11.991984822081804,24.614382373188164,0.8750119991726579,-0.7159079607576463
7,54,53,248,2.066666666666667,458,1277.5339031965532,708.2145802358273,-2.466096803446817,-11.78541976417273,1.5,80.61549758911133,1212.161982271126,543.4967989325592,-67.35665463731652,176.00378185595832,-18.3077690036655,16.435144344701257,-65.14678252411545,164.76714527623108,-2.2098721132010724,11.236636579727246,9.884108394603118,16.999430138181197,0.3808843098652554,-1.096792270622902
8,53,52,257,2.1416666666666666,533,1273.033906652799,707.3244647408254,-6.966093347200967,-12.67553525917458,1.5,76.64326858520508,1199.4691595264628,527.9760094995272,-80.04947738197961,191.52457128899027,-12.69282274466309,15.52078943303195,-73.51553438246378,179.37562574145954,-6.53394299951583,12.14894554753073,8.311910609669212,14.640896529463134,-0.8741031136939105,-0.2226891569289904
9,52,51,266,2.216666666666667,608,1273.3257447573544,704.0046226688678,-6.674255242645586,-15.995377331132204,1.5,87.53055953979492,1201.8765205694135,510.09961938978324,-77.64211633902892,209.40096139873424,2.407361042950697,17.876390109743966,-71.40247185579346,193.92459154711094,-6.239644483235452,15.476369851623303,-2.155604118983547,14.542723614847773,-0.05511882983939698,-0.16757032708959343
10,51,50,276,2.3,692,1273.0155026542204,706.1853723257097,-6.984497345779573,-13.81462767429025,1.25,71.8466567993164,1186.9680233161685,501.01738998464805,-92.55061359227398,218.48319080386943,-14.90849725324506,9.082229405135195,-85.85636665002266,205.2662780860362,-6.694246942251311,13.216912717833225,14.295047432329284,11.541254142308048,0.627881390820763,-0.7954517179103567
11,50,49,285,2.375,767,1269.1643535053452,709.9763114500645,-10.835646494654839,-10.023688549935514,0.75,78.3076286315918,1179.7764472955087,488.6977450851194,-99.74218961293377,230.8028357033981,-7.191576020659795,12.319644899528669,-89.23051530304429,221.45143282768305,-10.511674309889486,9.351402875715053,3.1173934747716885,16.236562784875105,0.11200671958509578,-0.9074584374954526
12,49,48,294,2.45,842,1277.7076801737985,710.1310229917358,-2.292319826201492,-9.86897700826421,1.0,82.43599319458008,1187.0848425501292,464.8056353325204,-92.43379435831321,254.69494545599707,7.308395254620564,23.89210975259897,-90.57282601411794,245.33713783533608,-1.8609683441952711,9.357807620660992,1.2211799471642735,23.892204194974056,-0.6169364457587766,-0.29052199173667564
13,48,47,304,2.533333333333333,925,1278.4587768248632,708.4008783640213,-1.5412231751367926,-11.59912163597869,0.75,75.69818878173828,1166.874758320202,447.2832786023584,-112.64387858824034,272.2173021861591,-20.210084229927133,17.522356730162016,-111.59074926861513,261.1167074044677,-1.0531293196252136,11.10059478169137,21.02707596665914,15.767371055802187,-0.3237684335705752,0.033246441833899826
14,47,46,313,2.6083333333333334,1000,1273.62450691782,708.3665397193357,-6.375493082179901,-11.63346028066428,1.0,71.13955688476562,1165.994769259002,426.9044226893129,-113.52386764944049,292.59615809920456,-0.8799890612001491,20.37885591304547,-107.58150366290442,281.48868106022974,-5.942363986536066,11.107477038974821,-4.0937723735373766,20.355156317543447,0.27107415529324574,-0.23782771345934617
15,46,45,321,2.675,1067,1285.6639005393145,710.1498383003028,5.663900539314454,-9.850161699697196,1.0,72.67122650146484,1166.62425861086,424.68139874144276,-112.89437829758253,294.8191820470747,0.6294893518579556,2.2230239478701606,-119.00693358758349,285.44970419487186,6.112555290000955,9.369477852202863,11.412226656485245,3.9989043471845207,-0.04775290405243229,-0.19007480940691385
16,45,44,332,2.7666666666666666,1158,1281.2357337459798,713.6452152135984,1.2357337459798146,-6.354784786401638,1.75,68.98883056640625,1184.1763651360889,467.3647371842062,-95.34227177235357,252.13584360431128,17.552106525228965,-42.68333844276344,-97.00875237566493,246.2708442205277,1.6664806033113564,5.864999383783584,-21.6856638525544,-39.352700400299,0.2659413733628587,-0.45601618276977274
17,44,43,340,2.8333333333333335,1225,1283.3497359328007,709.5737360136035,3.3497359328007406,-10.42626398639652,1.0,80.17358779907227,1184.7306914747337,447.822343890941,-94.78794543370873,271.6782368975765,0.5543263386448416,19.542393293265206,-98.40857413637718,261.68610126926416,3.620628702668455,9.992135628312326,1.0893601573616252,15.440302629415555,0.6969390388418489,-1.1529552216116221
18,43,42,349,2.908333333333333,1300,1274.1261693615606,710.7073627639909,-5.873830638439358,-9.292637236009114,1.5,68.83796119689941,1167.960073684958,436.33825261687673,-111.5585632234845,283.16232817164075,-16.77061778977577,11.48409127406427,-106.05232058992829,274.4420092713484,-5.506242633556212,8.720318900292341,7.486382054974456,12.848896160011918,-0.4486965748279255,-0.7042586467836965
19,42,41,358,2.9833333333333334,1375,1274.8500886228344,708.4654309412609,-5.149911377165608,-11.534569058739066,2.0,81.68058395385742,1153.5335754575947,422.163257911511,-125.98506145084775,297.3373228770065,-14.426498227363254,14.174994705365748,-121.21420460893569,286.34839771978454,-4.770856841912064,10.988925157221956,15.055468785156336,12.040667446203656,-0.1950433453934392,-0.5092153013902573
20,41,40,368,3.066666666666667,1458,1271.3429949717415,707.5131921851612,-8.657005028258482,-12.486807814838812,1.5,82.39685440063477,1130.11117387652,390.6988439935883,-149.40746303192236,328.8017367949292,-23.42240158107461,31.464413917922684,-141.1032659288494,316.90446138524214,-8.304197103072966,11.89727540968704,19.572285654842062,30.759932073397863,0.08279162823620154,-0.5920069296264588
21,40,39,377,3.1416666666666666,1533,1284.1736468436532,706.9191983046944,4.1736468436531595,-13.080801695305581,1.75,63.378971099853516,1134.1486163325433,368.1375529985761,-145.37002057589916,351.3630277899414,4.0374424560232,22.5612909950122,-149.80160962279592,338.7124502003137,4.431589046896761,12.650577589627687,8.325609450047523,21.95299037629229,0.38400334373409734,-0.976010273360556
22,39,38,385,3.2083333333333335,1600,1275.0450909524288,709.1372695868121,-4.954909047571164,-10.862730413187933,2.0,72.56319808959961,1121.1926772912725,369.2030034601864,-158.32595961716993,350.2975773283311,-12.955939041270767,-1.0654504616102827,-153.66111298815827,340.02357734202786,-4.664846629011663,10.273999986303238,3.8357165588356565,1.3791660847255116,0.03714925546079341,-1.0131595288213493
23,38,37,395,3.2916666666666665,1683,1280.5565325119578,709.9676301551041,0.556532511957812,-10.032369844895925,2.25,75.87924575805664,1118.5005702371836,353.4276737856256,-161.0180666712588,366.0729070028919,-2.692107054088865,15.775329674560794,-161.9711327177456,356.53561014466544,0.9530660464868106,9.537296858226455,8.170136624747784,16.58169239596691,-0.5287979918040581,-0.4843615370172913
24,37,36,404,3.3666666666666667,1758,1272.5298782104712,709.6983737665594,-7.4701217895287755,-10.30162623344063,2.0,70.92765808105469,1104.426444965859,335.21152601987217,-175.09219194258344,384.2890547686453,-14.074125271324647,18.21614776575342,-168.0156089019888,374.5511074795387,-7.076583040594642,9.737947289106614,5.890190122140439,18.06652974120243,0.0056268054675165415,-0.4899883424848077
25,36,35,414,3.45,1842,1269.1954468818535,707.6864499329731,-10.804553118146487,-12.313550067026881,2.0,61.80597496032715,1092.1632534814923,314.4446210291509,-187.35538342695008,405.0559597593666,-12.263191484366644,20.766904990721287,-176.7941322254103,393.45486026668175,-10.56125120153979,11.601099492684853,8.40822882576731,19.071340518977877,0.627356614767377,-1.1173449572521847
26,35,34,423,3.525,1917,1279.0623526366867,707.2472649721988,-0.9376473633133173,-12.752735027801236,2.0,62.3332405090332,1085.7335078984547,287.50702774567117,-193.7851290099877,431.9935530428463,-6.429745583037629,26.937593283479714,-193.0272037655841,419.76600884243885,-0.7579252444036229,12.227544200407465,15.60564119327887,26.688070629976437,0.23918187754679018,-1.3565268347989747
27,34,33,432,3.6,1992,1266.7512330758593,709.2308364605811,-13.248766924140682,-10.769163539418855,2.0,49.73454761505127,1077.2407463693098,268.6755655759757,-202.2778905391326,450.82501521254176,-8.4927615291449,18.831462169695442,-189.36485919307802,440.7369462422779,-12.913031346054595,10.088068970263862,-3.9479854998280643,20.91904380436347,-0.5751578547223656,-0.7813689800766102
28,33,32,440,3.6666666666666665,2058,1276.6654681258324,710.145670161794,-3.3345318741676238,-9.854329838206013,1.75,51.73921012878418,1073.5601727465212,259.73888479066,-205.95846416192126,459.7616959978575,-3.6805736227886428,8.93668078531573,-202.9895603929874,450.4467085552732,-2.968903768933842,9.31498744258431,13.509493136131368,9.869425624953465,-0.10709590405412443,-0.674273076022486
