shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,45,44,407,3.3916666666666666,0,1274.6317697574389,713.964446342409,-5.36823024256114,-6.035553657590981,0.25,75.61941528320312,1275.9228727660563,724.7865303492545,-3.434180480349596,-4.843284282574132,-3.434180480349596,-4.843284282574132,1.179091444650112,-10.9198792789673,-4.613271924999708,6.076594996393169,-1.3799038906361147,-10.8963243965419,-1.0547555264501758,1.0547555264501762
2,44,43,420,3.5,108,1286.8659730000768,704.1415383685221,6.865973000076792,-15.858461631477894,1.0,63.35829734802246,1287.5159248544137,677.7991413535447,8.158871608007757,42.144104713135675,11.593052088357354,46.98738899570981,0.4665047764913197,26.42308734884091,7.692366831516438,15.721017364294767,1.1456009150838327,37.33219166977187,0.3902879493308224,0.6644675771193544
3,43,42,434,3.6166666666666667,225,1282.4944280408472,694.3270906893714,2.494428040847197,-25.672909310628597,0.5,64.3623275756836,1277.8972032040176,628.0441452541411,-1.4598500423883252,91.89910081253925,-9.618721650396083,49.75499609940357,-4.817474815982223,66.30529984015652,3.3576247735938978,25.593800972382724,5.626080446479136,39.835392960856666,0.17271134165210533,0.49175623546724945
4,42,41,446,3.716666666666667,325,1266.915971242172,695.3756860248125,-13.084028757828037,-24.624313975187533,1.5,64.18286514282227,1257.7605535290347,591.5953063338902,-21.596499717371216,128.3479397327901,-20.13664967498289,36.448838920250864,-9.982610653646361,103.3583641339892,-11.613889063724855,24.98957559880091,6.396060151642814,36.86052924634953,-1.4164245418466057,1.908180777313853
5,41,40,459,3.825,433,1272.5280206821749,693.1439661375638,-7.471979317825117,-26.85603386243622,0.5,36.501909255981445,1267.8036625442578,541.1510252156772,-11.553390702148135,178.7922208510031,10.04310901522308,50.444281118212984,-5.448690495236178,151.80186236464465,-6.104700206911957,26.990358486358446,-3.2305832310451024,48.54783501675092,0.36843060670459754,1.539750170609256
6,40,39,472,3.933333333333333,542,1274.0364570663287,692.7768440449638,-5.963542933671306,-27.22315595503619,1.25,41.24403381347656,1267.808408355768,536.6507450261117,-11.548644890637888,183.2925010405686,0.004745811510247222,4.500280189565501,-6.545644414644585,156.05846267401762,-5.0030004759933036,27.234038366550976,1.1464752808053618,4.243530196141137,0.872152678804106,0.6675974918051518
7,39,38,485,4.041666666666667,650,1280.9954096627953,693.6978214038173,0.9954096627952822,-26.30217859618267,0.5,38.62757682800293,1274.2728817739255,505.24644084026386,-5.084171472480421,214.69680522641647,6.464473418157468,31.404304185847877,-6.789287276088771,188.45399193494188,1.7051158036083507,26.24281329147459,0.32587137008249556,32.39480646322022,0.5221639508791115,0.14543354092604072
8,38,37,498,4.15,758,1274.4580440447605,693.7760585104212,-5.541955955239473,-26.223941489578806,-0.25,37.86794567108154,1283.5125631513158,490.26490415095816,4.155509904909877,229.67834191572217,9.239681377390298,14.981536689305699,9.683482453375063,203.65199522764055,-5.527972548465186,26.026346688081617,-16.833449294142156,14.797514369189003,1.5232674657111884,-1.377833924785147
9,37,36,511,4.258333333333334,867,1268.3885162994588,698.7250148406799,-11.611483700541157,-21.274985159320067,-1.0,40.67194938659668,1296.7880137765787,443.5651312628697,17.430960530172797,276.3781148038106,13.27545062526292,46.69977288808843,29.1531351699648,255.5888782309429,-11.722174639792001,20.789236572867708,-21.315128324469697,51.207152796408536,0.6722445217827889,-2.0500784465679356
10,36,35,524,4.366666666666666,975,1281.6494552846975,699.2093551578066,1.649455284697524,-20.790644842193387,-2.5,33.21818828582764,1310.973885778362,423.0674863963676,31.616832531956106,296.87575967031273,14.18587200178331,20.497644866502128,30.28983830808511,276.08776139237193,1.3269942238709973,20.7879982779408,-2.0855936342823043,20.4241671576292,0.6065016420519689,-2.6565800886199056
11,35,34,538,4.483333333333333,1092,1286.2919179843652,701.4850071362628,6.291917984365227,-18.514992863737234,-1.25,60.10813331604004,1323.1733980054598,407.566401193984,43.81634475905389,312.3768448726963,12.199512227097784,15.501085202383592,37.87169734842587,293.6111344931419,5.944647410628022,18.765710379554434,-8.500013809781649,17.096869788645336,0.3817616716040901,-3.0383417602239953
12,34,33,551,4.591666666666667,1200,1278.6025038337402,699.8539983887091,-1.3974961662597707,-20.1460016112909,-1.25,63.99176216125488,1321.7619526674548,373.34937696998634,42.40489942104887,346.593869096694,-1.4114453380050236,34.21702422399767,44.20239824370424,326.60421183383664,-1.7974988226553705,19.98965726285735,-8.033297918486596,32.62034718986581,-0.06548253677413989,-2.9728592234498548
13,33,32,564,4.7,1308,1271.929774040772,698.5148560080779,-8.070225959228083,-21.485143991922087,-1.5,42.851375579833984,1322.3985881263054,343.86510537248364,43.04153487989947,376.0781406941967,0.6366354588506056,29.484271597502698,51.77529764623932,355.1869286650319,-8.73376276633985,20.891212029164762,-9.31696891623028,28.062690480907463,0.554214498767922,-3.527073722217777
14,32,31,577,4.808333333333334,1417,1278.8594562614526,700.6278917843941,-1.1405437385474215,-19.372108215605863,-1.0,67.00558471679688,1334.534834900553,305.99313598953165,55.17778165414711,413.9501100771487,12.136246774247638,37.87196938295199,56.85433639886105,394.74033008409674,-1.6765547447139397,19.20977999305194,-7.481083719258322,39.17016192018809,-0.03169454391265818,-3.4953791783051185
15,31,30,590,4.916666666666667,1525,1292.847273056328,702.757747231956,12.84727305632805,-17.242252768043954,-1.75,59.347801208496094,1358.5718264041118,245.04681307538993,79.21477315770585,474.8964329912904,24.03699150355874,60.94632291414172,66.70913383312859,457.0193019448487,12.50563932457726,17.87713104644172,-13.323017215443315,61.63022457187526,-0.28879738542684347,-3.206581792878276
16,30,29,603,5.025,1633,1285.7318775747372,705.030834350798,5.731877574737155,-14.969165649201955,-1.75,75.17509841918945,1339.5237827916715,223.18557662897183,60.166729545265525,496.7576694377085,-19.048043612440324,21.861236446418104,54.489716289426724,481.59639080384,5.677013255838801,15.161278633868505,11.070718179548976,25.115466567019666,-0.558140564095979,-2.648441228782297
17,29,28,613,5.108333333333333,1717,1272.972188803556,708.2591173936271,-7.027811196443963,-11.740882606372907,-1.5,42.68549156188965,1357.212956024193,181.04832694878735,77.85590277778715,538.894919117893,17.689173232521625,42.13724968018448,84.65154183773393,527.4666438529875,-6.7956390599467795,11.428275264905437,-31.76498216730465,44.77501248587362,-0.6219805589936637,-2.026460669788636
18,28,27,629,5.241666666666666,1850,1273.5370725728985,701.7799372989296,-6.4629274271014765,-18.220062701070447,-1.25,31.282660484313965,1347.2359183811186,146.86010700333753,67.87886513471267,573.0831390633427,-9.977037643074482,34.188219945449816,74.67413329283363,555.2957602162201,-6.795268158120962,17.787378847122795,8.458754737536083,28.327687288594348,1.0716947013074332,-3.0981553710960648
19,27,26,642,5.35,1958,1275.776939091452,702.077017215245,-4.22306090854795,-17.92298278475505,-1.5,55.823299407958984,1357.166713623348,103.48292327660965,77.80966037694202,616.4603227900707,9.930795242229351,43.37718372672788,82.35637056439532,598.8497335112893,-4.5467101874533,17.61058927878139,-10.034929662402874,43.07279357035941,0.0132666746287101,-3.1114220457247748
20,26,25,655,5.458333333333333,2067,1282.7940010927505,705.7279260834287,2.7940010927504773,-14.272073916571344,-1.5,53.96687316894531,1370.115579005889,80.03326703642938,90.75852575948306,639.909979030251,12.948865382541044,23.449656240180275,88.21497990580451,625.5484716589915,2.543545853678552,14.36150737125945,-7.508417186227689,26.282495951723604,0.4557463164836353,-3.5671683622084083
21,25,24,668,5.566666666666666,2175,1286.3163070355151,708.5741127639775,6.316307035515138,-11.425887236022504,-2.0,46.46302604675293,1388.335631491858,43.42194516071197,108.97857824545213,676.5213009059684,18.220052485969063,36.61132187571741,102.74616155452918,664.7795608880713,6.232416690922946,11.741740017897087,-16.955916882994188,38.24565968662671,0.017952753065084537,-3.585121115273493
22,24,23,682,5.683333333333334,2292,1277.172511969074,704.9563039988036,-2.827488030925906,-15.043696001196395,-1.5,38.55913257598877,1381.6771468143395,-4.499007443271466,102.32009356793355,724.4422535099518,-6.658484677518572,47.92095260398344,105.37656617523362,709.6456652492169,-3.0564726073000656,14.796588260734893,-5.240702200244641,44.63654768754145,-0.24406586187299745,-3.341055253400496
23,23,22,694,5.783333333333333,2392,1288.3487383438837,706.0460231558278,8.348738343883724,-13.953976844172189,-2.0,39.73489761352539,1394.1377304389628,-28.121802439154862,114.78067719255682,748.0650485058352,12.460583624623268,23.622794995883396,106.62585880965366,733.7000589132454,8.154818382903159,14.364989592589836,-2.6647294809722553,23.938959948663296,0.03753992667860075,-3.3785951800790968
24,22,21,708,5.9,2508,1276.83980253252,705.8416293538456,-3.160197467479975,-14.158370646154367,-1.75,45.43195343017578,1385.3161663501967,-55.398304715818426,105.95911310379074,775.3415507824988,-8.821564088766081,27.276502276663564,109.24698154710859,761.4342437278723,-3.2878684433178478,13.907307054626472,-4.1360067148523285,27.549024305615376,-0.23931492267863838,-3.1392802574004595
25,21,20,721,6.008333333333334,2617,1288.7381690887119,704.5236570240266,8.738169088711857,-15.476342975973353,-1.75,66.51810455322266,1399.2656819763229,-89.55849033598281,119.90862872991693,809.5017364026631,13.949515626126185,34.160185620164384,111.3069833120851,793.667237820692,8.601645417831833,15.834498581971161,-3.658421009131416,32.09089389810424,-0.29231824493769837,-2.846962012462762
26,20,19,734,6.116666666666666,2725,1273.3570075284672,704.2403725553144,-6.642992471532807,-15.759627444685634,-0.25,48.15878963470459,1361.492372665472,-121.58198576799316,82.13531941906604,841.5252318346735,-37.77330931085089,32.02349543201035,89.1239759296393,826.2766325283426,-6.988656510573264,15.248599306330902,20.064700064891667,33.95388418185655,0.7985651552987458,-3.645527167761506
27,19,18,747,6.225,2833,1283.7677711562549,708.1662267356767,3.7677711562548666,-11.833773264323327,0.5,75.34098815917969,1354.9923997881383,-147.98739039924203,75.63534654173236,867.9306364659224,-6.499972877333676,26.40540463124887,72.03089020566608,855.9265550156441,3.604456336066278,12.00408145027825,15.055563467733919,30.73469524396046,0.21960124601812941,-3.865128413779635
28,18,17,760,6.333333333333333,2942,1272.3609303224002,705.9200072134198,-7.639069677599764,-14.079992786580192,1.0,53.764116287231445,1333.985948821585,-185.82294556512977,54.62889557517906,905.7661916318101,-21.006450966553302,37.83555516588774,62.689690746752376,892.3750290384162,-8.060795171573318,13.391162593393915,6.4981364833411135,37.06107780628861,0.5646186390985022,-4.4297470528781355
29,17,16,773,6.441666666666666,3050,1286.9366099962472,706.714679486917,6.936609996247171,-13.28532051308298,1.75,66.46042060852051,1337.3845781327288,-192.2290538974279,58.02752488632291,912.1722999641082,3.39862931114385,6.406108332298118,51.555612878822785,898.4218288523966,6.471912007500123,13.75047111171159,10.603312588660856,6.9355057570898,0.2525774599260098,-4.682324512804144
30,16,15,786,6.55,3158,1274.4001596536627,705.5060857393212,-5.59984034633726,-14.493914260678821,2.0,41.901227951049805,1313.5255108571705,-219.75804787950244,34.16845761076456,939.7012939461828,-23.859067275558346,27.528993982074553,40.3046879800886,925.7768276167186,-6.136230369324039,13.924466329464167,8.950383639278698,28.191663682421108,0.060931352500531416,-4.7432558653046755
31,15,14,799,6.658333333333333,3267,1277.1481250800516,707.7681193203007,-2.8518749199483864,-12.231880679699316,1.75,52.02739906311035,1314.3701703580673,-231.26405855318387,35.01311711166136,951.2073046198642,0.8446595008967961,11.50601067368143,38.211089830515675,939.3058215122317,-3.1979727188543166,11.901483107632544,0.9821552778653313,13.654750090971447,-0.06063846396339189,-4.682617401341283
32,14,13,812,6.766666666666667,3375,1283.1406397022638,705.3665716813523,3.1406397022637975,-14.633428318647702,1.5,69.10783767700195,1308.0410274405824,-245.11892823137225,28.68397419417647,965.0621742980526,-6.329142917484887,13.854869678188379,26.25568860844851,950.2591365992223,2.428285585727963,14.80303769883028,10.90046248427916,12.003609765579654,0.5795024890627105,-5.2621198904039925
33,13,12,825,6.875,3483,1276.8599336171126,705.9495022718703,-3.140066382887426,-14.050497728129699,1.5,41.777570724487305,1309.2070456241279,-233.3989550414716,29.849992377721946,953.3422011081519,1.166018183545475,-11.719973189900657,33.47311947366438,939.6484235169297,-3.6231270959424364,13.693777591222215,-6.335679804646588,-11.159646133363594,-0.6234260005227196,-4.638693889881275
34,12,11,839,6.991666666666666,3600,1274.9480788737328,700.6525042988776,-5.051921126267189,-19.347495701122398,1.5,82.68049240112305,1299.9049521018176,-255.8072804629138,20.54789885541163,975.7505265295941,-9.302093522310315,22.408325421442214,26.372765783395153,956.8859992390808,-5.824866927983521,18.864527290513365,5.807151032650609,17.71513579365933,-0.400895486485178,-4.237798403396099
