shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,50,49,254,2.1166666666666667,0,1281.4804891194071,730.9297440413875,1.4804891194071388,10.929744041387494,0.0,91.73970794677734,1278.5903107859212,730.6912163332544,-1.8906020542360693,-11.170547481344101,-1.8906020542360693,-11.170547481344101,-2.721855774375854,0.26001061905401457,0.8312537201397845,-11.430558100398116,2.7255337544818303,0.21810578099939448,-0.8814948848744208,0.8814948848744203
2,49,48,267,2.225,108,1272.5483471838772,731.4660118389619,-7.45165281612276,11.46601183896189,0.0,84.50894546508789,1269.9517445263584,691.2136542055833,-10.529168313798891,28.307014646326934,-8.638566259562822,39.477562127671035,-2.5377938463884675,40.21392311110117,-7.991374467410424,-11.906908464774233,0.021205527355050435,39.95433083585681,0.5871339402744571,0.2943609445999635
3,48,47,279,2.325,208,1271.8790025164521,724.6037859969781,-8.120997483547853,4.603785996978104,0.75,98.27833557128906,1258.3505715605268,650.6946674000744,-22.130341279630557,68.82600145183585,-11.601172965831665,40.518986805508916,-13.465661529796762,73.79659131011385,-8.664679749833795,-4.970589858278004,11.390346037198015,33.42863910816516,-0.4964798301415712,0.7908407747415346
4,47,46,291,2.425,308,1267.4526436123472,717.4608912612641,-12.547356387652826,-2.5391087387358766,0.0,84.92231750488281,1265.5317093523818,618.0840614118955,-14.949203487775549,101.43660744001477,7.181137791855008,32.61060598817892,-1.949542411483435,99.23934222216371,-12.999661076292114,2.1972652178510543,-11.236327539910235,25.56754812131294,0.16231217843043447,0.6285285963111
5,46,45,303,2.525,408,1275.0808910666738,720.6327814141581,-4.9191089333262425,0.632781414158103,-1.0,67.58111381530762,1277.8437222005332,584.1611447256017,-2.637190639624123,135.35952412630854,12.312012848151426,33.922916686293775,2.7696442596377437,136.41620861825447,-5.406834899261867,-1.05668449194593,-4.300285138359413,37.22764652242313,-0.01662141753564533,0.6451500138467454
6,45,44,315,2.625,508,1267.609260593359,722.2431301938548,-12.390739406640932,2.2431301938547676,-1.0,53.506592750549316,1275.281993940646,558.9261759491312,-5.198918899511227,160.59449290277905,-2.5617282598871043,25.23496877647051,7.701650047399653,163.15088887890056,-12.90056894691088,-2.5563959761215074,-4.573689256494163,26.79830547468464,-0.12184320003543675,0.7669932138821822
7,44,43,327,2.725,608,1273.6057353912065,719.0527021742387,-6.394264608793492,-0.9472978257613249,-1.0,55.104196548461914,1286.6297870101682,528.5151944177658,6.148874170010913,191.0054744341445,11.34779306952214,30.41098153136545,13.004138671934697,190.41166349001196,-6.855264501923784,0.5938109441325423,-4.7641601337834345,27.35998896620424,-0.36235576867493197,1.129348982557114
8,43,42,340,2.8333333333333335,717,1262.3470854482957,727.027347153534,-17.65291455170427,7.027347153534038,-1.0,46.469207763671875,1284.10869552961,491.8228546597979,3.627782689452715,227.6978141921124,-2.521091480558198,36.692339757967886,21.893893303067216,234.86263263321706,-18.2661106136145,-7.164818441104671,-8.030572178989132,44.614193993055096,0.023956039198850053,1.1053929433582637
9,42,41,352,2.933333333333333,817,1266.4977257434857,726.0922144798562,-13.502274256514283,6.0922144798562385,-0.5,50.11132049560547,1276.9253337751436,458.8519143307983,-3.555579065013717,260.66875452111196,-7.183361754466432,32.970940328999575,10.493865267282217,267.0912700440583,-14.049444332295934,-6.422515522946355,11.754176260556278,32.10116896644024,0.47455026690328667,0.6308426764549776
10,41,40,365,3.0416666666666665,925,1261.535472783541,723.9769531124091,-18.46452721645892,3.9769531124090918,0.25,97.30122756958008,1263.715667910727,422.56280514347634,-16.76524492943031,296.95786370843393,-13.209665864416593,36.28910918732197,2.210539849309498,301.27055283107927,-18.975784778739808,-4.312689122645338,8.548658928419172,34.11388694272068,0.18563230242889656,0.4452103740260812
11,40,39,377,3.1416666666666666,1025,1258.834343318523,727.1360956189195,-21.165656681477003,7.136095618919512,0.75,83.35787200927734,1258.9709275273008,393.89805766942504,-21.509985312856543,325.62261118248523,-4.744740383426233,28.664747474051296,0.18226696716578772,333.10108246400114,-21.69225228002233,-7.478471281515908,2.2339704429107314,31.816754763126937,0.07487058128930454,0.37033979273677675
12,39,38,391,3.2583333333333333,1142,1263.906768302041,726.5243349057214,-16.093231697959027,6.524334905721389,1.25,92.03227615356445,1252.1561310917643,385.53704900203803,-28.32478174839298,333.98361984987224,-6.8147964355364365,8.361008667387011,-11.776146477939847,341.0498583412587,-16.548635270453133,-7.066238491386457,11.92739270967877,7.995248165007297,0.5932891523194574,-0.2229493595826794
13,38,37,402,3.35,1233,1268.2020176018698,722.9592424201696,-11.797982398130216,2.9592424201696303,0.5,60.96944618225098,1260.4927368724268,358.1782554352017,-19.988175967730513,361.34241341670855,8.336605780662467,27.35879356683631,-7.684737891748682,364.6813601711719,-12.30343807598183,-3.338946754463336,-3.891920192948419,23.665173994037673,-0.7062719194707594,0.48332255988807843
14,37,36,414,3.45,1333,1273.3895034503798,724.2454177340863,-6.610496549620166,4.245417734086345,-0.5,70.01857376098633,1270.633555456535,339.1598479232734,-9.847357383622239,380.3608209286369,10.140818584108274,19.01840751192833,-2.734505921448317,385.0519956734476,-7.112851462173921,-4.6911747448107235,-4.846875830669205,20.39547454727233,0.19279408454772332,0.2905284753403556
15,36,35,426,3.55,1433,1265.2575423477335,725.9962596232162,-14.742457652266467,5.996259623216247,-0.5,55.78915596008301,1254.8040661885518,310.3674959787078,-25.6768466516055,409.1531728732025,-15.829489267983263,28.79235194456561,-10.413106266729073,415.5285363211509,-15.263740384876428,-6.375363447948416,7.885333955566466,30.42370689976542,-0.09846560372400857,0.3889940790643639
16,35,34,439,3.658333333333333,1542,1269.9600415089617,726.8154262811679,-10.039958491038306,6.815426281167902,-0.5,70.59882354736328,1263.8352696384193,289.63637895472203,-16.64564320173804,429.88428989718824,9.031203449867462,20.731117023985746,-6.121743878106599,437.1745845886075,-10.52389932363144,-7.290294691419263,-4.281741798644134,21.647953342459232,0.36353008069888965,0.025463998365475346
17,34,33,451,3.7583333333333333,1642,1261.5108022931586,728.2742680073495,-18.489197706841423,8.27426800734952,-0.75,38.65278434753418,1262.052257345844,266.7627955680173,-18.42865549431326,452.757873283893,-1.783012292575222,22.87358338670475,0.5702925816729021,461.44673023465384,-18.998948075986164,-8.68885695076085,-6.607070076440323,24.295411732401476,-0.1750076935249977,0.20047169189047248
18,33,32,463,3.8583333333333334,1742,1265.1878427146714,720.6018478666786,-14.812157285328567,0.601847866678554,-1.25,77.18215560913086,1267.9473033349982,240.45859189119426,-12.53360950515912,479.062076960716,5.895045989154141,26.304203676823022,2.7602422536483573,480.1237008979414,-15.293851758807477,-1.061623937225363,-2.165291003135053,18.679845491727974,0.12483154943714794,0.0756401424533249
19,32,31,476,3.966666666666667,1850,1271.3616167713517,728.2119261577238,-8.638383228648308,8.211926157723838,-0.25,84.38123321533203,1270.5632122276218,203.68746857090298,-9.917700612535555,515.8332002810073,2.6159088926235654,36.77112332029128,-0.8490746694462814,524.5774318935089,-9.068625943089273,-8.744231612501608,3.3358398396844677,44.475088989698634,0.428035086662736,-0.35239494420941
20,31,30,488,4.066666666666666,1950,1262.4380442890006,724.1107983254612,-17.561955710999428,4.110798325461246,0.5,52.42414665222168,1250.4708793642333,191.26697856429382,-30.010033475924047,528.2536902876165,-20.092332863388492,12.420490006609157,-12.001935138705903,532.9896303934731,-18.008098337218144,-4.735940105856685,11.082563834203029,8.504596351996042,0.12378004700366378,-0.47617499121307344
21,30,29,500,4.166666666666667,2050,1260.918223721403,726.7839156439444,-19.08177627859709,6.783915643944397,1.0,94.03478622436523,1244.6868424058373,168.92026086439876,-35.79407043432002,550.6004079875115,-5.784036958395973,22.346717699895066,-16.322575027646735,558.1148987780632,-19.471495406673284,-7.51449079055169,3.9886687973103108,25.18010249528311,0.28001728173291984,-0.7561922729459926
22,29,28,513,4.275,2158,1263.0577191825653,721.7778355413361,-16.94228081743472,1.7778355413361169,1.0,73.49856185913086,1242.6391163862618,130.61073531966986,-37.84179645389554,588.9099335322404,-2.0477260195755207,38.3095255447289,-20.462066249125883,591.5413683456616,-17.379730204769658,-2.6314348134211514,3.3992041157505355,33.50984432529867,0.5110898677789278,-1.2672821407249193
23,28,27,525,4.375,2258,1267.9563975215137,726.2074701861675,-12.043602478486264,6.207470186167484,0.25,67.46574020385742,1256.2299750704942,93.55262803437643,-24.250937769663096,625.9680408175338,13.590858684232444,37.05810728529343,-11.80644718219105,632.8077064109115,-12.444490587472046,-6.839665593377617,-9.180417710342454,41.15276818649022,-0.5376372230144243,-0.7296449177104954
24,27,26,538,4.483333333333333,2367,1256.674655492336,727.6935882928194,-23.325344507664113,7.693588292819413,-0.25,64.16826057434082,1247.983453431646,45.3185827268378,-32.497459408511304,674.2020861250725,-8.246521638848208,48.23404530753862,-8.769280716070625,682.6078053291362,-23.72817869244068,-8.405719204063757,-3.5348678946259042,49.76724767731719,-0.15684761450187334,-0.572797303208622
25,26,25,550,4.583333333333333,2467,1262.8374402828667,722.736372969378,-17.162559717133263,2.7363729693779533,-0.75,55.31474685668945,1263.98417990048,23.384748243921422,-16.49673293967726,696.1359206079889,16.000726468834046,21.93383448291638,1.0964247500742204,699.6504237906165,-17.59315768975148,-3.5145031826276636,-10.161329891779133,16.868027839636625,0.42615757881775573,-0.9989548820263779
26,25,24,562,4.683333333333334,2567,1267.373897046627,723.2165296920468,-12.626102953372992,3.2165296920468336,-1.25,68.15625762939453,1273.5577851053436,-7.113552914384741,-6.923127734813761,726.634221766295,9.573605204863497,30.498301158306163,6.14172469993332,730.4912745323858,-13.064852434747081,-3.85705276609076,-5.439261454755751,30.773812907843308,-0.266271375019807,-0.7326835070065709
27,24,23,575,4.791666666666667,2675,1261.8101989468646,707.7274120058728,-18.189801053135398,-12.272587994127207,0.25,91.82707595825195,1266.7663932127887,-71.87131194392396,-13.714519627368645,791.3919807958342,-6.791391892554884,64.75775902953922,5.05842683154242,779.7516261181022,-18.772946458911065,11.640354677732034,0.6703484352640317,49.26770144420561,-0.25241173860553595,-0.4802717684010353
28,23,22,587,4.891666666666667,2775,1261.7297276125082,744.8511033924706,-18.270272387491787,24.851103392470577,0.0,79.11561965942383,1268.6619882565383,-83.23995289907748,-11.818924583619037,802.7606217509878,1.8955950437496085,11.368640955153523,6.635490684930346,828.3065323105767,-18.454415268549383,-25.545910559588947,-2.154267963135908,48.53272272704953,0.20098845278261768,-0.6812602211836528
29,22,21,600,5.0,2883,1269.3755086081728,722.3340949666749,-10.624491391827178,2.334094966674911,0.5,93.38288116455078,1266.9504004200346,-122.3455989753628,-13.530512420122704,841.8662678272731,-1.7115878365036679,39.105646076285325,-2.457680792997735,844.8233142654535,-11.07283162712497,-2.9570464381804413,8.868734175435293,16.638371548844816,0.09443299240169842,-0.775693213585351
30,21,20,612,5.1,2983,1269.3718327019892,727.7025588920183,-10.628167298010794,7.70255889201826,0.75,89.16963577270508,1262.471567921994,-142.73529531855672,-18.00934491816338,862.255964170467,-4.478832498040674,20.38969634319392,-7.075048184832212,870.6734386015573,-10.934296733331166,-8.41747443109034,4.038540941935025,25.946853313716247,0.5048035935243544,-1.280496807109705
31,20,19,623,5.191666666666666,3075,1274.500658455315,725.878870313622,-5.499341544684967,5.878870313621974,0.75,91.09083938598633,1263.0951447440552,-167.0715459518242,-17.385768096102083,886.5922148037345,0.6235768220612954,24.33625063326747,-11.535702126542901,893.0695513088172,-5.850065969559182,-6.47733650508269,3.968650982662666,22.48851056343665,-0.02445132655751992,-1.2560454805521852
32,19,18,637,5.308333333333334,3192,1265.5312218699821,729.4063970849742,-14.468778130017881,9.406397084974174,0.25,83.06626510620117,1262.2726700640785,-188.58273464550837,-18.208242776078805,908.1034034974186,-0.8224746799767217,21.511188693684176,-3.410381729824394,918.2186487567809,-14.797861046254411,-10.115245259362268,-8.525304098214747,25.0163371425449,-0.34239278202988116,-0.9136526985223046
33,18,17,649,5.408333333333333,3292,1263.5194834685608,724.6807633144683,-16.480516531439207,4.680763314468322,-0.5,84.67120361328125,1267.1386276606224,-212.56628616348996,-13.342285179534883,932.0869550154002,4.865957596543922,23.983551517981596,3.5673395476021597,937.4257507516643,-16.909624727137043,-5.338795736264046,-7.185897632580463,19.13019175234217,-0.29141215167037837,-0.6222405468519272
34,17,16,661,5.508333333333334,3392,1269.0107760537446,724.4837661599278,-10.989223946255379,4.483766159927768,-0.25,100.41632461547852,1275.0585787940984,-261.90506450822613,-5.42233404605895,981.4257333601364,7.919951133475934,49.33877834473617,6.016843955012064,986.4639708004164,-11.439178001071014,-5.03823744028,-2.785220716474214,49.02029827481965,-0.22992271869830988,-0.3923178281536179
35,16,15,673,5.608333333333333,3492,1271.4986207946904,722.4555210374901,-8.501379205309604,2.4555210374901435,-0.5,99.47751998901367,1276.0530435553578,-271.19193663956685,-4.427869284799499,990.7126054914771,0.9944647612594508,9.286872131340715,4.533559007725671,993.7185726680001,-8.96142829252517,-3.0059671765229723,1.4224738734405946,7.266770298514757,0.08755383577288399,-0.4798716639265017
36,15,14,686,5.716666666666667,3600,1265.3313507088978,723.2493740801774,-14.668649291102156,3.249374080177404,-1.25,88.81282424926758,1278.4259106215864,-296.27794404243616,-2.055002218570962,1015.7986128943464,2.3728670662285367,25.086007402869313,13.081596845600188,1019.5852942267275,-15.13659906417115,-3.786681332381022,-8.650250969760918,25.832719431655164,-0.253317050364168,-0.22655461356233414
37,14,13,697,5.808333333333334,3692,1264.6214095090684,723.7251805683088,-15.378590490931629,3.725180568308815,-1.5,95.45153427124023,1285.147969968692,-315.89732373167385,4.66705712853468,1035.4179925835842,6.722059347105642,19.61937968923769,20.507308873975944,1039.7011013470064,-15.840251745441265,-4.283108763422433,-7.528486702768532,20.077569155524657,0.06645596656444437,-0.29301058012677844
