shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,40,39,328,2.7333333333333334,0,1280.551523029633,711.1625160153167,0.5515230296330174,-8.837483984683331,0.0,71.69800567626953,1278.1643326420235,712.6910241269165,-1.2652449678682842,6.825502252747128,-1.2652449678682842,6.825502252747128,-2.398320040163526,-1.5278065046248912,1.1330750722952416,8.35330875737202,2.396393990508386,-1.530825781361159,-0.07215937809606579,0.0721593780960658
2,39,38,340,2.8333333333333335,100,1274.436088991438,710.6323230225963,-5.563911008561945,-9.367676977403676,0.0,71.05516052246094,1279.2300825249397,681.5332849959979,-0.19949508495210466,37.98324138366581,1.0657498829161796,31.157739130918685,4.730807952558962,29.061796214660035,-4.930303037511067,8.921445169005779,-6.923049291669713,30.6369001200419,-0.3135361845185275,0.3856955626145929
3,38,37,352,2.933333333333333,200,1267.9134106300976,702.607098289719,-12.086589369902413,-17.392901710280967,0.0,76.35108184814453,1277.5082528263724,652.5862988461487,-1.921324783519367,66.930227533515,-1.7218296985672623,28.94698614984918,9.497957444225221,49.95387138157764,-11.419282227744588,16.976356151937352,-4.65092377908536,20.91825583209959,0.06715105508589243,0.31854450752870056
4,37,36,364,3.033333333333333,300,1271.5258751444512,699.9785018599591,-8.47412485554878,-20.021498140040876,-0.5,76.17564010620117,1281.7058643732937,624.7549964704268,2.276286763401913,94.76152990923686,4.19761154692128,27.83130237572186,10.070301293425246,75.17743330175949,-7.7940145300233326,19.584096607477363,-0.4343076412976643,25.226316225237383,0.00501065224240262,0.31353385528629796
5,36,35,377,3.1416666666666666,408,1280.4896358834626,700.2193188793813,0.4896358834625971,-19.780681120618738,0.0,71.31309127807617,1272.800632754386,599.1463521639334,-6.628944855505779,120.37017421573023,-8.905231618907692,25.608644306493375,-7.758270357435549,101.074802667413,1.1293255019297703,19.295371548317235,17.919152673799545,25.834776457790895,0.11288859180820628,0.20064526347809172
6,35,34,388,3.2333333333333334,500,1275.283210510234,690.3892876590994,-4.716789489765915,-29.61071234090059,0.0,52.714786529541016,1266.8425134664196,577.9837321367496,-12.587064143472162,141.53279424291406,-5.958119287966383,21.162620027183834,-8.369864128507743,112.41692563858624,-4.217200014964419,29.11586860432783,0.5844549239050139,11.343553802753036,0.33773093892347883,-0.1370856754453867
7,34,33,399,3.325,592,1282.342163608499,692.3195240362393,2.3421636084990496,-27.680475963760728,-0.25,56.565935134887695,1268.1388573275538,556.7689612511954,-11.290720282338043,162.7475651284683,1.296343861134119,21.21477088555423,-14.053725394776393,135.53831297189595,2.76300511243835,27.209252156572347,5.558862570128213,23.151757558283634,0.17246234986677705,-0.3095480253121637
8,33,32,411,3.425,692,1271.6049067546282,709.055394011677,-8.395093245371754,-10.94460598832302,1.25,47.25804328918457,1248.2472163774962,548.5775235592856,-31.18236123239558,170.93900282037805,-19.891640950057536,8.191437691909755,-23.28499511517407,160.53401701647726,-7.897366117221509,10.404985803900786,9.06461575405774,25.05662193046612,0.07199402848148838,-0.381542053793652
9,32,31,423,3.525,792,1271.8726478016802,739.5570890688359,-8.12735219831984,19.55708906883592,0.0,51.69902038574219,1253.9100265725506,560.3473627189308,-25.519551037341216,159.16916366073292,5.662810195054362,-11.76983915964513,-18.04930045965125,179.24552284769356,-7.470250577689967,-20.076359186960644,-5.318498601757028,18.688138527435513,-0.12783328326730795,-0.2537087705263442
10,31,30,438,3.65,917,1274.9521956451126,704.7314243468004,-5.047804354887376,-15.268575653199605,-0.5,65.68273162841797,1260.0633721961897,506.5578568339778,-19.36620541370212,212.9586695456859,6.1533456236390975,53.78950588495297,-14.875479849308249,198.17798538822979,-4.49072556439387,14.780684157456108,-3.190367353140118,18.929681224665728,-0.2036292783315693,-0.05007949219477576
11,30,29,448,3.7333333333333334,1000,1269.8371159848837,711.7512091232587,-10.162884015116333,-8.248790876741282,0.25,59.76057052612305,1256.3970780215163,486.64931252835447,-23.032499588375458,232.8672138513092,-3.6662941746733395,19.90854430562331,-13.46240494945414,225.07441555629134,-9.570094638921319,7.79279829501786,-1.3402601984093963,26.900156859367257,-0.20518124723575423,0.15510175504097753
12,29,28,459,3.825,1092,1270.858183814343,707.3667215441753,-9.141816185657035,-12.633278455824666,-1.25,81.87374496459961,1264.7488982986024,470.20920246894354,-14.680679311289396,249.30732391072013,8.351820277086063,16.440110059410927,-6.202935670313991,237.0902771012203,-8.477743640975405,12.217046809499834,-7.1704352536589795,12.069203832679477,-0.2685010524821173,0.42360280752309354
13,28,27,471,3.925,1192,1268.049893940568,707.2739740959332,-11.950106059432073,-12.726025904066773,-1.5,68.02389335632324,1270.3379643279754,444.9723108435707,-9.091613281916352,274.54421553609296,5.589066029373043,25.236891625372834,2.1550108392373204,262.17801282224383,-11.246624121153673,12.366202713849134,-8.096459411353862,25.17334102706161,-0.17256316912556163,0.5961659766486543
14,27,26,483,4.025,1292,1272.3874496491858,708.2432713103649,-7.612550350814217,-11.75672868963511,-1.5,51.68936729431152,1276.936187015509,421.7651292338749,-2.493390594382845,297.75139714578876,6.598222687533507,23.207181609695795,4.468643244397981,286.42666618264826,-6.962033838780826,11.324730963140496,-2.1487448604800647,24.263820396298343,0.2066857752271881,0.38948020142146716
15,26,25,495,4.125,1392,1269.3021288963378,704.354352613516,-10.697871103662237,-15.645647386484029,-1.25,76.3945541381836,1281.9164910472218,393.47201996129905,2.4869134373300312,326.0445064183646,4.980304031712876,28.29310927257586,12.474244007527886,310.787440634922,-9.987330570197855,15.257065783442613,-7.787777161366648,24.431281226699298,-0.12209038008390832,0.5115705815053749
16,25,24,507,4.225,1492,1272.2036214282546,705.4065147913723,-7.796378571745436,-14.593485208627726,-1.75,57.72706604003906,1296.4987598446396,375.16957480681026,17.069182234747814,344.3469515728534,14.582268797417782,18.302445154488794,24.178473750265084,330.17521029554496,-7.1092915155172705,14.171741277308456,-11.549195292523109,19.480520895994914,0.05450018084872267,0.45707040065665244
17,24,23,519,4.325,1592,1265.8353342901592,705.518257804294,-14.164665709840847,-14.481742195706033,-1.75,51.55423927307129,1302.0645730104998,354.6219876390549,22.634995400607977,364.89453874060877,5.565813165860163,20.547587167755353,36.13464094890787,350.80434432907947,-13.499645548299895,14.090194411529296,-11.821587667264794,20.706548965981938,0.0839878070065061,0.37308259365014657
18,23,22,531,4.425,1692,1273.1909005638227,704.3868537895559,-6.809099436177348,-15.613146210444143,-1.5,69.18890380859375,1309.4858779469198,319.0807205554722,30.056300337028006,400.43580582419145,7.421304936420029,35.54126708358268,36.242604021302895,385.2833969150313,-6.18630368427489,15.152408909160158,0.007610970867290234,34.479220776040506,0.1810273585893517,0.19205523506079536
19,22,21,542,4.516666666666667,1783,1265.545599430135,707.0035906438144,-14.454400569864902,-12.996409356185609,-0.75,37.98607349395752,1303.3004456277226,295.8626045715721,23.870868017830844,423.6539218080916,-6.185432319197162,23.218115983900134,37.721394084774374,411.1038771932498,-13.85052606694353,12.550044614841795,-1.4124194011917552,25.824195888445843,0.04478906859990472,0.1472661664608908
20,21,20,554,4.616666666666666,1883,1270.9417343845626,704.2502143753445,-9.058265615437449,-15.749785624655487,-0.5,46.95800971984863,1311.15356391663,266.8400968470611,31.723986306738198,452.6764295326026,7.853118288907353,29.022507724511,40.20529377419439,437.4063603841488,-8.48130746745619,15.270069148453786,-2.472985920561541,26.303511558560672,0.12349272055693407,0.023773445903957156
21,20,19,567,4.725,1992,1269.4579651103031,705.5026318131215,-10.542034889696879,-14.497368186878475,0.0,71.05694580078125,1302.439784180231,226.90952957895968,23.010206570339278,492.606996800704,-8.71377973639892,39.93056726810141,33.04135569746495,478.63658287040244,-10.031149127125673,13.97041393030156,6.994302939327326,41.259338111827674,0.25942420362109286,-0.2356507577171348
