shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,30,29,213,1.775,0,1278.5266321703043,703.1321767164246,-1.4733678296956896,-16.867823283575376,-0.25,66.83637809753418,1275.4337479251333,707.6435454992569,-3.611810655870613,11.86163653703386,-3.611810655870613,11.86163653703386,-3.191252834902116,-4.519672192832218,-0.42055782096849725,16.381308729866078,3.1648477984849706,-4.53820116338602,-0.3340503448337838,0.3340503448337835
2,29,28,235,1.9583333333333333,183,1276.2990411735527,695.6775505200336,-3.700958826447277,-24.322449479966394,0.25,84.93328857421875,1276.9858109108093,651.6881872357321,-2.0597476701946107,67.81699480055863,1.5520629856760024,55.95535826352477,0.45788748229665543,43.95563635617168,-2.517635152491266,23.86135844438695,-3.1931364963240867,48.507480281824314,-0.204744263096824,0.5387946079306073
3,28,27,256,2.1333333333333333,358,1274.5524554491296,696.359337939711,-5.4475445508703615,-23.640662060288946,-0.25,78.17557907104492,1261.7347511276753,616.9719609626123,-17.310807453328607,102.53322107367842,-15.251059783133996,34.71622627311979,-12.979637352915233,79.35064570221687,-4.331170100413374,23.182575371461553,13.679466621931624,35.30220890033672,0.1466380423775443,0.3921565655530632
4,27,26,277,2.308333333333333,533,1277.1206043138236,714.7102764905544,-2.8793956861763945,-5.289723509445594,0.25,63.749921798706055,1269.0066060199633,607.3270438141583,-10.03895256104056,112.17813822213247,7.271854892288047,9.644917148454056,-8.124226550966569,107.37767785624305,-1.9147260100739913,4.800460365889421,-4.801236902677829,28.036363345178415,0.28142710315511904,0.11072946239794464
5,26,25,298,2.4833333333333334,708,1274.5671537674007,698.3789694439631,-5.432846232599331,-21.621030556036885,-0.25,66.5639419555664,1271.4087812729622,551.0190298355221,-7.636777308041701,168.48615220076863,2.402175252998859,56.308013978636154,-3.3018685413337607,147.3243879063018,-4.33490876670794,21.16176429446682,-4.557351416234951,39.97781045361876,-0.2692216116004383,0.3799510739983824
6,25,24,319,2.658333333333333,883,1278.594177347869,700.2674666365428,-1.4058226521310644,-19.73253336345715,-0.25,66.71839141845703,1275.2095725620613,513.7112202560148,-3.835986018942549,205.79396178027594,3.800791289099152,37.30780957950731,-3.476570821749874,186.54990968865297,-0.3594151971926749,19.24405209162296,0.35748568390499713,39.22428181586372,0.11296000062805873,0.2669910733703239
7,24,23,340,2.8333333333333335,1058,1275.6923886185991,696.9275182798781,-4.307611381400875,-23.072481720121914,-0.5,63.99661064147949,1276.361893118265,470.42613946503064,-2.6836654627388725,249.07904257126012,1.1523205562036765,43.28508079098418,0.3984338478596783,226.45241448423843,-3.082099310598551,22.626628087021686,-3.406450047739554,39.945233110140634,-0.405436095358287,0.6724271687286102
8,23,22,362,3.0166666666666666,1242,1275.6465096010747,691.4410468518521,-4.35349039892526,-28.558953148147907,0.25,52.40024185180664,1281.5851729907351,415.58602980125636,2.539614409731257,303.9191522350344,5.22327987247013,54.840109663774285,5.864433135596528,275.84380015752333,-3.3248187258652706,28.07535207751107,-5.33762847054777,49.40542327772448,0.5235336573590579,0.14889351136955295
9,22,21,383,3.191666666666667,1417,1280.4490869029862,699.9163798625563,0.4490869029862097,-20.083620137443745,-0.25,68.93473434448242,1283.4588521380535,392.43716034840463,4.413293557049656,327.06802168788613,1.8736791473183985,23.148869452851727,2.915479664346094,307.4815492740727,1.4978138927035616,19.586472413813453,3.0974569317256737,31.623555402475404,-0.12010523799025145,0.2689987493598042
10,21,20,404,3.3666666666666667,1592,1279.6438935748715,694.9027964424298,-0.35610642512847335,-25.097203557570197,-0.5,73.11045455932617,1287.229541970418,351.7276630134885,8.183983389414152,367.77751902280227,3.7706898323644964,40.709497334916136,7.489909111164934,343.17395761356886,0.694074278249218,24.603561409233407,-4.438242622546113,35.70959843320361,0.05043568238843066,0.21856306697137365
11,20,19,425,3.5416666666666665,1767,1277.454081417908,691.1014395331545,-2.5459185820920993,-28.898560466845538,0.25,67.52920722961426,1282.105686544911,309.30099749854014,3.060127963907007,410.2041845377506,-5.123855425507145,42.426665514948354,4.647882973711376,381.8001143602188,-1.5877550098043685,28.40407017753182,2.8470011596421045,38.625790373527934,0.21118337533582135,0.007379691635552322
12,19,18,447,3.725,1950,1275.4855303317102,697.4797351597431,-4.514469668289848,-22.520264840256914,-0.25,64.78690147399902,1281.822317171464,271.24103571579883,2.7767585904600764,448.26414632049193,-0.2833693734469307,38.05996178274131,6.034297246025062,426.1801691721337,-3.2575386555649857,22.083977148358258,-0.7909821907203423,44.394659102385276,-0.7612002831020236,0.7685799747375767
13,18,17,468,3.9,2125,1277.2716096409952,695.513511203652,-2.728390359004834,-24.486488796348,-0.75,75.88168334960938,1300.8962077161998,230.660124441844,21.85064913519591,488.84505759444676,19.073890544735832,40.580911273954825,23.24844430580083,464.81439430800856,-1.3977951706049225,24.030663286438198,-16.61913952541022,38.89388656691426,-0.11086234436474457,0.8794423191023212
14,17,16,489,4.075,2300,1277.5369217606717,701.9298849497645,-2.463078239328297,-18.070115050235472,0.25,70.30829811096191,1288.5998121164637,202.5855307185269,9.554253535459793,516.9196513177639,-12.296395599736115,28.074593723317093,10.737217491583806,499.3029450329675,-1.1829639561240128,17.61670628479635,13.130015954767714,34.257752531834285,-0.15197455851311567,1.0314168776154364
15,16,15,510,4.25,2475,1281.315311181396,698.7944631476129,1.315311181396055,-21.205536852387127,-0.25,64.26422119140625,1304.021767039991,171.4169554067854,24.976208458987003,548.0882266295054,15.42195492352721,31.168575311741506,22.493904354280858,527.3917616609457,2.482304104706145,20.696464968559667,-11.474462967575846,28.205283284403322,0.45693029301488325,0.5744865846005536
16,15,14,531,4.425,2650,1279.404786710366,693.4733735291251,-0.5952132896341027,-26.52662647087493,-0.5,63.245277404785156,1309.2737803388256,132.40618347170732,30.228221757821757,587.0989985645834,5.252013298834754,39.01077193507808,29.579998423088682,561.0622801749197,0.6482233347330748,26.036718389663747,-6.718893885884654,33.74571100306014,-0.049660236303508534,0.624146820904062
17,14,13,553,4.608333333333333,2833,1281.55132746825,699.4201013441125,1.551327468250065,-20.57989865588752,0.25,63.28946113586426,1313.7883640555447,90.48393608004028,34.74280547454077,629.0212459562505,4.514583716719017,41.92224739166704,31.91782505408719,608.9627204098547,2.824980420453585,20.0585255463958,-1.594134068731364,47.930953929878,-0.2651147844739318,0.8892616053779941
18,13,12,574,4.783333333333333,3008,1279.8888152904349,701.8365361516037,-0.11118470956512283,-18.163463848396304,-0.25,67.53826141357422,1312.8044881577034,72.67687235832068,33.75892957669953,646.8283096779701,-0.9838758978412443,17.8070637217196,32.79888511235799,629.1593243610465,0.9600444643415358,17.668985316923568,-0.7511839272751786,20.201851417505623,0.5208649198504413,0.3683966855275523
19,12,11,596,4.966666666666667,3192,1281.0845163754188,706.9848246886473,1.0845163754188434,-13.015175311352664,-0.75,73.62611770629883,1313.1372205247485,29.658066137929154,34.09166194374461,689.8471158983616,0.33273236704508236,43.018806220391525,31.902621929240922,677.3401366608465,2.1890400145036892,12.506979237515111,1.4520593442898644,48.16726570216133,-0.292631987564659,0.6610286730922116
20,11,10,617,5.141666666666667,3367,1283.2135178212675,700.4524827741503,3.2135178212674873,-19.547517225849674,0.25,72.6448860168457,1324.1966606617905,-8.419925546679679,45.151102080786586,727.9251075829704,11.059440137041975,38.07799168460883,40.71875793500908,708.9177123618757,4.432344145777506,19.007395221094725,-8.38775753327559,31.694054092043643,-0.11479782508579518,0.775826498178007
21,10,9,638,5.316666666666666,3542,1282.171280445129,709.9055730186701,2.171280445129014,-10.094426981329889,0.25,85.06729888916016,1329.8074229252504,-35.32952767026086,50.76186434424653,754.8347097065516,5.6107622634599466,26.90960212358118,47.54985649814694,745.2540471020689,3.2120078460995956,9.580662604482768,-6.51996372626536,36.39345000049934,0.2856118129925456,0.49021468518546074
22,9,8,659,5.491666666666666,3717,1278.7759772714585,741.6145424259901,-1.224022728541513,21.614542425990066,0.25,77.50666236877441,1325.5825687357094,-32.84539500110327,46.53701015470551,752.350577037394,-4.22485418954102,-2.4841326691575887,46.96722220043307,774.4502419273729,-0.4302120457275578,-22.09966488997884,0.799638458403706,29.191057420686548,0.06432153840012542,0.42589314678533524
23,8,7,680,5.666666666666667,3892,1280.5552030127656,696.7417229882659,0.5552030127655598,-23.258277011734094,0.25,98.81661605834961,1322.2601790516148,-111.76424564739204,43.21462047061095,831.2694276836828,-3.32238968409456,78.91885064628877,41.550140524442895,808.5101805139604,1.6644799461680577,22.759247169722357,5.6437242104925645,34.02311813226959,0.044429289440497975,0.3814638573448372
24,7,6,701,5.841666666666667,4067,1280.474372605598,702.3510159198589,0.47437260559809147,-17.648984080141076,-0.25,67.88529968261719,1327.4025593908063,-146.02402032010104,48.35700080980246,865.5292023563918,5.142380339191504,34.259774672709,46.75500155774057,848.3805417151646,1.601999252061887,17.148660641227252,-4.813320517337843,39.91952186947867,-0.18084901101473555,0.5623128683595728
25,6,5,722,6.016666666666667,4242,1276.5252560079525,696.3647499083471,-3.474743992047479,-23.635250091652892,0.25,83.21696853637695,1312.3024275438465,-194.68999759722374,33.256868962842645,914.1951796335145,-15.100131846959812,48.66597727712269,35.375459946076944,890.9991688958023,-2.1185909832342986,23.196010737712186,12.101357760215024,42.41931742040481,-0.41033589190899317,0.9726487602685666
26,5,4,742,6.183333333333334,4408,1272.442734903087,703.3626476193898,-7.557265096912943,-16.637352380610196,0.0,79.71789360046387,1318.291402190269,-218.28606210583484,39.245843609265194,937.7912441421256,5.988974646422548,23.596064508611107,45.768303460857624,921.6124393029918,-6.52245985159243,16.178804839133818,-10.245012346803833,30.663059915152985,0.6961933809015769,0.2764553793669897
27,4,3,764,6.366666666666666,4592,1277.0884231850314,698.5018243530899,-2.911576814968612,-21.498175646910113,-0.5,87.74604034423828,1317.9819555370186,-267.29763143787716,38.93639695601473,986.8028134741679,-0.30944665325046117,49.01156933204231,40.68238663820148,965.771914084845,-1.745989682186746,21.03089938932294,5.519098879069361,44.10742919848269,-0.285914052852173,0.5623694322191628
28,3,2,785,6.541666666666667,4767,1281.5482247619557,692.6580698023803,1.5482247619556802,-27.341930197619718,0.0,96.58071517944336,1319.4768847620228,-314.1846680901888,40.4313261810189,1033.6898501264795,1.4949292250041708,46.88703665231162,37.71454896687601,1006.8557032471839,2.716777214142894,26.834146879295645,3.2895397037918883,41.059283005381644,0.11358966300271851,0.4487797692164442
29,2,1,806,6.716666666666667,4942,1282.0019134909287,702.0274142680117,2.0019134909287004,-17.97258573198826,0.0,99.3030014038086,1331.9283031515236,-347.96556501761563,52.88274457051966,1067.4707470539065,12.451418389500759,33.78089692742685,49.55989194207905,1050.0375945841893,3.3228526284406144,17.43315246971713,-10.961304873412246,43.41471737916993,-0.7210095199467818,1.1697892891632249
30,1,0,828,6.9,5125,1281.5240312896751,697.3622994337461,1.524031289675122,-22.637700566253898,0.0,91.94590377807617,1317.147443345291,-386.80551444157095,38.101884764287206,1106.3106964778617,-14.780859806232456,38.83994942395532,35.260725394403835,1084.1951527975573,2.8411593698833713,22.115543680304427,14.8448751374126,33.92395362000707,0.2512982449856627,0.9184910441775626
