shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,60,59,238,1.9833333333333334,0,1277.0160824774682,713.4611003259806,-2.983917522531783,-6.538899674019376,0.0,86.03931045532227,1273.3362659812242,718.4481676655171,-4.285240561206365,1.465040706917648,-4.285240561206365,1.465040706917648,-3.704941742812707,-4.99847460457454,-0.5802988183936577,6.463515311492188,3.685724973992137,-5.012661279829786,-0.21996273144447512,0.21996273144447517
2,59,58,249,2.075,92,1284.5443807447089,715.2170709943298,4.54438074470886,-4.782929005670212,-0.75,80.05907440185547,1287.5097190955332,683.2953201221912,9.888212553102676,36.61788825024348,14.17345311430904,35.152847543325834,3.007561274663203,31.881985487518023,6.880651278439473,4.735902762725459,-7.036464286752789,36.820024493545816,0.7236634605144181,-0.503700729069943
3,58,57,259,2.158333333333333,175,1291.3575725177386,705.0614328246725,11.357572517738618,-14.938567175327535,0.0,77.53680038452148,1278.0567783997672,654.4885507954115,0.4352718573366019,65.42465757702325,-9.452940695766074,28.806769326779772,-13.044257726539854,50.381272745938304,13.479529583876456,15.04338483108495,15.733845971596566,18.770471844335816,0.473932130163376,-0.977632859233319
4,57,56,269,2.2416666666666667,258,1283.4413204241662,705.8604068686118,3.441320424166179,-14.13959313138821,-0.25,76.82712173461914,1289.5262641964534,627.3236763852806,11.904757654022887,92.58953198715415,11.469485796686286,27.164874410130892,6.10505786227759,78.53185022749221,5.799699791745297,14.057681759661932,-19.189334519577642,28.12331311849357,-0.8961415878031566,-0.08149127143016303
5,56,55,279,2.325,342,1289.505932374554,717.0200320057158,9.50593237455405,-2.979967994284152,0.0,80.95487213134766,1277.9025365599803,604.9188627548023,0.28103001754971046,114.99434561763246,-11.623727636473177,22.404813630478316,-11.606297836663316,112.11044238140562,11.887327854213027,2.8839032362268426,17.744098514036978,33.561301221159624,-0.13737533294301835,0.055884061512855035
6,55,54,289,2.408333333333333,425,1300.1266233766235,699.2763376188379,20.126623376623456,-20.723662381162057,0.0,69.90626525878906,1286.4933075019596,561.469209583956,8.871800959529082,158.44399878847878,8.590770941979372,43.44965317084632,-13.80074993071753,137.97106318166584,22.67255089024661,20.47293560681294,2.4041435606245614,25.841970163047904,-0.40886518746800005,0.46474924898085446
7,54,53,300,2.5,517,1290.7450118397242,717.4263494041194,10.745011839724157,-2.573650595880622,0.75,75.2658920288086,1270.2439036233286,534.9057308564563,-7.377602919101946,185.0074775159784,-16.24940387863103,26.563478727499614,-20.490651511341184,182.47734673616776,13.113048592239238,2.5301307798106336,6.510527119434073,44.532876570229064,0.6956001613397073,-0.2308509123588522
8,53,52,310,2.5833333333333335,600,1292.17211143362,709.4593884571595,12.172111433620103,-10.540611542840452,1.25,95.31803131103516,1252.8084206841827,498.9202535495586,-24.81308585824786,220.99295482287613,-17.435482939145913,35.985477306897735,-39.275541153152744,210.43819323846395,14.462455294904885,10.554761584412176,18.551524874400002,28.116222022429156,0.24601920323872653,-0.4768701155975785
9,52,51,320,2.6666666666666665,683,1282.1655661831164,710.0572555618332,2.1655661831164252,-9.942744438166756,1.5,45.56113624572754,1237.2799789501098,478.94959874880294,-40.341527592320745,240.96360962363178,-15.528441734072885,19.970654800755653,-44.706709780376286,231.0703756127374,4.365182188055542,9.893234010894389,5.05982902019241,20.726376250300973,0.5519675065430817,-1.0288376221406603
10,51,50,330,2.75,767,1288.9267070736562,702.5976969724495,8.926707073656189,-17.402303027550488,1.75,51.54277038574219,1227.5613811486323,443.554202814081,-50.06012539379822,276.3590055583537,-9.718597801477472,35.39539593472193,-60.978401471102416,258.8503897553072,10.9182760773042,17.508615803046496,15.653534085168985,28.132970104201263,0.23800153627055348,-1.266839158411214
