shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
1,45,44,190,1.5833333333333333,0,1258.3714939307395,685.1239806896208,-21.62850606926054,-34.876019310379206,-2.25,86.48476696014404,1257.07116132899,685.4932014242377,0.3113644829418263,-0.5402819028774957,0.3113644829418263,-0.5402819028774957,-1.35126487475236,-0.40075514536010814,1.6626293576941862,-0.13952675751738752,1.3506784447413338,-0.40272718704284216,-0.08363583689225808,0.08363583689225801,0.3113644829418263,-0.5402819028774957,0.3113644829418263,-0.5402819028774957,
2,44,43,199,1.6583333333333334,75,1246.9785554954287,700.8601242954695,-33.021444504571264,-19.139875704530482,-1.25,100.52461242675781,1253.8603964580773,680.9672623778023,-2.8994003879709,3.985657143557887,-3.210764870912726,4.525939046435383,6.919935094218999,19.958735831309355,-9.8193354821899,-15.973078687751467,-8.311774875865467,20.342959965765203,0.19786827721293435,-0.11423244032067621,-2.8994003879709,3.985657143557887,-3.210764870912726,4.525939046435383,
3,43,42,210,1.75,167,1255.037579902608,695.8187483525628,-24.96242009739194,-24.181251647437193,-1.0,90.26968383789062,1255.6566404123776,638.2879542524081,-1.1031564336706197,46.66496526895207,1.7962439543002802,42.679308125394186,0.6763337366330688,57.59005797055397,-1.7794901703036885,-10.925092701601898,6.154344891910341,37.64602240358829,0.02163888755162748,-0.1358713278723037,-1.1031564336706197,46.66496526895207,1.7962439543002802,42.679308125394186,
4,42,41,218,1.8166666666666667,233,1268.2859465273318,700.4878241484521,-11.714053472668184,-19.51217585154791,-0.25,70.53276062011719,1262.4323084857933,633.5243362549802,5.672511639745153,51.428583266379974,6.775668073415773,4.7636179974279,-5.929810232567434,66.91796003275522,11.602321872312586,-15.489376766375244,6.642465707646124,9.302072045870545,-0.35928330565108524,0.22341197777878152,5.672511639745153,51.428583266379974,6.775668073415773,4.7636179974279,
5,41,40,227,1.8916666666666666,308,1264.8444012764658,686.7319566958769,-15.15559872353424,-33.268043304123125,0.75,77.09393692016602,1251.8240352788973,605.1188048032582,-4.935761567150848,79.834114718102,-10.608273206896001,28.405531451722027,-13.085646666018192,81.5834898861624,8.149885098867344,-1.7493751680603964,7.184587452468804,14.651466277519944,0.11103269369628627,0.11237928408249527,-4.935761567150848,79.834114718102,-10.608273206896001,28.405531451722027,
6,40,39,236,1.9666666666666666,383,1270.3654855789928,697.4135141950042,-9.634514421007225,-22.586485804995846,1.25,67.79344940185547,1243.2690269030236,603.5360799646537,-13.490769943024588,81.41683955670646,-8.55500837587374,1.582724838604463,-26.926721848213674,93.9505936130023,13.435951905189086,-12.533754056295834,13.74759519075451,12.470935941650396,0.5436519418044482,-0.4312726577219526,-13.490769943024588,81.41683955670646,-8.55500837587374,1.582724838604463,
7,39,38,246,2.05,467,1267.1658685213213,687.6677634965026,-12.834131478678728,-32.33223650349737,1.25,72.6045913696289,1241.8442723613853,584.3785456786001,-14.91552448466291,100.57437384276011,-1.4247545416383218,19.157534286053647,-24.97216514418801,103.43011809430857,10.056640659525101,-2.855744251548458,-2.0571128384856365,9.457799060599427,0.18929827049351905,-0.6205709282154713,-14.91552448466291,100.57437384276011,-1.4247545416383218,19.157534286053647,
8,38,37,255,2.125,542,1270.2395581267865,687.2331462030206,-9.760441873213495,-32.766853796979376,1.75,73.1292495727539,1230.9135754679567,565.877655520691,-25.846221378091514,119.07526400066922,-10.930696893428603,18.50089015790911,-39.13038998962884,121.41438964408212,13.284168611537325,-2.339125643412899,14.050524407933153,18.06853944878003,-0.2782529788414592,-0.34231794937401266,-25.846221378091514,119.07526400066922,-10.930696893428603,18.50089015790911,
9,37,36,264,2.2,617,1263.7992792083112,689.1239933616915,-16.20072079168881,-30.876006638308468,1.25,67.54092407226562,1229.1857056436543,552.6341323706788,-27.5740912023939,132.31878715068137,-1.7278698243023882,13.243523150012152,-34.54725973096811,136.52474695260298,6.973168528574206,-4.205959801921608,-4.615591199320079,15.100473464093056,-0.21919163106311626,-0.12312631831089675,-27.5740912023939,132.31878715068137,-1.7278698243023882,13.243523150012152,
10,36,35,273,2.275,692,1258.2286113831437,694.5313717166606,-21.771388616856257,-25.4686282833394,0.75,74.6148452758789,1226.1697075846146,537.5571685170594,-30.590089261433604,147.3957510043008,-3.0159980590397026,15.076963853619418,-31.90859623579695,157.1034623994194,1.3185069743633449,-9.707711395118622,-2.760374105743267,20.562743233287847,0.21587400826866923,-0.3390003265795655,-30.590089261433604,147.3957510043008,-3.0159980590397026,15.076963853619418,
