shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg,trainer_recoil_x_right_px,trainer_recoil_y_up_px,trainer_shot_delta_x_right_px,trainer_shot_delta_y_up_px,trajectory_correction
1,70,69,172,1.4333333333333333,0,1299.777696198401,711.0776735842245,19.777696198400918,-8.922326415775501,0.0,104.24518585205078,1297.5873449129704,715.3768987715932,2.428366941023114,4.029628621766619,2.428366941023114,4.029628621766619,-2.2022081794950736,-4.272895848165149,4.630575120518188,8.302524469931768,2.196519582995961,-4.2758229051984245,-0.07625295253564371,0.07625295253564368,2.428366941023114,4.029628621766619,2.428366941023114,4.029628621766619,
2,69,68,179,1.4916666666666667,58,1263.4528387469068,720.2258446609858,-16.547161253093236,0.2258446609857856,-0.75,86.02681350708008,1271.888751910577,679.2523592656823,-23.270226061370295,40.15416812767751,-25.69859300239341,36.12453950591089,8.427839156550363,41.311683655421234,-31.698065217920657,-1.1575155277437261,-11.559634199323682,45.35776286440034,1.24753461753249,-1.1712816649968465,-23.270226061370295,40.15416812767751,-25.69859300239341,36.12453950591089,
3,68,67,185,1.5416666666666667,108,1263.4029750507063,721.4182992561875,-16.597024949293655,1.418299256187538,-0.25,72.42420959472656,1266.6171782235085,656.9049301955052,-28.541799748438734,62.50159719785461,-5.2715736870684395,22.3474290701771,3.2393374835392024,64.17979625929956,-31.781137231977937,-1.678199061444957,5.646672687244745,22.759310429747757,-2.321922283567209,1.1506406185703653,-28.541799748438734,62.50159719785461,-5.2715736870684395,22.3474290701771,
4,67,66,192,1.6,167,1268.7635584168384,733.036834320599,-11.23644158316165,13.036834320599041,-0.25,109.10004806518555,1281.747952750356,631.113541566305,-13.411025221591217,88.29298582705485,15.130774526847517,25.79138862920024,12.860412707235582,102.0291332855395,-26.2714379288268,-13.736147458484652,-9.979131453279933,37.756513838330875,1.6933223602514125,-0.5426817416810501,-13.411025221591217,88.29298582705485,15.130774526847517,25.79138862920024,
5,66,65,198,1.65,217,1294.5647404905021,746.4492786609542,14.564740490502118,26.449278660954178,1.25,106.29884719848633,1295.1686981699033,616.6818500954781,0.00972019795608503,102.72467729788173,13.420745419547302,14.431691470826877,0.9308144136793999,129.94480334397474,-0.9210942157233148,-27.220126046093014,12.272505764443622,27.76662659594672,-1.248360338368757,0.7056785966877086,0.00972019795608503,102.72467729788173,13.420745419547302,14.431691470826877,
6,65,64,205,1.7083333333333333,275,1304.7408807079264,733.3162342909811,24.740880707926408,13.316234290981129,0.25,93.78841781616211,1292.5192726941127,574.3986521190413,-2.639705277834537,145.0078752743185,-2.649425475790622,42.28319797643678,-12.384843464827554,158.60974025811845,9.745138186993017,-13.601864983799942,12.959152796101762,28.82786346291664,1.4162362549562841,-0.7105576582685772,-2.639705277834537,145.0078752743185,-2.649425475790622,42.28319797643678,
7,64,63,212,1.7666666666666666,333,1274.563025608482,735.9856287565021,-5.436974391518106,15.985628756502138,0.75,88.91736221313477,1252.425820776205,543.3680087212001,-42.73315719574225,176.03851867215974,-40.093451917907714,31.03064339784123,-22.148613043916384,192.62149561453487,-20.584544151825867,-16.582976942375126,9.739497405212205,34.018713807434324,-0.669673240424152,-0.040884417844424044,-42.73315719574225,176.03851867215974,-40.093451917907714,31.03064339784123,
8,63,62,218,1.8166666666666667,383,1267.967727234167,740.3417867166766,-12.032272765833113,20.341786716676552,1.25,81.0784912109375,1230.1603076428119,529.684512698745,-64.9986703291354,189.7220146946148,-22.265513133393142,13.683496022455074,-38.01818650392261,210.78047872806434,-26.980483825212787,-21.058464033449525,15.681149565401256,18.32194252331078,0.5509754504000838,-0.5918598682445092,-64.9986703291354,189.7220146946148,-22.265513133393142,13.683496022455074,
9,62,61,225,1.875,442,1258.4805522722772,735.4822647475688,-21.519447727722763,15.48226474756882,1.0,78.75710678100586,1229.35805848977,503.1759373434061,-65.80091948217728,216.23059004995378,-0.8022491530418847,26.508575355338962,-29.189252109211566,232.39869811568053,-36.61166737296571,-16.168108065726756,-8.921791217247346,21.580063334315355,-0.3455400841764669,-0.24631978406804145,-65.80091948217728,216.23059004995378,-0.8022491530418847,26.508575355338962,
10,61,60,231,1.925,492,1313.431750812471,737.8977784026757,33.43175081247091,17.897778402675726,0.5,85.43183898925781,1294.1386060029931,476.9593912049041,-1.020371968954123,242.44713618845577,64.78054751322315,26.216546138501997,-19.397426269211564,260.74221814498486,18.37705430025744,-18.29508195652909,-9.957709994874676,28.285667617902277,0.08935286715865078,-0.3356726512266924,-1.020371968954123,242.44713618845577,64.78054751322315,26.216546138501997,
11,60,59,238,1.9833333333333334,550,1313.3294458541432,732.3996960155152,33.32944585414316,12.399696015515246,0.0,89.1324691772461,1297.3478152176085,457.1635844538813,2.1888372456612615,262.24294293947855,3.2092092146153846,19.79580675102278,-16.016864865331854,275.1409897030936,18.205702110993116,-12.89804676361507,-3.4216197872844987,14.38907001231371,-0.17223764816522377,-0.16343500306146827,2.1888372456612615,262.24294293947855,3.2092092146153846,19.79580675102278,
12,59,58,245,2.0416666666666665,608,1257.3441426419304,731.0172095001833,-22.655857358069625,11.017209500183299,-1.0,74.74671936035156,1246.7264406163076,441.95145525640135,-48.432537355639624,277.4550721369585,-50.621374601300886,15.212129197479953,-10.516400340545033,288.8549544195745,-37.91613701509459,-11.399882282615977,-5.372914259552317,13.76443716948927,-0.6953465324439514,0.5319115293824851,-48.432537355639624,277.4550721369585,-50.621374601300886,15.212129197479953,
13,58,57,251,2.091666666666667,658,1296.7808263627671,747.3948156280428,16.78082636276713,27.394815628042807,0.25,75.17354202270508,1297.27324103923,452.90623734003645,2.1142630672827636,266.5002900533234,50.54680042292239,-10.95478208363511,0.4383089441203083,294.4553619930589,1.6759541231624553,-27.95507193973549,-10.96575559545363,5.578747594348329,0.6451413346563918,-0.11322980527390838,2.1142630672827636,266.5002900533234,50.54680042292239,-10.95478208363511,
