frame,step_center_dx,step_center_dy_down,step_rotation_deg,ransac_scale_diagnostic,good_matches,inliers,inlier_ratio,median_reprojection_error_px,status,center_x_in_reference,center_y_in_reference,rotation_to_reference_deg
187,0.0,0.0,0.0,nan,0,0,0.0,nan,reference,1280.0,720.0,0.0
188,-0.16402795429507933,-0.16671593798537288,-0.0007798098589592252,0.999978699553278,494,484,0.979757085020243,0.1573744168864893,ok,1280.1640256852347,720.1667181704314,0.0007798098589592253
189,-0.06666812147591372,-0.03360201693499221,0.00029463951406055657,1.000010350555703,522,512,0.9808429118773946,0.11766389604683841,ok,1280.2306935221725,720.2003207518989,0.0004851703448986687
190,-0.08228134471869453,-0.01450019255753432,3.457424970834451e-05,1.0000112138022952,553,543,0.9819168173598554,0.11693930639856266,ok,1280.3129747528533,720.2148215915481,0.0004505960951903241
191,-0.15948969963028503,-0.17859253399001318,-0.00021473386703135756,0.9999904718253453,493,481,0.9756592292089249,0.16010617148748243,ok,1280.4724623786212,720.3934159775524,0.0006653299622216818
192,-0.05992810260750048,-0.022699887696489895,0.00012295871615615356,0.9999951083557441,545,536,0.9834862385321101,0.08797520504232309,ok,1280.5323902663454,720.416116432537,0.0005423712460655282
193,-0.04777330987531059,-0.004033016932226019,-0.0009245978027496236,1.000025993501551,538,530,0.9851301115241635,0.12169071471981577,ok,1280.5801634729462,720.4201506726289,0.0014669690488151518
194,-0.1497088099681605,-0.1531882304152532,0.0008212521015523589,0.9999522951160372,527,516,0.9791271347248577,0.16950797379521712,ok,1280.7298705564906,720.5733405902358,0.0006457169472627929
195,-0.06628676052855553,-0.019164383320003253,-0.0006193469740461879,1.0000311504834754,563,558,0.9911190053285968,0.10979986660858246,ok,1280.7961568938626,720.5925064371316,0.0012650639213089808
196,-0.04403393001030054,-0.005710145539410405,-0.00020441944488140432,1.000008826837885,600,595,0.9916666666666667,0.04735839566330373,ok,1280.8401906774084,720.5982177120216,0.001469483366190385
197,-0.07465673955448437,-0.019013993464341183,0.00042067001517116835,0.999985079239814,561,552,0.983957219251337,0.09105317979300438,ok,1280.9148470688945,720.6172330720927,0.0010488133510192167
198,1.7975584984008037,-4.047730329028013,-0.28029985849060934,1.000128036983905,448,441,0.984375,0.6375297342256601,ok,1279.0974341016715,724.656087795684,0.2813486718416285
199,-0.4776934720002828,8.722202202352264,-0.20835337626684014,0.9995080703051205,508,466,0.9173228346456693,0.5240125670020517,ok,1279.6496571226812,715.9382869235043,0.4897020481084686
200,-0.5626106130778226,7.023402054433973,-0.1303034670297012,0.9996259650764263,507,464,0.9151873767258383,0.41128195742644613,ok,1280.2882345130135,708.9213840428358,0.6200055151381698
201,-1.361701437630245,9.396569352011056,-0.13569217443410347,0.9995081317667679,532,493,0.9266917293233082,0.5191339426341778,ok,1281.7737491502724,699.543591517146,0.7556976895722733
202,-1.400392767502808,3.5133189942309855,0.3263820345157464,0.9998794337059259,524,505,0.9637404580152672,0.3792165268654152,ok,1283.2004275591958,696.0408641546453,0.42931565505652697
203,-0.4668811701906179,1.1024796386428761,0.16395921669320798,0.9999596116888385,535,517,0.9663551401869159,0.3010870206212388,ok,1283.6724096659482,694.9405586190751,0.26535643836331896
204,-0.9537712127255418,1.9779756515825966,0.4121921550800309,0.9998836555311209,541,502,0.9279112754158965,0.262613072944766,ok,1284.6211086619821,692.9601451724935,-0.14683571671671214
205,-0.9579235088460791,1.4737051257764051,0.4477005827814098,0.9999326497946134,545,502,0.9211009174311927,0.27175514354045976,ok,1285.5636888018003,691.4765795600043,-0.5945362994981221
206,-1.2408131536788005,1.8784397744028638,0.22770865138837137,0.9999469381328979,526,511,0.9714828897338403,0.35059803643225723,ok,1286.7774178446982,689.5805270610402,-0.8222449508864937
207,0.0031897478429527837,-0.00029189622068770404,-4.8869632848347825e-05,0.9999990292464953,746,746,1.0,0.0030507339864737073,ok,1286.7742326138466,689.5808646986095,-0.8221960812536454
208,0.15459262474087154,0.5942474398184459,-0.3381194072242939,1.0000327005431817,520,487,0.9365384615384615,0.24157387419724405,ok,1286.6146249290575,688.987944563759,-0.4840766740293513
209,0.952278045287585,13.231106262130197,-0.46556563281591423,0.9992185107403336,539,487,0.9035250463821892,0.7314054296725964,ok,1285.658072246029,675.7571466528274,-0.018511041213436875
210,1.062135615313764,6.5731129467289975,-0.6164810045155275,0.9996056435020331,553,509,0.9204339963833634,0.4492883855385125,ok,1284.66459381654,669.1733068548133,0.5979699633020911
211,0.8668289990125686,2.4014849295074328,-0.5626045741173653,0.9998329710251508,543,504,0.9281767955801105,0.2693105641610086,ok,1283.846583425802,666.75475741748,1.1605745374194567
212,0.557002868791642,1.7903042207780118,-0.2333863296734074,0.9998753013154001,560,513,0.9160714285714285,0.3018441400384783,ok,1283.3332977815103,664.9514329191876,1.3939608670928643
213,0.3735650117885143,1.8063521852939175,0.12571126058448845,1.0000055171560727,570,556,0.9754385964912281,0.27804686809727874,ok,1282.9998048605921,663.1372550042502,1.2682496065083755
214,0.20973128030664157,1.5265780361073666,0.45210463783823357,0.9999086023263982,541,497,0.9186691312384473,0.26907950443571466,ok,1282.8118393361078,661.6078444407098,0.816144968670142
215,-0.08867383489814529,1.3575066615262585,0.6479484616941084,0.999939667196453,562,503,0.895017793594306,0.3272034365024871,ok,1282.9044978564596,660.2506039374495,0.16819650697603314
216,-0.2700309028718948,1.3771767265378685,0.534652471961616,0.9999597694286677,569,529,0.929701230228471,0.2677802449648285,ok,1283.1657150624376,658.8717283100182,-0.36645596498558325
217,-0.4223623641994436,1.4188842336739071,0.39950584551710927,0.9999449443655359,569,516,0.9068541300527241,0.29173901964501536,ok,1283.5690718175783,657.4473246581896,-0.765961810502693
218,1.4221177247036394,-2.850809284981551,0.13088357854919347,1.0000717965081436,590,536,0.9084745762711864,0.5248241669556115,ok,1282.1917499327722,660.3200440715481,-0.8968453890518864
219,-1.503481693600861,14.646806061422694,-0.1203919732227953,0.9991572568536972,545,495,0.908256880733945,0.792513621567324,ok,1283.4966109865545,645.6542088537967,-0.7764534158290909
220,-0.6244205016243995,4.427556773503056,-0.16234515138778885,0.9998041733255727,562,517,0.9199288256227758,0.30595021199303246,ok,1284.0735410419004,641.2202138541738,-0.6141082644413021
221,-1.607544981328374,6.641639234653894,-0.7693398319608463,0.9996610577663151,532,481,0.9041353383458647,0.4528751955874576,ok,1285.6990743074448,634.5829543148084,0.15523156751954503
222,-0.9639081485943279,2.3594078236911855,-0.48565639770293323,0.9998825755618487,564,513,0.9095744680851063,0.23646803594565377,ok,1286.6893130095727,632.2344757625899,0.6408879652224787
223,-0.557492994090353,1.2617893596112708,-0.18820249121526786,0.9999503185892582,593,546,0.9207419898819561,0.22393176125422937,ok,1287.2650055444933,630.9808853463355,0.8290904564377466
224,-0.9775364829588398,1.7242754963370999,-0.21990288892200432,0.999902375195195,553,509,0.9204339963833634,0.29799248856372346,ok,1288.2739451390598,629.2747949450672,1.048993345359751
225,-0.9508192794382921,1.3645968733668496,0.08452465070262863,0.9999453661239004,563,545,0.9680284191829485,0.2896662828817793,ok,1289.247599096821,627.9263959316111,0.9644686946571225
226,-0.868906817671359,1.2176359860822004,0.32974851575904485,0.9999382280365496,557,517,0.9281867145421903,0.26389544183510305,ok,1290.1299412415656,626.7184601750388,0.6347201788980774
227,-0.8741209294196324,1.0281682638956227,0.4896099496344894,0.99992273100975,576,528,0.9166666666666666,0.32368954591426835,ok,1291.0066633564247,625.6925090497658,0.14511022926358808
228,-0.3462753829403482,0.7607849396899837,0.206740991551161,1.0000130020505773,575,553,0.9617391304347827,0.40342048068958325,ok,1291.352120193478,624.9313520757961,-0.0616307622875729
229,1.3300250307602255,5.743542712505928,0.533217516478271,0.9997196618956511,539,493,0.9146567717996289,0.6307609893844885,ok,1289.962538102241,619.2019270536371,-0.5948482787658438
230,-0.4709783504038114,5.697583918859095,0.07608195055989997,0.9997952076430748,557,533,0.9569120287253142,0.559539621987473,ok,1290.3667673121702,613.4992187615329,-0.6709302293257438
231,-0.5063803867574279,7.199612713764054,-0.04649727661740122,0.9996137309454228,557,513,0.9210053859964094,0.4108735851457395,ok,1290.7946548414598,606.2945149795191,-0.6244329527083424
232,-0.5520547510468532,3.407486187383938,-0.24187786613933387,0.9998548710576568,583,543,0.9313893653516295,0.30993308723089485,ok,1291.3239461962762,602.8834187881046,-0.3825550865690088
233,-0.5937556373980897,2.8249364346451102,-0.4007968453578285,0.999863092885012,574,532,0.926829268292683,0.2745304666540014,ok,1291.918601203303,600.0586715358102,0.01824175878881944
234,-0.5981055216739151,2.593007494475387,-0.20277993031461689,0.9998734715890987,560,517,0.9232142857142858,0.23721306480573504,ok,1292.5267049221677,597.4679905541827,0.22102168910343625
235,-0.6028880791889151,1.7517481242530266,-0.1158199891022126,0.9999061907154257,530,502,0.9471698113207547,0.25410189919847104,ok,1293.1398810441895,595.719817058721,0.33684167820564875
236,-0.5598528496266226,1.5921623648770264,-0.027769102214276704,0.9999109174924292,526,508,0.9657794676806084,0.348675809556699,ok,1293.7098544672642,594.131249620318,0.3646107804199255
237,-0.6064199898005427,1.4265327807738686,0.03768199401746331,0.9999503471144391,581,561,0.9655765920826161,0.2606514625636962,ok,1294.32440431379,592.7082002660134,0.32692878640246215
238,-0.5268720451178979,1.4265270507114565,0.09438496613655946,0.9999712016828152,595,583,0.9798319327731092,0.23248795525714944,ok,1294.8570617851221,591.2838233508071,0.23254382026590276
239,0.6112389089203134,-4.8368128076820085,0.1048830111123725,1.0000031102348879,530,486,0.9169811320754717,0.6987206079413036,ok,1294.2350474927375,596.1192622513004,0.12766080915353034
240,0.8857710432607746,8.794858739787514,0.11691686954173718,0.9996595180758346,512,441,0.861328125,0.46296126285677447,ok,1293.3509256516293,587.3242375689035,0.010743939611793223
241,2.6921649320727283,16.089002032024837,0.26499359286672797,0.9993250017740382,506,459,0.9071146245059288,0.7212876846816255,ok,1290.5873926169165,571.2473403690694,-0.2542496532549347
242,0.7058060361594016,2.102239557067378,0.04342209651172407,0.9999922994199547,537,519,0.9664804469273743,0.35523674476331035,ok,1289.8706742805682,569.1487960778236,-0.2976717497666588
243,1.229338482493631,3.638677259727615,-0.005259042285814626,0.9998528448781446,552,510,0.9239130434782609,0.2727338950912592,ok,1288.6227816643939,565.5164401861884,-0.29241270748084414
244,0.9994835484142186,3.031738589562792,-0.10901076458971318,0.9998951495367515,609,565,0.9277504105090312,0.25420555686439167,ok,1287.6135987555235,562.4879164376538,-0.18340194289113104
245,0.6605062383480345,2.8059695875663238,-0.18661877068335725,0.9999511297920058,558,518,0.9283154121863799,0.32029263941782393,ok,1286.9532500572363,559.6819097708915,0.0032168277922261074
246,0.33647331895144816,2.159805430547067,-0.14124336937247836,0.9998634530115819,593,540,0.9106239460370995,0.27374017714392695,ok,1286.6222233325534,557.5212628539398,0.14446019716470435
247,0.10921790374914053,1.7641167965016393,-0.08160645941235796,0.9999266195546753,602,578,0.9601328903654485,0.3626044242587728,ok,1286.5199667733243,555.7567288592849,0.22606665657706226
248,-0.08345515879295817,0.7470677987294039,-0.021421692989534235,0.9999651585887102,590,574,0.9728813559322034,0.2569617485347491,ok,1286.6066480928482,555.0100285122426,0.24748834956659652
249,1.5281424353404418,-2.535076901381217,0.03568216244590996,1.0000399613565976,501,455,0.908183632734531,0.5038321533581152,ok,1285.0691446627388,557.5394389971202,0.21180618712068658
250,0.8772060259500449,8.143910389704388,0.058011699143669625,0.9996580656614632,463,410,0.8855291576673866,0.5443452537388922,ok,1284.213801819354,549.3932033346948,0.15379448797701695
251,1.5764202521975221,10.266315419532702,0.14515750818187267,0.9995404099378112,554,490,0.8844765342960289,0.5172086924102947,ok,1282.6389291677913,539.1266503963308,0.008636979795144275
252,1.3489006389081624,4.857626372136792,0.2741031848249751,0.9999907237762884,532,510,0.9586466165413534,0.3971613499915293,ok,1281.2675364451568,534.2753259477672,-0.26546620502983087
253,1.1548716518996116,2.4316465078845795,0.30592282869264753,0.9999028900551458,618,566,0.9158576051779935,0.27663763952564246,ok,1280.0884727360733,531.8553172615038,-0.5713890337224785
254,0.7915588776668301,2.3038402098864026,0.15573008340636113,1.0000086633421958,605,586,0.968595041322314,0.3228743607429433,ok,1279.2677412166151,529.5617076734374,-0.7271191171288396
255,0.42537223491331133,1.4521369212800437,-0.021993152863457543,1.000015899803411,572,549,0.9597902097902098,0.34150291642765657,ok,1278.8245305304315,528.1149155446117,-0.705125964265382
256,0.2681615729445639,1.3374780280155392,-0.1857352252130171,0.999924228001811,547,505,0.923217550274223,0.2688261354363447,ok,1278.5442557983235,526.779923342698,-0.5193907390523649
257,0.00959309497443428,1.2255855885480287,-0.3130052918244231,0.9999369618091174,533,487,0.9136960600375235,0.29659977594968956,ok,1278.5302480864416,525.5543802604952,-0.20638544722794167
258,-0.24874375584704467,1.055366141260265,-0.1807609996817557,0.9999358676344968,568,528,0.9295774647887324,0.2964626518140341,ok,1278.7785198249958,524.4989029788701,-0.025624447546185966
259,-0.13709337900922947,0.44991775398148093,-0.058015629862209955,0.9999171999624991,587,578,0.9846678023850085,0.24818129676963252,ok,1278.9158675353385,524.0490628001626,0.032391182316023975
260,2.073540249296684,-1.941800090865513,-0.10081431987807643,1.0001995706422164,542,514,0.948339483394834,0.4565758944974028,ok,1276.837818452192,525.9860369265705,0.1332055021941004
261,1.565067921127138,11.934116002218161,0.024262311684188662,0.9994668722823306,604,546,0.9039735099337748,0.6155969740549384,ok,1275.295445082041,514.0489666520355,0.10894319050991173
