shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,45,44,198,1.65,0,1278.523451613286,730.4762328311141,-1.4765483867140574,10.476232831114089,0.0,93.90599060058594,1277.5694605941032,735.1249438186786,-2.4392657824241724,-15.269583336094456,-2.4392657824241724,-15.269583336094456,-0.9025658983284757,-4.656087795684016,-1.5366998840956967,-10.61349554041044,0.8796915726218231,-4.660463657084051,-0.2813486718416285,0.2813486718416285
2,44,43,208,1.7333333333333334,83,1279.3729516730311,735.6286832764065,-0.6270483269688611,15.628683276406491,-0.25,72.24461364746094,1286.1196399640558,704.6213677475342,6.11091358752833,15.233992735049924,8.550179369952502,30.50357607114438,6.614624929057527,31.012055436240985,-0.5037113415291969,-15.778062701191061,-7.818269527068651,35.60336025083268,0.7654253458709793,-0.4840766740293513
3,43,42,218,1.8166666666666667,167,1288.4397736841279,745.3237552110224,8.439773684127886,25.323755211022444,0.0,71.28411483764648,1291.0268638549655,685.5085954353909,11.01813747843812,34.34676504719323,4.9072238909097905,19.112772312143306,2.1917499327721544,59.67995592845193,8.826387545665966,-25.3331908812587,3.973615578951467,28.73361656831196,0.41276871502253476,-0.8968453890518864
4,42,41,229,1.9083333333333334,258,1307.6351486772605,693.4937577627275,27.63514867726053,-26.506242237272545,-0.75,91.12958145141602,1317.3210129548122,592.4102086746956,37.312286578284784,127.44515180788858,26.294149099846663,93.09838676069535,9.96253810224107,100.79807294636294,27.349748476043715,26.647078861525642,-8.197252508337215,41.03522568706012,-0.3019971102860427,-0.5948482787658438
5,41,40,239,1.9916666666666667,342,1307.0158123682536,718.9569246395255,27.01581236825359,-1.0430753604745178,0.0,84.04366302490234,1321.253116877678,595.1363834007492,41.24439050115052,124.71897708183496,3.9321039228657355,-2.726174726053614,14.235047492737522,123.88073774869963,27.009343008412998,0.8382393331353342,-4.221068308942904,23.092127082625893,-0.7225090879193745,0.12766080915353034
6,40,39,249,2.075,425,1299.5261234707978,746.4461853550308,19.526123470797756,26.44618535503082,0.0,67.22098731994629,1304.4973709181204,584.0576260052698,24.488644541592976,135.7977344773144,-16.755745959557544,11.078757395479442,5.069144662738836,162.46056100287979,19.41949987885414,-26.66282652556538,9.308458500470806,38.54567598781716,-0.08414537796715618,0.21180618712068658
7,39,38,260,2.1666666666666665,517,1292.1645293998945,695.1971835367717,12.16452939989449,-24.802816463228282,0.0,78.12168312072754,1289.0599783631417,501.21156847332884,9.051251986614261,218.64379200925532,-15.437392554978715,82.84605753194091,-3.1621815478079043,194.01396307342952,12.213433534422165,24.6298289358258,8.304661602003307,31.534180012906745,0.07860068492658615,0.1332055021941004
8,38,37,271,2.2583333333333333,608,1295.7156229489078,739.0797195094808,15.715622948907821,19.07971950948081,1.0,70.05720710754395,1285.9495727764702,508.2905234910853,5.940846399942757,211.56483699149885,-3.1104055866715044,-7.078955017756471,-9.706227892490915,230.83831355266784,15.647074292433672,-19.27347656116899,6.659324097741546,36.80367825829876,-0.04620778479116299,0.17941328698526338
9,37,36,281,2.341666666666667,692,1297.97397200026,733.686663604959,17.97397200025989,13.686663604958994,1.0,56.09297561645508,1288.917470502353,472.820808611738,8.908744125825478,247.03455187084614,2.9678977258827217,35.46971487934729,-9.136518854425958,260.76013017785795,18.045262980251437,-13.725578307011801,-0.7453101226342369,29.91795767362214,0.5156836777541246,-0.33627039076886106
10,36,35,291,2.425,775,1299.6161008316126,722.4948503666317,19.616100831612584,2.494850366631681,0.0,48.3739128112793,1297.8497485892615,435.96761417031047,17.84102221273406,283.8877463122737,8.932278086908582,36.85319444142755,-1.7916408258563479,286.3196357136265,19.632663038590408,-2.431889401352805,-7.614785966472255,25.48039621301757,0.26970419056118,-0.605974581330041
