shot,ammo_before,ammo_after,keyframe,time_sec,shot_time_ms,reticle_screen_x,reticle_screen_y,reticle_offset_x,reticle_offset_y_down,reticle_angle_deg,reticle_confidence,world_x_ref,world_y_ref,recoil_x_right_px,recoil_y_up_px,shot_delta_x_right_px,shot_delta_y_up_px,background_only_x_right_px,background_only_y_up_px,reticle_jitter_contribution_x_px,reticle_jitter_contribution_y_up_px,camera_step_center_dx,camera_step_center_dy_down,camera_rotation_since_prev_deg,cumulative_rotation_to_ref_deg
1,45,44,185,1.5416666666666667,0,1277.062700794269,720.9992120320335,-2.937299205731051,0.9992120320334834,-0.5,90.82891082763672,1272.0057321784752,714.7119083806319,-7.492251339614086,1.1062299620620024,-7.492251339614086,1.1062299620620024,-5.046353670926919,6.255538501451952,-2.4458976686871665,-5.149308539389949,5.11358561019324,6.200700728341303,-0.6184963038836442,0.6184963038836438
2,44,43,200,1.6666666666666667,125,1286.216690262802,715.4014627989471,6.2166902628021035,-4.598537201052864,-1.0,86.74048614501953,1289.083993197553,669.7655528514304,9.586009679463587,46.052585491263585,17.078261019077672,44.94635552920158,2.7968924561357653,45.732653452679415,6.789117223327821,0.3199320385841702,-7.231464257915377,39.593750003865466,-0.2680962400914578,0.886592543975102
3,43,42,215,1.7916666666666667,250,1279.0485354564964,719.1243860065326,-0.9514645435035618,-0.8756139934673683,-1.0,83.3674430847168,1294.6214668577395,635.8444351428471,15.123483339650193,79.9737031998468,5.537473660186606,33.92111770858321,15.577644308347999,83.28509985151038,-0.4541609686978063,-3.3113966516635855,-12.983282576396505,37.48290573029726,1.1958901539214122,-0.3092976099463128
4,42,41,230,1.9166666666666667,375,1288.5768847299603,710.639840041016,8.576884729960284,-9.360159958984013,-0.25,81.42431259155273,1293.1122802697753,565.8966841189102,13.61429675168597,149.9214542237837,-1.5091865879642228,69.94775102393692,4.614903910553039,144.67091739827924,8.99939284113293,5.250536825504469,10.442929680781617,61.476381583473994,0.1755184317320137,-0.4848160416783268
5,41,40,245,2.0416666666666665,500,1278.813226628599,705.8442499722053,-1.1867733714009319,-14.155750027794738,0.75,76.51771545410156,1271.735018986223,508.84652752233484,-7.762964531866373,206.9716108203591,-21.377261283552343,57.05015659657539,-7.087248357099952,196.9969674120116,-0.6757161747664213,9.974643408347504,11.735567554292857,52.31856584343279,-0.521407600926928,0.03659155924860144
6,40,39,260,2.1666666666666665,625,1269.7190594018903,711.3785179374299,-10.280940598109737,-8.621482062570067,1.0,74.12095260620117,1255.7767490052775,479.86150446496725,-23.72123451281186,235.9566338777267,-15.958269980945488,28.985023057367584,-13.980980753249696,231.47110879866744,-9.740253759562165,4.485525079059244,7.0478806425692255,34.44295790353908,-0.21971723208305377,0.2563087913316554
7,39,38,275,2.2916666666666665,750,1268.2549345292873,706.9662392665247,-11.745065470712689,-13.033760733475333,1.0,73.0778694152832,1246.8431779105929,436.9967006801519,-32.65480560749643,278.82143766254205,-8.933571094684567,42.864803784815365,-21.303368452801124,270.06803284970374,-11.351437154695304,8.753404812838312,6.999950560984644,38.65670187648948,0.7345822627031665,-0.47827347137151166
8,38,37,290,2.4166666666666665,875,1274.7140689148287,709.0959043858364,-5.285931085171342,-10.904095614163566,1.25,73.73396110534668,1243.382350317842,403.7685805286864,-36.1156332002472,312.0495578140075,-3.460827592750775,33.228120151465475,-31.19444833270586,305.3949414584487,-4.921184867541342,6.654616355558801,9.444199925273551,35.44899181659093,0.24524950607295073,-0.7235229774444627
9,37,36,305,2.5416666666666665,1000,1285.5430372927776,716.0408688975306,5.543037292777626,-3.959131102469428,0.0,63.61626052856445,1274.4797016180696,349.71648573409806,-5.018281900019701,366.1016526085959,31.0973513002275,54.052094794588356,-11.06121746009535,366.32141920332566,6.042935560075648,-0.21976659472977644,-20.16581268240543,60.91570138006273,-0.6928800562644422,-0.03064292118001924
10,36,35,320,2.6666666666666665,1125,1274.6669511972764,708.9282958175402,-5.333048802723624,-11.071704182459825,-1.0,68.15478897094727,1273.720750651596,303.6988218031583,-5.77723286649325,412.11931653953565,-0.7589509664735488,46.01766393093976,-1.0079409410739117,405.19994625119983,-4.769291925419338,6.919370288335813,-9.836608296971235,38.93391030184557,-0.3497215419508259,0.31907862077080734
11,35,34,335,2.7916666666666665,1250,1265.666011141735,717.3898247758275,-14.333988858265002,-2.610175224172508,-1.5,42.01082420349121,1265.9106428338337,289.6140630908628,-13.58734068425565,426.2040752518311,-7.8101078177624,14.084758712295468,0.24483724272386098,427.77689073517024,-13.832177926979512,-1.5728154833391272,-1.2545564930703677,22.576845736634368,0.3235916246820002,-0.004513003911192842
